Lat,Lon,Boya,Pixel
37.8118,-0.784483,1.2055,0.03858888894319534
37.760617,-0.8078,0.8549,0.0475888889696863
37.761783,-0.78355,0.8559,0.04801111130250825
37.748233,-0.749617,0.6627,0.04298888933327463
37.74045,-0.727117,0.415,0.04590000005231963
37.710417,-0.778383,0.2778,0.050799999799993306
37.718,-0.839783,1.1208,0.04867777766452895
37.694517,-0.8104,0.4573,0.052344444725248546
37.666817,-0.809683,0.145,0.0563222219546636
37.659833,-0.781967,0.2482,0.052344444725248546
37.6518,-0.728883,0.5752,0.055211111489269465
37.68735,-0.783783,0.1752,0.05565555559264289
37.8118,-0.784483,0.6388,0.022088888618681166
37.760617,-0.8078,0.9606,0.17339999973773956
37.761783,-0.78355,0.905,0.021488889017038874
37.748233,-0.749617,0.5685,0.03665555558270878
37.74045,-0.727117,0.445,0.041544444445106715
37.710417,-0.778383,0.4183,0.0250222221430805
37.718,-0.839783,0.8986,0.0243666668732961
37.694517,-0.8104,0.6498,0.020511111244559288
37.666817,-0.809683,0.6111,0.021144444329871073
37.659833,-0.781967,0.4551,0.020055555635028414
37.6518,-0.728883,0.1782,0.31902222169770134
37.68735,-0.783783,0.4792,0.02188888916538821
37.74045,-0.727117,0.22,0.07898888985315959
37.8118,-0.784483,0.2661,0.057255556186040245
37.760617,-0.8078,0.4463,0.0549777779314253
37.761783,-0.78355,0.339,0.04866666595141093
37.748233,-0.749617,0.2316,0.05002222168776724
37.74045,-0.727117,0.72,0.053011111087269254
37.710417,-0.778383,0.3462,0.042866666283872396
37.718,-0.839783,0.5733,0.048511111074023776
37.694517,-0.8104,0.5151,0.04514444453848733
37.666817,-0.809683,0.4193,0.048511111074023776
37.659833,-0.781967,0.5274,0.04720000012053384
37.6518,-0.728883,0.3112,0.044166666352086596
37.68735,-0.783783,0.6303,0.03972222242090437
37.8118,-0.784483,0.282,0.04245555525024732
37.760617,-0.8078,0.3873,0.057899999949667186
37.761783,-0.78355,0.3392,0.05069999976290597
37.748233,-0.749617,0.2881,0.038400000582138695
37.74045,-0.727117,0.15,0.051822222769260406
37.710417,-0.778383,0.3093,0.052022222015592784
37.718,-0.839783,0.5096,0.06028888871272405
37.694517,-0.8104,0.4459,0.05472222177518739
37.666817,-0.809683,0.4966,0.06501111222638024
37.659833,-0.781967,0.4527,0.0572888884279463
37.6518,-0.728883,0.3647,0.055933333933353424
37.68735,-0.783783,0.3692,0.05745555626021491
37.8118,-0.784483,0.3713,0.04994444507691595
37.760617,-0.8078,0.9685,0.06372222304344177
37.761783,-0.78355,1.0018,0.06271111054552926
37.748233,-0.749617,0.5543,0.04938888922333717
37.710417,-0.778383,0.3704,0.06341111246082518
37.718,-0.839783,1.2307,0.06108888859550158
37.694517,-0.8104,0.9973,0.06382222308052911
37.666817,-0.809683,1.3542,0.06987777766254213
37.659833,-0.781967,1.1665,0.07003333419561386
37.6518,-0.728883,0.5769,0.0566222220659256
37.68735,-0.783783,0.4939,0.06705555402570301
37.8118,-0.784483,13.3862,0.047455556276771754
37.760617,-0.8078,16.4526,0.03873333376314905
37.761783,-0.78355,14.8515,0.036433333737982646
37.748233,-0.749617,14.4718,0.041999999433755875
37.74045,-0.727117,7.145,0.1396333310339186
37.710417,-0.778383,18.1624,0.03474444399277369
37.718,-0.839783,17.2703,0.03921111052234968
