Lat,Lon,Boya,Pixel
37.8118,-0.784483,1.2055,0.003945775459417039
37.760617,-0.8078,0.8549,0.001354223534387226
37.761783,-0.78355,0.8559,0.0016097728027186047
37.748233,-0.749617,0.6627,0.0011790709492440026
37.74045,-0.727117,0.415,0.0012424196789248122
37.710417,-0.778383,0.2778,0.0010400771053456184
37.718,-0.839783,1.1208,0.0027068039893897045
37.694517,-0.8104,0.4573,0.001620889117475599
37.666817,-0.809683,0.145,0.008983692568209436
37.659833,-0.781967,0.2482,0.0008922288381856763
37.6518,-0.728883,0.5752,0.0021200510673224926
37.68735,-0.783783,0.1752,0.0022388569891013
37.8118,-0.784483,0.6388,0.004239710410022073
37.760617,-0.8078,0.9606,0.0
37.761783,-0.78355,0.905,0.0016584664133713683
37.748233,-0.749617,0.5685,0.00151998224383634
37.74045,-0.727117,0.445,0.0003513896598532382
37.710417,-0.778383,0.4183,0.0011326623433786961
37.718,-0.839783,0.8986,0.004277815861213539
37.694517,-0.8104,0.6498,0.0021647406813119436
37.666817,-0.809683,0.6111,0.006452331914462977
37.659833,-0.781967,0.4551,0.0018289552406511372
37.6518,-0.728883,0.1782,0.0
37.68735,-0.783783,0.4792,0.001712243836664129
37.74045,-0.727117,0.22,0.0012971034625984936
37.8118,-0.784483,0.2661,0.0022905438284700117
37.760617,-0.8078,0.4463,0.001783415998539163
37.761783,-0.78355,0.339,0.0010480730804071452
37.748233,-0.749617,0.2316,0.002163416657519216
37.74045,-0.727117,0.72,0.0028133761047178674
37.710417,-0.778383,0.3462,0.0011347573599778116
37.718,-0.839783,0.5733,0.0016083427278014522
37.694517,-0.8104,0.5151,0.0012834267884803314
37.666817,-0.809683,0.4193,0.004476144314847059
37.659833,-0.781967,0.5274,0.0014394776339435743
37.6518,-0.728883,0.3112,0.0017923673278548652
37.68735,-0.783783,0.6303,0.0015539621656191433
37.8118,-0.784483,0.282,0.002684120790541379
37.760617,-0.8078,0.3873,0.0013298099220264703
37.761783,-0.78355,0.3392,0.001199561256928266
37.748233,-0.749617,0.2881,0.0018296113121323287
37.74045,-0.727117,0.15,0.0010447415988892317
37.710417,-0.778383,0.3093,0.0008141313317335314
37.718,-0.839783,0.5096,0.002569743742545446
37.694517,-0.8104,0.4459,0.0012072339464389693
37.666817,-0.809683,0.4966,0.00551269138749275
37.659833,-0.781967,0.4527,0.0008257030907164639
37.6518,-0.728883,0.3647,0.0017229306136464907
37.68735,-0.783783,0.3692,0.0021172795354181696
