Date,1m,6m
2024-05-13 20:01:00,4.8604,
2024-05-13 21:01:00,4.8292,
2024-05-13 22:01:00,4.8417
2024-05-13 23:01:00,4.8608
2024-05-14 00:01:00,4.8741
2024-05-14 01:01:00,4.8251
2024-05-14 02:01:00,4.8168
2024-05-14 03:01:00,4.8166
2024-05-14 04:01:00,4.8233
2024-05-14 05:01:00,4.822
2024-05-14 06:01:00,4.8082
2024-05-14 07:01:00,4.8233
2024-05-14 08:01:00,4.8245
2024-05-14 09:01:00,4.826
2024-05-14 10:01:00,4.822
2024-05-14 11:01:00,4.8217
2024-05-14 12:01:00,4.8117
2024-05-14 13:01:00,4.8201
2024-05-14 14:01:00,4.8255
2024-05-14 15:01:00,4.786
2024-05-14 16:01:00,4.7648
2024-05-14 17:01:00,4.7937
2024-05-14 18:01:00,4.8043
2024-05-14 19:01:00,4.8135
2024-05-14 20:01:00,4.8408
2024-05-14 21:01:00,4.7903
2024-05-14 22:01:00,4.8186
2024-05-14 23:01:00,4.8465
2024-05-15 00:01:00,4.8409
2024-05-15 01:01:00,4.8333
2024-05-15 02:01:00,4.8504
2024-05-15 03:01:00,4.8041
2024-05-15 04:01:00,4.8504
2024-05-15 05:01:00,4.7736
2024-05-15 06:01:00,4.8293
2024-05-15 07:01:00,4.8438
