Date,0m
2024-05-13 20:37:00,20.97049
2024-05-13 20:42:00,20.92799
2024-05-13 21:02:00,20.71332
2024-05-13 21:07:00,20.76911
2024-05-13 21:12:00,20.8671
2024-05-13 21:17:00,20.92728
2024-05-13 21:22:00,20.95249
2024-05-13 21:27:00,21.04811
2024-05-13 21:32:00,21.07452
2024-05-13 21:37:00,20.99262
2024-05-13 21:42:00,20.90944
2024-05-13 22:02:00,20.45722
2024-05-13 22:07:00,20.42585
2024-05-13 22:12:00,20.30962
2024-05-13 22:17:00,20.22779
2024-05-13 22:22:00,20.18876
2024-05-13 22:27:00,20.11157
2024-05-13 22:32:00,20.07006
2024-05-13 22:37:00,19.92731
2024-05-13 22:42:00,19.79708
2024-05-13 23:02:00,19.6843
2024-05-13 23:07:00,19.62475
2024-05-13 23:12:00,19.69097
2024-05-13 23:17:00,19.57097
2024-05-13 23:22:00,19.54674
2024-05-13 23:27:00,19.49599
2024-05-13 23:32:00,19.56827
2024-05-13 23:37:00,19.45732
2024-05-13 23:42:00,19.44836
2024-05-14 00:02:00,19.27501
2024-05-14 00:07:00,19.36946
2024-05-14 00:12:00,19.38893
2024-05-14 00:17:00,19.31522
2024-05-14 00:22:00,19.3548
2024-05-14 00:27:00,19.41685
2024-05-14 00:32:00,19.47665
2024-05-14 00:37:00,19.40138
2024-05-14 00:42:00,19.54995
2024-05-14 01:02:00,19.33525
2024-05-14 01:07:00,19.37562
2024-05-14 01:12:00,19.43979
2024-05-14 01:17:00,19.35119
2024-05-14 01:22:00,19.42759
2024-05-14 01:27:00,19.43844
2024-05-14 01:32:00,19.46282
2024-05-14 01:37:00,19.35091
2024-05-14 01:42:00,19.36406
2024-05-14 02:02:00,19.26768
2024-05-14 02:07:00,19.19209
2024-05-14 02:12:00,19.21115
2024-05-14 02:17:00,19.14507
2024-05-14 02:22:00,19.13983
2024-05-14 02:27:00,19.07543
2024-05-14 02:32:00,19.01442
2024-05-14 02:37:00,18.96923
2024-05-14 02:42:00,18.98864
2024-05-14 03:02:00,18.94202
2024-05-14 03:07:00,18.98408
2024-05-14 03:12:00,19.00004
2024-05-14 03:17:00,18.99709
2024-05-14 03:22:00,18.98158
2024-05-14 03:27:00,18.93049
2024-05-14 03:32:00,18.96272
2024-05-14 03:37:00,18.94328
2024-05-14 03:42:00,18.91877
2024-05-14 04:02:00,19.0751
2024-05-14 04:07:00,18.99557
2024-05-14 04:12:00,18.92087
2024-05-14 04:17:00,18.88488
2024-05-14 04:22:00,18.8652
2024-05-14 04:27:00,18.88501
2024-05-14 04:32:00,18.83751
2024-05-14 04:37:00,18.84221
2024-05-14 04:42:00,18.79245
2024-05-14 05:02:00,18.94124
2024-05-14 05:07:00,18.91148
2024-05-14 05:12:00,18.79839
2024-05-14 05:17:00,18.73236
2024-05-14 05:22:00,18.82156
2024-05-14 05:27:00,18.63958
2024-05-14 05:32:00,18.62741
2024-05-14 05:37:00,18.57102
2024-05-14 05:42:00,18.49581
2024-05-14 06:02:00,18.02344
2024-05-14 06:07:00,18.09802
2024-05-14 06:12:00,18.09042
2024-05-14 06:17:00,17.93147
2024-05-14 06:22:00,17.97674
2024-05-14 06:27:00,17.88136
2024-05-14 06:32:00,18.01733
2024-05-14 06:37:00,18.15676
2024-05-14 06:42:00,18.07181
2024-05-14 07:02:00,17.89798
2024-05-14 07:07:00,17.88494
2024-05-14 07:12:00,17.94099
2024-05-14 07:17:00,18.0265
2024-05-14 07:22:00,17.9568
2024-05-14 07:27:00,17.86744
2024-05-14 07:32:00,17.88684
2024-05-14 07:37:00,18.04064
2024-05-14 07:42:00,18.23566
2024-05-14 08:02:00,18.74075
2024-05-14 08:07:00,18.78596
2024-05-14 08:12:00,18.94791
2024-05-14 08:17:00,19.06041
2024-05-14 08:22:00,19.28712
2024-05-14 08:27:00,19.56489
2024-05-14 08:32:00,19.76305
2024-05-14 08:37:00,19.97018
2024-05-14 08:42:00,20.14449
2024-05-14 09:02:00,20.88163
2024-05-14 09:07:00,20.91251
2024-05-14 09:12:00,21.14982
2024-05-14 09:17:00,21.33077
2024-05-14 09:22:00,21.26088
2024-05-14 09:27:00,21.09817
2024-05-14 09:32:00,20.93346
2024-05-14 09:37:00,20.93456
2024-05-14 09:42:00,20.96738
2024-05-14 10:02:00,21.6664
2024-05-14 10:07:00,21.72058
2024-05-14 10:12:00,21.71531
2024-05-14 10:17:00,21.73105
2024-05-14 10:22:00,21.77726
2024-05-14 10:27:00,21.82102
2024-05-14 10:32:00,21.92505
2024-05-14 10:37:00,22.0351
2024-05-14 10:42:00,21.74939
2024-05-14 11:02:00,22.03129
2024-05-14 11:07:00,22.26754
2024-05-14 11:12:00,22.6796
2024-05-14 11:17:00,22.91899
2024-05-14 11:22:00,23.06722
2024-05-14 11:27:00,23.65403
2024-05-14 11:32:00,23.12839
2024-05-14 11:37:00,22.97501
2024-05-14 11:42:00,22.93856
2024-05-14 12:02:00,23.34132
2024-05-14 12:07:00,23.32778
2024-05-14 12:12:00,23.4059
2024-05-14 12:17:00,23.40903
2024-05-14 12:22:00,23.43673
2024-05-14 12:27:00,23.71011
2024-05-14 12:32:00,23.35585
2024-05-14 12:37:00,23.55689
2024-05-14 12:42:00,23.71977
2024-05-14 13:02:00,23.79992
2024-05-14 13:07:00,23.76361
2024-05-14 13:12:00,23.92063
2024-05-14 13:17:00,24.14348
2024-05-14 13:22:00,24.25273
2024-05-14 13:27:00,24.38594
2024-05-14 13:32:00,24.15572
2024-05-14 13:37:00,24.12794
2024-05-14 13:42:00,24.16049
2024-05-14 14:02:00,23.60257
2024-05-14 14:07:00,23.71273
2024-05-14 14:12:00,23.77105
2024-05-14 14:17:00,23.75217
2024-05-14 14:22:00,23.67004
2024-05-14 14:27:00,23.73962
2024-05-14 14:32:00,23.80064
2024-05-14 14:37:00,24.20517
2024-05-14 14:42:00,24.53538
2024-05-14 15:02:00,24.06306
2024-05-14 15:07:00,24.25963
2024-05-14 15:12:00,24.61666
2024-05-14 15:17:00,24.47162
2024-05-14 15:22:00,24.19831
2024-05-14 15:27:00,23.92048
2024-05-14 15:32:00,23.88184
2024-05-14 15:37:00,23.97142
2024-05-14 15:42:00,24.1002
2024-05-14 16:02:00,23.5369
2024-05-14 16:07:00,23.57988
2024-05-14 16:12:00,23.50373
2024-05-14 16:17:00,23.66776
2024-05-14 16:22:00,23.87902
2024-05-14 16:27:00,23.90623
2024-05-14 16:32:00,23.75219
2024-05-14 16:37:00,24.20211
2024-05-14 16:42:00,24.50444
2024-05-14 17:02:00,24.71913
2024-05-14 17:07:00,24.72051
2024-05-14 17:12:00,24.62527
2024-05-14 17:17:00,24.69975
2024-05-14 17:22:00,24.40535
2024-05-14 17:27:00,24.41771
2024-05-14 17:32:00,24.45971
2024-05-14 17:37:00,24.32147
2024-05-14 17:42:00,24.23849
2024-05-14 18:02:00,23.9318
2024-05-14 18:07:00,24.18294
2024-05-14 18:12:00,24.04164
2024-05-14 18:17:00,24.00839
2024-05-14 18:22:00,23.8405
2024-05-14 18:27:00,23.80163
2024-05-14 18:32:00,23.90857
2024-05-14 18:37:00,23.84511
2024-05-14 18:42:00,23.87791
2024-05-14 19:02:00,24.19416
2024-05-14 19:07:00,24.12823
