Date,3m
2024-05-13 20:01:00,48.22107
2024-05-13 21:01:00,46.52684
2024-05-13 22:01:00,45.73796
2024-05-13 23:01:00,43.26975
2024-05-14 00:01:00,38.80546
2024-05-14 01:01:00,35.91809
2024-05-14 02:01:00,33.62719
2024-05-14 03:01:00,30.90635
2024-05-14 04:01:00,28.41392
2024-05-14 05:01:00,27.64459
2024-05-14 06:01:00,26.27436
2024-05-14 07:01:00,29.15655
2024-05-14 08:01:00,37.28444
2024-05-14 09:01:00,47.81849
2024-05-14 10:01:00,50.85553
2024-05-14 11:01:00,50.67062
2024-05-14 12:01:00,54.0702
2024-05-14 13:01:00,54.70974
2024-05-14 14:01:00,51.54099
2024-05-14 15:01:00,52.25751
2024-05-14 16:01:00,52.68157
2024-05-14 17:01:00,52.61663
2024-05-14 18:01:00,52.40857
2024-05-14 19:01:00,51.78949
2024-05-14 20:01:00,49.33601
2024-05-14 21:01:00,47.51935
2024-05-14 22:01:00,46.47984
2024-05-14 23:01:00,43.09021
2024-05-15 00:01:00,43.43035
2024-05-15 01:01:00,44.34786
2024-05-15 02:01:00,43.95517
2024-05-15 03:01:00,43.15077
2024-05-15 04:01:00,43.66073
2024-05-15 05:01:00,42.99014
2024-05-15 06:01:00,41.94588
2024-05-15 07:01:00,45.28687
