Date,1m,6m
2024-05-13 20:01:00,6.205476,
2024-05-13 21:01:00,6.217836,
2024-05-13 22:01:00,6.216666
2024-05-13 23:01:00,6.213456
2024-05-14 00:01:00,6.193499
2024-05-14 01:01:00,6.161167
2024-05-14 02:01:00,6.158905
2024-05-14 03:01:00,6.153706
2024-05-14 04:01:00,6.159634
2024-05-14 05:01:00,6.156012
2024-05-14 06:01:00,6.15967
2024-05-14 07:01:00,6.163473
2024-05-14 08:01:00,6.169294
2024-05-14 09:01:00,6.176435
2024-05-14 10:01:00,6.192684
2024-05-14 11:01:00,6.212526
2024-05-14 12:01:00,6.237815
2024-05-14 13:01:00,6.216349
2024-05-14 14:01:00,6.220016
2024-05-14 15:01:00,6.228235
2024-05-14 16:01:00,6.235906
2024-05-14 17:01:00,6.245429
2024-05-14 18:01:00,6.249004
2024-05-14 19:01:00,6.248798
2024-05-14 20:01:00,6.249244
2024-05-14 21:01:00,6.243088
2024-05-14 22:01:00,6.23052
2024-05-14 23:01:00,6.219748
2024-05-15 00:01:00,6.213946
2024-05-15 01:01:00,6.2071
2024-05-15 02:01:00,6.203498
2024-05-15 03:01:00,6.195492
2024-05-15 04:01:00,6.192624
2024-05-15 05:01:00,6.186767
2024-05-15 06:01:00,6.183746
2024-05-15 07:01:00,6.182728
