Dataset,CAT,ELN,ENS,KNN,LBM,LR,MLP,RF,SVR,XGB
TOA_15x15_depth_in_3_4,0.138 ± 0.079,2.170 ± 0.083,0.970 ± 0.108,0.005 ± 0.001,0.465 ± 0.218,2.058 ± 0.229,1.547 ± 0.410,0.843 ± 0.227,1.776 ± 0.131,0.843 ± 0.649
TOA_9x9_depth_in_3_4,0.118 ± 0.072,2.180 ± 0.104,0.971 ± 0.101,0.005 ± 0.001,0.466 ± 0.220,1.987 ± 0.235,1.631 ± 0.353,0.747 ± 0.186,1.770 ± 0.122,0.887 ± 0.641
TOA_5x5_depth_in_3_4,0.154 ± 0.096,2.144 ± 0.101,0.975 ± 0.111,0.005 ± 0.001,0.543 ± 0.220,1.943 ± 0.218,1.613 ± 0.367,0.858 ± 0.312,1.780 ± 0.124,0.841 ± 0.661
TOA_3x3_depth_in_3_4,0.168 ± 0.116,2.174 ± 0.102,1.021 ± 0.125,0.005 ± 0.001,0.555 ± 0.218,2.025 ± 0.249,1.699 ± 0.387,0.871 ± 0.285,1.789 ± 0.122,0.954 ± 0.654
TOA_1x1_depth_in_3_4,0.158 ± 0.096,2.207 ± 0.096,1.056 ± 0.108,0.005 ± 0.001,0.652 ± 0.196,2.037 ± 0.237,1.745 ± 0.326,1.013 ± 0.291,1.786 ± 0.123,1.028 ± 0.648
C2X-Complex_rhow_9x9_depth_in_3_4,0.457 ± 0.278,2.097 ± 0.098,1.163 ± 0.114,0.005 ± 0.001,0.573 ± 0.151,2.143 ± 0.077,1.898 ± 0.241,1.187 ± 0.312,1.726 ± 0.109,1.129 ± 0.622
C2X-Complex_rhow_15x15_depth_in_3_4,0.349 ± 0.243,2.064 ± 0.117,1.119 ± 0.110,0.005 ± 0.001,0.549 ± 0.159,2.130 ± 0.131,1.795 ± 0.239,1.140 ± 0.283,1.747 ± 0.096,1.038 ± 0.687
C2X-Complex_rhown_9x9_depth_in_3_4,0.361 ± 0.273,2.139 ± 0.097,1.213 ± 0.130,0.005 ± 0.001,0.613 ± 0.151,2.172 ± 0.123,1.916 ± 0.251,1.366 ± 0.285,1.779 ± 0.125,1.333 ± 0.684
C2X-Complex_rhow_5x5_depth_in_3_4,0.399 ± 0.273,2.155 ± 0.105,1.200 ± 0.138,0.005 ± 0.001,0.547 ± 0.180,2.133 ± 0.135,1.908 ± 0.310,1.237 ± 0.361,1.805 ± 0.141,1.415 ± 0.665
C2X-Complex_rhown_5x5_depth_in_3_4,0.461 ± 0.270,2.173 ± 0.093,1.255 ± 0.129,0.005 ± 0.001,0.627 ± 0.142,2.187 ± 0.111,1.894 ± 0.305,1.331 ± 0.359,1.871 ± 0.138,1.578 ± 0.568
