Dataset,CAT,ELN,ENS,KNN,LBM,LR,MLP,RF,SVR,XGB
C2RCC_rhow_5x5_depth_in_0_1,0.997 ± 0.003,0.656 ± 0.022,0.948 ± 0.008,1.000 ± 0.000,0.991 ± 0.006,0.673 ± 0.078,0.855 ± 0.116,0.952 ± 0.024,0.811 ± 0.040,0.993 ± 0.009
C2RCC_rhown_5x5_depth_in_0_1,0.997 ± 0.003,0.657 ± 0.022,0.947 ± 0.010,1.000 ± 0.000,0.991 ± 0.006,0.650 ± 0.076,0.870 ± 0.082,0.954 ± 0.026,0.800 ± 0.039,0.991 ± 0.011
TOA_15x15_depth_in_0_1,0.999 ± 0.001,0.577 ± 0.027,0.936 ± 0.014,1.000 ± 0.000,0.991 ± 0.009,0.659 ± 0.053,0.802 ± 0.195,0.961 ± 0.029,0.567 ± 0.059,0.972 ± 0.074
C2X-Complex_rhow_9x9_depth_in_0_1,0.997 ± 0.004,0.676 ± 0.041,0.944 ± 0.010,1.000 ± 0.000,0.990 ± 0.006,0.673 ± 0.067,0.816 ± 0.127,0.957 ± 0.028,0.787 ± 0.031,0.990 ± 0.032
C2X-Complex_rhow_15x15_depth_in_0_1,0.998 ± 0.003,0.674 ± 0.045,0.945 ± 0.012,1.000 ± 0.000,0.993 ± 0.005,0.664 ± 0.089,0.834 ± 0.093,0.959 ± 0.028,0.785 ± 0.027,0.976 ± 0.078
C2X-Complex_rhow_5x5_depth_in_0_1,0.998 ± 0.002,0.604 ± 0.074,0.934 ± 0.018,1.000 ± 0.000,0.990 ± 0.006,0.567 ± 0.054,0.817 ± 0.134,0.960 ± 0.036,0.789 ± 0.030,0.937 ± 0.144
C2RCC_rhow_15x15_depth_in_0_1,0.996 ± 0.004,0.613 ± 0.028,0.931 ± 0.014,1.000 ± 0.000,0.986 ± 0.008,0.623 ± 0.084,0.804 ± 0.138,0.944 ± 0.033,0.775 ± 0.041,0.962 ± 0.084
C2X-Complex_rhown_9x9_depth_in_0_1,0.997 ± 0.004,0.661 ± 0.034,0.938 ± 0.012,1.000 ± 0.000,0.989 ± 0.007,0.646 ± 0.073,0.822 ± 0.108,0.937 ± 0.038,0.784 ± 0.034,0.969 ± 0.085
C2RCC_rhow_9x9_depth_in_0_1,0.996 ± 0.006,0.656 ± 0.027,0.935 ± 0.014,1.000 ± 0.000,0.987 ± 0.008,0.650 ± 0.079,0.793 ± 0.144,0.950 ± 0.029,0.780 ± 0.048,0.976 ± 0.061
C2X-Complex_rhown_15x15_depth_in_0_1,0.998 ± 0.004,0.659 ± 0.035,0.935 ± 0.013,1.000 ± 0.000,0.990 ± 0.006,0.649 ± 0.083,0.834 ± 0.080,0.936 ± 0.032,0.784 ± 0.025,0.944 ± 0.117
