Dataset,CAT,ELN,ENS,KNN,LBM,LR,MLP,RF,SVR,XGB
TOA_15x15_depth_in_3_4,0.058 ± 0.030,0.511 ± 0.013,0.231 ± 0.015,0.004 ± 0.001,0.135 ± 0.053,0.506 ± 0.039,0.357 ± 0.073,0.174 ± 0.044,0.358 ± 0.019,0.129 ± 0.060
TOA_9x9_depth_in_3_4,0.051 ± 0.028,0.505 ± 0.017,0.231 ± 0.012,0.004 ± 0.001,0.139 ± 0.055,0.497 ± 0.037,0.368 ± 0.056,0.167 ± 0.038,0.362 ± 0.016,0.139 ± 0.050
TOA_5x5_depth_in_3_4,0.065 ± 0.036,0.501 ± 0.015,0.232 ± 0.016,0.004 ± 0.001,0.160 ± 0.053,0.477 ± 0.041,0.380 ± 0.064,0.187 ± 0.059,0.366 ± 0.018,0.131 ± 0.060
TOA_3x3_depth_in_3_4,0.070 ± 0.041,0.506 ± 0.017,0.241 ± 0.017,0.004 ± 0.001,0.157 ± 0.050,0.499 ± 0.046,0.400 ± 0.077,0.198 ± 0.056,0.369 ± 0.016,0.142 ± 0.055
C2X-Complex_rhow_15x15_depth_in_3_4,0.130 ± 0.074,0.472 ± 0.017,0.272 ± 0.016,0.005 ± 0.001,0.183 ± 0.042,0.494 ± 0.015,0.414 ± 0.049,0.262 ± 0.055,0.356 ± 0.012,0.192 ± 0.072
TOA_1x1_depth_in_3_4,0.067 ± 0.036,0.522 ± 0.014,0.250 ± 0.015,0.004 ± 0.001,0.180 ± 0.047,0.522 ± 0.038,0.403 ± 0.065,0.213 ± 0.055,0.373 ± 0.016,0.157 ± 0.059
C2X-Complex_rhow_9x9_depth_in_3_4,0.163 ± 0.081,0.482 ± 0.015,0.285 ± 0.017,0.005 ± 0.001,0.189 ± 0.041,0.497 ± 0.010,0.436 ± 0.050,0.273 ± 0.061,0.362 ± 0.016,0.211 ± 0.058
C2X-Complex_rhown_9x9_depth_in_3_4,0.133 ± 0.083,0.488 ± 0.012,0.288 ± 0.018,0.005 ± 0.001,0.203 ± 0.042,0.496 ± 0.013,0.440 ± 0.057,0.307 ± 0.053,0.365 ± 0.016,0.224 ± 0.068
C2X-Complex_rhow_5x5_depth_in_3_4,0.142 ± 0.082,0.496 ± 0.012,0.289 ± 0.021,0.005 ± 0.001,0.184 ± 0.052,0.506 ± 0.018,0.443 ± 0.061,0.294 ± 0.068,0.375 ± 0.020,0.232 ± 0.071
C2X-Complex_rhown_5x5_depth_in_3_4,0.161 ± 0.080,0.499 ± 0.010,0.299 ± 0.021,0.005 ± 0.001,0.211 ± 0.041,0.511 ± 0.014,0.446 ± 0.068,0.305 ± 0.068,0.385 ± 0.021,0.248 ± 0.058
