Dataset,CAT,ELN,ENS,KNN,LBM,LR,MLP,RF,SVR,XGB
C2X-Complex_rhow_15x15_depth_in_1_2,0.091 ± 0.047,0.448 ± 0.013,0.220 ± 0.016,0.009 ± 0.002,0.139 ± 0.047,0.460 ± 0.020,0.339 ± 0.056,0.173 ± 0.057,0.299 ± 0.012,0.104 ± 0.063
C2X-Complex_rhow_9x9_depth_in_1_2,0.126 ± 0.067,0.455 ± 0.015,0.238 ± 0.019,0.009 ± 0.002,0.157 ± 0.046,0.467 ± 0.013,0.382 ± 0.065,0.196 ± 0.054,0.301 ± 0.013,0.121 ± 0.065
C2X-Complex_rhown_9x9_depth_in_1_2,0.089 ± 0.056,0.457 ± 0.014,0.237 ± 0.016,0.009 ± 0.002,0.169 ± 0.033,0.467 ± 0.013,0.364 ± 0.067,0.202 ± 0.055,0.306 ± 0.015,0.140 ± 0.063
C2X-Complex_rhow_5x5_depth_in_1_2,0.092 ± 0.057,0.470 ± 0.017,0.240 ± 0.017,0.009 ± 0.002,0.155 ± 0.054,0.491 ± 0.018,0.383 ± 0.065,0.204 ± 0.060,0.296 ± 0.018,0.095 ± 0.068
C2X-Complex_rhow_3x3_depth_in_1_2,0.141 ± 0.061,0.463 ± 0.015,0.248 ± 0.019,0.009 ± 0.002,0.162 ± 0.048,0.478 ± 0.014,0.386 ± 0.057,0.224 ± 0.069,0.323 ± 0.018,0.147 ± 0.071
C2X-Complex_rhown_3x3_depth_in_1_2,0.071 ± 0.046,0.471 ± 0.015,0.242 ± 0.015,0.009 ± 0.002,0.154 ± 0.052,0.491 ± 0.016,0.378 ± 0.057,0.208 ± 0.067,0.339 ± 0.016,0.118 ± 0.075
C2RCC_rhown_3x3_depth_in_1_2,0.125 ± 0.055,0.467 ± 0.010,0.246 ± 0.015,0.009 ± 0.002,0.184 ± 0.050,0.488 ± 0.017,0.360 ± 0.041,0.237 ± 0.060,0.332 ± 0.015,0.155 ± 0.067
C2X-Complex_rhown_5x5_depth_in_1_2,0.092 ± 0.059,0.472 ± 0.016,0.244 ± 0.017,0.009 ± 0.002,0.160 ± 0.051,0.492 ± 0.020,0.371 ± 0.048,0.215 ± 0.063,0.310 ± 0.021,0.119 ± 0.077
C2X_rhow_5x5_depth_in_1_2,0.154 ± 0.060,0.454 ± 0.014,0.254 ± 0.016,0.027 ± 0.004,0.187 ± 0.035,0.455 ± 0.029,0.406 ± 0.067,0.226 ± 0.058,0.328 ± 0.012,0.192 ± 0.059
C2X_rhow_3x3_depth_in_1_2,0.170 ± 0.062,0.446 ± 0.013,0.264 ± 0.016,0.027 ± 0.004,0.194 ± 0.041,0.466 ± 0.022,0.416 ± 0.056,0.258 ± 0.053,0.346 ± 0.013,0.205 ± 0.059
