Date,Buoy,Latitude,Longitude,rhown_B1,rhown_B2,rhown_B3,rhown_B4,rhown_B5,rhown_B6,Chl,Turbidez,dif_norm_rhown_B2_B3,dif_inv_rhown_B2_B3,dif_norm_rhown_B2_B4,dif_inv_rhown_B2_B4,dif_norm_rhown_B2_B5,dif_inv_rhown_B2_B5,dif_norm_rhown_B3_B4,dif_inv_rhown_B3_B4,dif_norm_rhown_B3_B5,dif_inv_rhown_B3_B5,dif_norm_rhown_B4_B5,dif_inv_rhown_B4_B5,dall_gitelson_rhown_B2_B3_B4,dall_gitelson_rhown_B2_B3_B5,dall_gitelson_rhown_B2_B4_B3,dall_gitelson_rhown_B2_B4_B5,dall_gitelson_rhown_B2_B5_B3,dall_gitelson_rhown_B2_B5_B4,dall_gitelson_rhown_B3_B4_B2,dall_gitelson_rhown_B3_B4_B5,dall_gitelson_rhown_B3_B5_B2,dall_gitelson_rhown_B3_B5_B4,dall_gitelson_rhown_B4_B5_B2,dall_gitelson_rhown_B4_B5_B3,dif_norm_4_bands_rhown_B2_B3_B4_B5,dif_norm_4_bands_rhown_B2_B4_B3_B5,dif_norm_4_bands_rhown_B2_B5_B3_B4,dif_norm_4_bands_rhown_B3_B4_B2_B5,dif_norm_4_bands_rhown_B3_B5_B2_B4,dif_norm_4_bands_rhown_B4_B5_B2_B3,dif_rel_4bands_rhown_B2_B3_B4_B5,dif_rel_4bands_rhown_B2_B3_B5_B4,dif_rel_4bands_rhown_B2_B4_B3_B5,dif_rel_4bands_rhown_B2_B4_B5_B3,dif_rel_4bands_rhown_B2_B5_B3_B4,dif_rel_4bands_rhown_B2_B5_B4_B3,dif_rel_4bands_rhown_B3_B2_B4_B5,dif_rel_4bands_rhown_B3_B2_B5_B4,dif_rel_4bands_rhown_B3_B4_B5_B2,dif_rel_4bands_rhown_B3_B5_B4_B2,dif_rel_4bands_rhown_B4_B2_B5_B3,dif_rel_4bands_rhown_B4_B3_B5_B2,sum_norm_3bands_rhown_B2_B4_B3,sum_norm_3bands_rhown_B3_B5_B4
2016-08-09,CTD11,4169609,700351,0.012677618,0.018335706,0.029216733,0.014742743,0.011137724,0.0029348328,9.47,3.705,-0.229,20.311,0.109,-13.292,0.244,-35.247,0.329,-33.603,0.448,-55.558,0.139,-21.955,0.299,0.226,-0.388,-0.148,-1.03,-0.52,-0.616,-0.374,-1.019,-0.819,-0.403,-0.641,-0.42,0.089,0.164,0.491,0.547,0.076,-0.696,-0.128,-1.38,0.863,-0.336,1.142,0.27,0.838,1.374,1.819,0.423,-0.103,0.696,0.918
2016-08-09,CTD12,4173438,695414,0.009553588,0.0154765425,0.02933656,0.013182733,0.01008446,0.0026956727,9.215,4.285,-0.309,30.527,0.08,-11.243,0.211,-34.549,0.38,-41.77,0.488,-65.075,0.133,-23.306,0.402,0.308,-0.33,-0.113,-1.014,-0.455,-0.646,-0.421,-1.007,-0.858,-0.361,-0.684,-0.596,0.058,0.127,0.632,0.672,0.069,-0.78,-0.237,-1.735,0.83,-0.691,1.085,0.588,1.131,1.574,2.057,0.508,-0.202,0.64,0.927
2016-09-08,CTD1,4187246,695025,0.0074102557,0.011431448,0.023128968,0.014337521,0.011983099,0.0035322397,19.44,4.905,-0.338,44.242,-0.113,17.731,-0.024,4.027,0.235,-26.511,0.317,-40.215,0.089,-13.704,0.634,0.53,0.41,0.212,0.093,0.058,-0.303,-0.318,-0.46,-0.577,-0.157,-0.317,-0.444,-0.083,-0.015,0.375,0.433,0.068,-0.702,-0.342,-1.133,0.279,-0.659,0.334,0.827,1.187,0.565,0.676,0.736,-0.428,0.746,0.937
2016-09-08,CTD2,4181518,693105,0.007388066,0.011652588,0.022566702,0.011465702,0.008974186,0.0024747886,14.445,4.115,-0.319,41.505,0.008,-1.399,0.13,-25.613,0.326,-42.904,0.431,-67.118,0.122,-24.214,0.476,0.372,-0.032,-0.013,-0.578,-0.294,-0.5,-0.385,-0.782,-0.77,-0.282,-0.546,-0.534,0.006,0.079,0.538,0.588,0.073,-0.761,-0.266,-1.498,0.619,-0.67,0.79,0.659,1.154,1.198,1.531,0.586,-0.262,0.676,0.927
2016-09-08,CTD3,4181698,695238,0.0071606943,0.0111633595,0.020960642,0.010362438,0.007978339,0.0021694133,12.435,3.8,-0.305,41.87,0.037,-6.924,0.166,-35.761,0.338,-48.794,0.449,-77.631,0.13,-28.837,0.434,0.334,-0.145,-0.055,-0.75,-0.371,-0.545,-0.389,-0.867,-0.804,-0.322,-0.604,-0.534,0.028,0.102,0.554,0.603,0.074,-0.766,-0.237,-1.55,0.697,-0.624,0.905,0.579,1.108,1.308,1.699,0.548,-0.22,0.67,0.924
2016-09-08,CTD4,4180266,698264,0.007229996,0.011153284,0.021589857,0.011634213,0.009261468,0.0026019523,14.875,3.87,-0.319,43.342,-0.021,3.706,0.093,-18.315,0.3,-39.635,0.4,-61.656,0.114,-22.021,0.504,0.401,0.08,0.034,-0.395,-0.213,-0.442,-0.367,-0.688,-0.717,-0.246,-0.475,-0.499,-0.016,0.057,0.488,0.541,0.072,-0.74,-0.279,-1.372,0.53,-0.651,0.665,0.68,1.14,1.025,1.288,0.614,-0.292,0.696,0.929
2016-09-08,CTD5,4179450,700268,0.0061478764,0.010887452,0.01771259,0.0038407245,0.0026320175,0.0006543732,1.0699999999999998,0.1225,-0.239,35.392,0.478,-168.519,0.611,-288.088,0.644,-203.911,0.741,-323.48,0.187,-119.569,0.136,0.093,-2.985,-0.444,-5.103,-1.106,-2.22,-0.537,-3.522,-1.242,-1.302,-2.118,-1.054,0.346,0.383,1.026,1.024,0.042,-0.845,-0.071,-3.895,2.686,-0.475,3.92,0.168,0.942,4.37,6.377,0.204,-0.025,0.515,0.944
2016-09-08,CTD6,4176009,695829,0.0060916427,0.009650285,0.019372394,0.009992926,0.007904618,0.0022117887,12.465,4.315,-0.335,52.004,-0.017,3.553,0.099,-22.884,0.319,-48.451,0.42,-74.888,0.117,-26.438,0.52,0.411,0.069,0.028,-0.443,-0.229,-0.468,-0.383,-0.723,-0.748,-0.255,-0.512,-0.543,-0.013,0.059,0.534,0.584,0.072,-0.766,-0.293,-1.485,0.558,-0.718,0.705,0.743,1.216,1.12,1.415,0.627,-0.303,0.677,0.929
2016-09-08,CTD7,4176724,690397,0.0057250853,0.009410037,0.020137385,0.010507977,0.008475812,0.0024154573,15.21,4.495,-0.363,56.611,-0.055,11.104,0.052,-11.713,0.314,-45.507,0.408,-68.324,0.107,-22.817,0.595,0.48,0.224,0.094,-0.236,-0.123,-0.428,-0.386,-0.643,-0.718,-0.215,-0.459,-0.565,-0.038,0.03,0.538,0.585,0.069,-0.772,-0.339,-1.48,0.475,-0.806,0.588,0.9,1.333,1.016,1.259,0.696,-0.379,0.674,0.934
2016-09-08,CTD9,4171106,693183,0.009893592,0.015638981,0.03127793,0.018601524,0.015521715,0.0045168065,,,-0.333,31.971,-0.087,10.184,0.004,-0.483,0.254,-21.788,0.337,-32.454,0.09,-10.667,0.595,0.496,0.319,0.158,-0.015,-0.009,-0.341,-0.338,-0.508,-0.604,-0.167,-0.334,-0.458,-0.063,0.002,0.407,0.46,0.066,-0.698,-0.334,-1.174,0.344,-0.674,0.413,0.802,1.166,0.689,0.826,0.693,-0.398,0.73,0.938
