Date,Buoy,Latitude,Longitude,rhown_B1,rhown_B2,rhown_B3,rhown_B4,rhown_B5,rhown_B6,Chl,Turbidez,dif_norm_rhown_B2_B3,dif_inv_rhown_B2_B3,dif_norm_rhown_B2_B4,dif_inv_rhown_B2_B4,dif_norm_rhown_B2_B5,dif_inv_rhown_B2_B5,dif_norm_rhown_B3_B4,dif_inv_rhown_B3_B4,dif_norm_rhown_B3_B5,dif_inv_rhown_B3_B5,dif_norm_rhown_B4_B5,dif_inv_rhown_B4_B5,dall_gitelson_rhown_B2_B3_B4,dall_gitelson_rhown_B2_B3_B5,dall_gitelson_rhown_B2_B4_B3,dall_gitelson_rhown_B2_B4_B5,dall_gitelson_rhown_B2_B5_B3,dall_gitelson_rhown_B2_B5_B4,dall_gitelson_rhown_B3_B4_B2,dall_gitelson_rhown_B3_B4_B5,dall_gitelson_rhown_B3_B5_B2,dall_gitelson_rhown_B3_B5_B4,dall_gitelson_rhown_B4_B5_B2,dall_gitelson_rhown_B4_B5_B3,dif_norm_4_bands_rhown_B2_B3_B4_B5,dif_norm_4_bands_rhown_B2_B4_B3_B5,dif_norm_4_bands_rhown_B2_B5_B3_B4,dif_norm_4_bands_rhown_B3_B4_B2_B5,dif_norm_4_bands_rhown_B3_B5_B2_B4,dif_norm_4_bands_rhown_B4_B5_B2_B3,dif_rel_4bands_rhown_B2_B3_B4_B5,dif_rel_4bands_rhown_B2_B3_B5_B4,dif_rel_4bands_rhown_B2_B4_B3_B5,dif_rel_4bands_rhown_B2_B4_B5_B3,dif_rel_4bands_rhown_B2_B5_B3_B4,dif_rel_4bands_rhown_B2_B5_B4_B3,dif_rel_4bands_rhown_B3_B2_B4_B5,dif_rel_4bands_rhown_B3_B2_B5_B4,dif_rel_4bands_rhown_B3_B4_B5_B2,dif_rel_4bands_rhown_B3_B5_B4_B2,dif_rel_4bands_rhown_B4_B2_B5_B3,dif_rel_4bands_rhown_B4_B3_B5_B2,sum_norm_3bands_rhown_B2_B4_B3,sum_norm_3bands_rhown_B3_B5_B4
2016-08-09,CTD1,4187246,695025,0.011234064,0.018133275,0.034468252,0.016595101,0.013079599,0.0035755902,10.685,6.75,-0.311,26.135,0.044,-5.112,0.162,-21.308,0.35,-31.247,0.45,-47.443,0.118,-16.196,0.434,0.342,-0.176,-0.067,-0.734,-0.354,-0.567,-0.409,-0.86,-0.787,-0.294,-0.558,-0.55,0.032,0.099,0.573,0.616,0.067,-0.743,-0.262,-1.543,0.713,-0.691,0.905,0.632,1.113,1.356,1.72,0.536,-0.24,0.66,0.931
2016-08-09,CTD2,4181518,693105,0.0080195805,0.011638663,0.020011267,0.010844853,0.0086765,0.0024619063,11.665,4.805,-0.265,35.949,0.035,-6.289,0.146,-29.333,0.297,-42.238,0.395,-65.282,0.111,-23.044,0.39,0.312,-0.126,-0.055,-0.587,-0.318,-0.492,-0.366,-0.76,-0.708,-0.268,-0.461,-0.429,0.028,0.096,0.451,0.504,0.069,-0.668,-0.218,-1.233,0.64,-0.504,0.799,0.469,0.919,1.1,1.375,0.498,-0.204,0.71,0.93
2016-08-09,CTD3,4181698,695238,0.0066109016,0.010425748,0.020093167,0.010827807,0.009147521,0.002637746,11.67,3.9,-0.317,46.148,-0.019,3.562,0.065,-13.403,0.3,-42.587,0.374,-59.551,0.084,-16.964,0.5,0.422,0.072,0.033,-0.269,-0.145,-0.444,-0.39,-0.621,-0.645,-0.177,-0.341,-0.484,-0.014,0.041,0.473,0.515,0.055,-0.665,-0.326,-1.234,0.508,-0.716,0.601,0.744,1.082,0.978,1.158,0.583,-0.339,0.696,0.946
2016-08-09,CTD4,4180266,698264,0.008589972,0.010880876,0.015308044,0.008855747,0.007716121,0.0023626524,8.39,3.735,-0.169,26.579,0.103,-21.017,0.17,-37.694,0.267,-47.596,0.33,-64.274,0.069,-16.678,0.235,0.205,-0.322,-0.162,-0.577,-0.334,-0.518,-0.367,-0.699,-0.569,-0.181,-0.255,-0.267,0.088,0.131,0.347,0.385,0.044,-0.437,-0.161,-0.755,0.725,-0.318,0.832,0.259,0.536,1.019,1.17,0.31,-0.131,0.754,0.953
2016-08-09,CTD5,4179450,700268,0.011651613,0.019876305,0.027931532,0.0048476057,0.003220561,0.0007936864,0.29,0.13,-0.168,14.509,0.608,-155.976,0.721,-260.194,0.704,-170.486,0.793,-274.703,0.202,-104.218,0.07,0.047,-4.357,-0.502,-7.268,-1.261,-3.389,-0.549,-5.46,-1.332,-2.071,-2.911,-0.998,0.482,0.508,0.999,0.999,0.034,-0.794,0.047,-4.573,3.985,0.41,5.998,-0.1,0.741,5.6,8.429,0.129,0.012,0.517,0.95
2016-08-09,CTD6,4176009,695829,0.008732,0.013189688,0.023285594,0.01088243,0.008250715,0.0022059307,10.59,4.245,-0.277,32.872,0.096,-16.074,0.23,-45.385,0.363,-48.946,0.477,-78.257,0.138,-29.31,0.358,0.271,-0.374,-0.133,-1.057,-0.494,-0.646,-0.404,-1.032,-0.852,-0.387,-0.683,-0.528,0.073,0.145,0.578,0.625,0.072,-0.753,-0.192,-1.61,0.858,-0.541,1.131,0.446,1.007,1.514,1.997,0.471,-0.158,0.66,0.923
2016-08-09,CTD7,4176724,690397,0.009463251,0.014429287,0.027091311,0.01444761,0.011514215,0.0031956136,12.01,5.81,-0.305,32.391,-0.001,0.088,0.112,-17.546,0.304,-32.303,0.403,-49.937,0.113,-17.634,0.468,0.373,0.002,0.001,-0.475,-0.253,-0.466,-0.372,-0.721,-0.721,-0.254,-0.478,-0.488,-0.0,0.07,0.487,0.539,0.071,-0.722,-0.264,-1.354,0.574,-0.622,0.72,0.623,1.081,1.077,1.352,0.576,-0.265,0.695,0.929
2016-08-09,CTD8,4174178,693048,0.011305991,0.017206708,0.030812684,0.0138373505,0.010311555,0.0026788744,13.7,6.125,-0.283,25.663,0.109,-14.151,0.251,-38.862,0.38,-39.814,0.499,-64.524,0.146,-24.71,0.355,0.265,-0.436,-0.146,-1.197,-0.538,-0.685,-0.411,-1.11,-0.893,-0.425,-0.761,-0.563,0.082,0.154,0.617,0.66,0.073,-0.783,-0.187,-1.745,0.909,-0.558,1.22,0.449,1.046,1.628,2.184,0.47,-0.15,0.646,0.921
2016-08-09,CTD9,4171106,693183,0.012790599,0.019829134,0.03901237,0.019856324,0.015883295,0.004385973,,,-0.326,24.798,-0.001,0.069,0.11,-12.528,0.325,-24.729,0.421,-37.326,0.111,-12.597,0.492,0.394,0.003,0.001,-0.489,-0.249,-0.49,-0.393,-0.74,-0.741,-0.25,-0.491,-0.537,-0.0,0.067,0.536,0.583,0.068,-0.742,-0.292,-1.458,0.591,-0.716,0.739,0.717,1.168,1.164,1.455,0.594,-0.292,0.674,0.933
2016-08-09,CTD10,4170388,695646,0.00818507,0.013205121,0.026302509,0.013234393,0.010539183,0.0030089053,13.575,4.515,-0.332,37.709,-0.001,0.167,0.112,-19.156,0.331,-37.542,0.428,-56.865,0.113,-19.323,0.499,0.397,0.004,0.002,-0.504,-0.254,-0.496,-0.396,-0.751,-0.753,-0.255,-0.508,-0.551,-0.001,0.067,0.55,0.596,0.068,-0.754,-0.294,-1.498,0.597,-0.734,0.75,0.736,1.195,1.189,1.493,0.602,-0.295,0.669,0.932
