Date,Buoy,Latitude,Longitude,rhown_B1,rhown_B2,rhown_B3,rhown_B4,rhown_B5,rhown_B6,Chl,Turbidez
2018-03-07,CTD1,4187246,695025,0.014095876,0.02513549,0.048002895,0.014207061,0.010025006,0.0024344926,3.917,5.7005
2018-03-07,CTD2,4181518,693105,0.007787107,0.014772069,0.028817192,0.0065808776,0.0045659225,0.0011209209,5.798,3.204
2018-03-07,CTD3,4181698,695238,0.010333511,0.019079814,0.036681015,0.009746339,0.0068076877,0.0016653907,5.2155000000000005,3.9625
2018-03-07,CTD4,4180266,698264,0.0116837155,0.02201093,0.042192902,0.0105379475,0.0072739436,0.001755567,3.4535,3.233
2018-03-07,CTD5,4179450,700268,0.013112897,0.022230688,0.030282335,0.0044018044,0.0028622837,0.00069745455,0.823,0.986
2018-03-07,CTD6,4176009,695829,0.0078920545,0.014363134,0.026754426,0.006911901,0.004808652,0.0011849243,5.715,3.0555
2018-03-07,CTD7,4176724,690397,0.008492198,0.01601706,0.030264776,0.006518613,0.004471035,0.0010884093,3.012,3.115
2018-03-07,CTD8,4174178,693048,0.009408836,0.017684894,0.03224249,0.006636921,0.0045140893,0.0010945738,3.4415,3.087
2018-03-07,CTD9,4171106,693183,0.0136125125,0.02356713,0.046053,0.017134912,0.012728627,0.0032322123,0.509,1.3235
2018-03-07,CTD10,4170388,695646,0.007019595,0.01322057,0.025942223,0.0061057536,0.0042645633,0.0010538173,4.3055,2.7245
2018-03-07,CTD11,4169609,700351,0.010001444,0.018529754,0.033997223,0.008031854,0.005506361,0.0013350918,3.2475,3.0995
2018-03-07,CTD12,4173438,695414,0.00851968,0.0152374655,0.027252896,0.006525259,0.00450412,0.0011061106,4.633,2.527
2018-05-16,CTD1,4187246,695025,0.010211243,0.018947575,0.03311606,0.0070864707,0.0048582368,0.0011954426,1.955,0.4
2018-05-16,CTD2,4181518,693105,0.00834605,0.01524611,0.025066245,0.005242752,0.0035939561,0.0008947384,2.604,1.325
2018-05-16,CTD3,4181698,695238,0.00695627,0.012846274,0.02231739,0.0050188564,0.0034828477,0.0008724974,2.8315,1.1585
2018-05-16,CTD4,4180266,698264,0.00772932,0.014162022,0.025601279,0.006369596,0.00445622,0.0011146148,2.063,1.99
2018-05-16,CTD5,4179450,700268,0.012226288,0.02244049,0.03416011,0.005781995,0.0038278296,0.0009351948,0.5700000000000001,0.662
2018-05-16,CTD6,4176009,695829,0.008801171,0.01603053,0.028665291,0.0071631586,0.0050024814,0.0012473693,1.002,10.653
2018-05-16,CTD7,4176724,690397,0.012725461,0.02506231,0.0493996,0.0120546715,0.008338452,0.0020037985,3.122,3.7565
2018-05-16,CTD8,4174178,693048,0.0098231435,0.018765543,0.033106677,0.0067823394,0.0046268036,0.0011354627,0.963,14.287
2018-05-16,CTD9,4171106,693183,0.020826258,0.034123387,0.06687731,0.030760705,0.025649153,0.0071543823,0.4575,2.0275
2018-05-16,CTD10,4170388,695646,0.007840597,0.0149884345,0.030652853,0.008844194,0.0063786022,0.0016177525,2.1115,2.0005
