Date,Buoy,Latitude,Longitude,rhow_B1,rhow_B2,rhow_B3,rhow_B4,rhow_B5,rhow_B6,rhow_B7,rhow_B8A,Chl,Turbidez,dif_norm_rhow_B2_B3,dif_inv_rhow_B2_B3,dif_norm_rhow_B2_B4,dif_inv_rhow_B2_B4,dif_norm_rhow_B2_B5,dif_inv_rhow_B2_B5,dif_norm_rhow_B3_B4,dif_inv_rhow_B3_B4,dif_norm_rhow_B3_B5,dif_inv_rhow_B3_B5,dif_norm_rhow_B4_B5,dif_inv_rhow_B4_B5,dall_gitelson_rhow_B2_B3_B4,dall_gitelson_rhow_B2_B3_B5,dall_gitelson_rhow_B2_B4_B3,dall_gitelson_rhow_B2_B4_B5,dall_gitelson_rhow_B2_B5_B3,dall_gitelson_rhow_B2_B5_B4,dall_gitelson_rhow_B3_B4_B2,dall_gitelson_rhow_B3_B4_B5,dall_gitelson_rhow_B3_B5_B2,dall_gitelson_rhow_B3_B5_B4,dall_gitelson_rhow_B4_B5_B2,dall_gitelson_rhow_B4_B5_B3,dif_norm_4_bands_rhow_B2_B3_B4_B5,dif_norm_4_bands_rhow_B2_B4_B3_B5,dif_norm_4_bands_rhow_B2_B5_B3_B4,dif_norm_4_bands_rhow_B3_B4_B2_B5,dif_norm_4_bands_rhow_B3_B5_B2_B4,dif_norm_4_bands_rhow_B4_B5_B2_B3,dif_rel_4bands_rhow_B2_B3_B4_B5,dif_rel_4bands_rhow_B2_B3_B5_B4,dif_rel_4bands_rhow_B2_B4_B3_B5,dif_rel_4bands_rhow_B2_B4_B5_B3,dif_rel_4bands_rhow_B2_B5_B3_B4,dif_rel_4bands_rhow_B2_B5_B4_B3,dif_rel_4bands_rhow_B3_B2_B4_B5,dif_rel_4bands_rhow_B3_B2_B5_B4,dif_rel_4bands_rhow_B3_B4_B5_B2,dif_rel_4bands_rhow_B3_B5_B4_B2,dif_rel_4bands_rhow_B4_B2_B5_B3,dif_rel_4bands_rhow_B4_B3_B5_B2,sum_norm_3bands_rhow_B2_B4_B3,sum_norm_3bands_rhow_B3_B5_B4
2016-08-09,CTD11,4169609,700351,0.0127466405,0.01818193,0.029332206,0.014960781,0.010687087,0.0030868582,0.003021513,0.001184418,9.53,3.51,-0.235,20.907,0.097,-11.842,0.26,-38.571,0.324,-32.749,0.466,-59.479,0.167,-26.729,0.313,0.223,-0.347,-0.127,-1.131,-0.577,-0.595,-0.35,-1.081,-0.89,-0.486,-0.784,-0.435,0.08,0.169,0.498,0.563,0.09,-0.78,-0.094,-1.529,0.851,-0.259,1.191,0.213,0.899,1.373,1.922,0.458,-0.078,0.698,0.904
2016-08-09,CTD12,4173438,695414,0.009594027,0.015367705,0.029283462,0.013396436,0.009623213,0.0027880655,0.002748763,0.0010842842,10.5,3.99,-0.312,30.923,0.069,-9.575,0.23,-38.844,0.372,-40.498,0.505,-69.766,0.164,-29.269,0.414,0.298,-0.28,-0.092,-1.137,-0.52,-0.622,-0.39,-1.072,-0.935,-0.45,-0.857,-0.605,0.051,0.135,0.636,0.683,0.085,-0.867,-0.194,-1.896,0.819,-0.589,1.139,0.513,1.187,1.56,2.171,0.543,-0.169,0.644,0.912
2016-09-08,CTD1,4187246,695025,0.0074141016,0.011389623,0.02297908,0.014666862,0.011467192,0.003629842,0.0036226104,0.0014447187,23.19,4.91,-0.337,44.281,-0.126,19.618,-0.003,0.594,0.221,-24.663,0.334,-43.687,0.122,-19.024,0.649,0.508,0.451,0.225,0.014,0.009,-0.281,-0.283,-0.498,-0.641,-0.217,-0.437,-0.443,-0.095,-0.002,0.364,0.442,0.093,-0.783,-0.286,-1.227,0.278,-0.573,0.355,0.739,1.236,0.56,0.716,0.789,-0.369,0.758,0.915
2016-09-08,CTD2,4181518,693105,0.0073939953,0.011605996,0.022479063,0.0116417715,0.008549078,0.0025504862,0.002524316,0.0010047373,17.47,3.95,-0.319,41.677,-0.002,0.265,0.152,-30.809,0.318,-41.412,0.449,-72.486,0.153,-31.074,0.485,0.356,0.006,0.002,-0.693,-0.359,-0.481,-0.354,-0.841,-0.844,-0.361,-0.699,-0.539,-0.001,0.09,0.538,0.599,0.091,-0.845,-0.218,-1.632,0.617,-0.573,0.84,0.575,1.203,1.194,1.626,0.623,-0.219,0.682,0.909
2016-09-08,CTD3,4181698,695238,0.007158684,0.011124007,0.020901041,0.010483822,0.007581408,0.0022369446,0.0022087097,0.0008798485,14.11,3.56,-0.305,42.051,0.03,-5.489,0.189,-42.006,0.332,-47.541,0.468,-84.057,0.161,-36.517,0.441,0.319,-0.115,-0.042,-0.878,-0.44,-0.529,-0.36,-0.935,-0.881,-0.406,-0.763,-0.541,0.022,0.113,0.557,0.616,0.091,-0.851,-0.191,-1.696,0.698,-0.526,0.966,0.496,1.156,1.312,1.814,0.58,-0.18,0.675,0.908
2016-09-08,CTD4,4180266,698264,0.007230526,0.011114151,0.021499254,0.0118339015,0.008836063,0.0026833664,0.0026598498,0.0010601716,14.72,2.59,-0.318,43.462,-0.031,5.472,0.114,-23.197,0.29,-37.99,0.417,-66.659,0.145,-28.67,0.514,0.384,0.118,0.048,-0.499,-0.275,-0.422,-0.336,-0.741,-0.789,-0.319,-0.616,-0.502,-0.024,0.068,0.484,0.552,0.092,-0.822,-0.23,-1.494,0.528,-0.559,0.707,0.595,1.188,1.022,1.368,0.654,-0.245,0.704,0.91
2016-09-08,CTD5,4179450,700268,0.006167915,0.010860509,0.017765567,0.0038938415,0.002449288,0.0006656264,0.00064867904,0.00026119436,0.94,0.04,-0.241,35.788,0.472,-164.739,0.632,-316.205,0.64,-200.527,0.758,-351.993,0.228,-151.466,0.139,0.088,-2.927,-0.403,-5.618,-1.231,-2.178,-0.491,-3.823,-1.371,-1.645,-2.691,-1.089,0.345,0.388,1.042,1.038,0.05,-0.978,-0.018,-4.464,2.651,-0.128,4.215,0.046,1.007,4.337,6.895,0.221,-0.006,0.515,0.933
2016-09-08,CTD6,4176009,695829,0.0060909125,0.009625891,0.019258818,0.010137401,0.007506512,0.002271974,0.002254209,0.00090328394,15.48,4.13,-0.333,51.962,-0.026,5.242,0.124,-29.331,0.31,-46.72,0.439,-81.293,0.149,-34.573,0.527,0.39,0.101,0.039,-0.565,-0.297,-0.45,-0.351,-0.783,-0.824,-0.333,-0.666,-0.546,-0.019,0.072,0.532,0.595,0.091,-0.851,-0.241,-1.616,0.56,-0.617,0.756,0.65,1.26,1.12,1.512,0.663,-0.253,0.684,0.911
2016-09-08,CTD7,4176724,690397,0.0057316483,0.00939105,0.019966764,0.010684125,0.008049293,0.0024727155,0.0024667014,0.0009904995,17.88,4.29,-0.36,56.401,-0.064,12.888,0.077,-17.75,0.303,-43.514,0.425,-74.151,0.141,-30.638,0.603,0.454,0.257,0.104,-0.354,-0.19,-0.409,-0.35,-0.696,-0.792,-0.288,-0.612,-0.565,-0.046,0.044,0.532,0.594,0.09,-0.857,-0.283,-1.602,0.476,-0.702,0.632,0.799,1.373,1.012,1.343,0.735,-0.322,0.684,0.914
2016-09-08,CTD9,4171106,693183,0.009937508,0.015518122,0.031118577,0.019131107,0.014862239,0.004631581,0.0046138233,0.0018209004,3.8,5.55,-0.335,32.306,-0.104,12.17,0.022,-2.844,0.239,-20.136,0.354,-35.149,0.126,-15.014,0.618,0.48,0.379,0.181,-0.088,-0.054,-0.312,-0.299,-0.545,-0.672,-0.233,-0.467,-0.459,-0.079,0.013,0.395,0.469,0.092,-0.789,-0.278,-1.283,0.334,-0.582,0.429,0.718,1.228,0.669,0.861,0.755,-0.343,0.743,0.915
