Date,Buoy,Latitude,Longitude,rhow_B1,rhow_B2,rhow_B3,rhow_B4,rhow_B5,rhow_B6,rhow_B7,rhow_B8A,Chl,Turbidez,dif_norm_rhow_B2_B3,dif_inv_rhow_B2_B3,dif_norm_rhow_B2_B4,dif_inv_rhow_B2_B4,dif_norm_rhow_B2_B5,dif_inv_rhow_B2_B5,dif_norm_rhow_B3_B4,dif_inv_rhow_B3_B4,dif_norm_rhow_B3_B5,dif_inv_rhow_B3_B5,dif_norm_rhow_B4_B5,dif_inv_rhow_B4_B5,dall_gitelson_rhow_B2_B3_B4,dall_gitelson_rhow_B2_B3_B5,dall_gitelson_rhow_B2_B4_B3,dall_gitelson_rhow_B2_B4_B5,dall_gitelson_rhow_B2_B5_B3,dall_gitelson_rhow_B2_B5_B4,dall_gitelson_rhow_B3_B4_B2,dall_gitelson_rhow_B3_B4_B5,dall_gitelson_rhow_B3_B5_B2,dall_gitelson_rhow_B3_B5_B4,dall_gitelson_rhow_B4_B5_B2,dall_gitelson_rhow_B4_B5_B3,dif_norm_4_bands_rhow_B2_B3_B4_B5,dif_norm_4_bands_rhow_B2_B4_B3_B5,dif_norm_4_bands_rhow_B2_B5_B3_B4,dif_norm_4_bands_rhow_B3_B4_B2_B5,dif_norm_4_bands_rhow_B3_B5_B2_B4,dif_norm_4_bands_rhow_B4_B5_B2_B3,dif_rel_4bands_rhow_B2_B3_B4_B5,dif_rel_4bands_rhow_B2_B3_B5_B4,dif_rel_4bands_rhow_B2_B4_B3_B5,dif_rel_4bands_rhow_B2_B4_B5_B3,dif_rel_4bands_rhow_B2_B5_B3_B4,dif_rel_4bands_rhow_B2_B5_B4_B3,dif_rel_4bands_rhow_B3_B2_B4_B5,dif_rel_4bands_rhow_B3_B2_B5_B4,dif_rel_4bands_rhow_B3_B4_B5_B2,dif_rel_4bands_rhow_B3_B5_B4_B2,dif_rel_4bands_rhow_B4_B2_B5_B3,dif_rel_4bands_rhow_B4_B3_B5_B2,sum_norm_3bands_rhow_B2_B4_B3,sum_norm_3bands_rhow_B3_B5_B4
2016-08-09,CTD11,4169609,700351,0.008105557,0.011979025,0.021000816,0.011000672,0.008032962,0.0024041818,0.0023557125,0.0009359669,,,-0.274,35.862,0.043,-7.424,0.197,-41.008,0.312,-43.286,0.447,-76.87,0.156,-33.584,0.395,0.288,-0.156,-0.06,-0.861,-0.451,-0.519,-0.348,-0.921,-0.846,-0.402,-0.705,-0.474,0.034,0.123,0.5,0.564,0.09,-0.799,-0.16,-1.525,0.706,-0.418,0.967,0.384,1.023,1.238,1.696,0.536,-0.147,0.697,0.907
2016-08-09,CTD12,4173438,695414,0.008989714,0.014293721,0.026778305,0.012550694,0.008972003,0.0026215564,0.0025908514,0.0010250371,,,-0.304,32.617,0.065,-9.716,0.229,-41.497,0.362,-42.333,0.498,-74.114,0.166,-31.781,0.409,0.293,-0.26,-0.087,-1.111,-0.521,-0.605,-0.38,-1.059,-0.93,-0.454,-0.851,-0.58,0.049,0.135,0.612,0.663,0.087,-0.865,-0.181,-1.846,0.804,-0.54,1.124,0.475,1.159,1.506,2.107,0.543,-0.159,0.654,0.909
2016-09-08,CTD1,4187246,695025,0.007186908,0.011409761,0.023645932,0.014095872,0.0108549725,0.0033967479,0.0033966762,0.0013554926,18.69,4.95,-0.349,45.354,-0.105,16.701,0.025,-4.479,0.253,-28.652,0.371,-49.833,0.13,-21.181,0.639,0.492,0.395,0.181,-0.106,-0.063,-0.327,-0.311,-0.569,-0.702,-0.242,-0.501,-0.49,-0.078,0.015,0.429,0.501,0.092,-0.816,-0.288,-1.369,0.35,-0.626,0.455,0.774,1.302,0.726,0.943,0.776,-0.355,0.728,0.914
2016-09-08,CTD2,4181518,693105,0.0065848045,0.010436455,0.021094711,0.011201857,0.008247391,0.0024894085,0.0024704451,0.0009859185,,,-0.338,48.413,-0.035,6.547,0.117,-25.432,0.306,-41.866,0.438,-73.845,0.152,-31.98,0.542,0.399,0.138,0.054,-0.536,-0.285,-0.437,-0.345,-0.771,-0.827,-0.334,-0.675,-0.548,-0.026,0.068,0.529,0.594,0.094,-0.863,-0.242,-1.626,0.541,-0.618,0.734,0.663,1.285,1.093,1.484,0.682,-0.259,0.686,0.909
2016-09-08,CTD3,4181698,695238,0.006710377,0.010536389,0.020597933,0.010707693,0.007770033,0.0023496428,0.0023244137,0.00092797464,,,-0.323,46.361,-0.008,1.518,0.151,-33.79,0.316,-44.842,0.452,-80.151,0.159,-35.309,0.496,0.36,0.031,0.012,-0.696,-0.362,-0.472,-0.348,-0.845,-0.858,-0.372,-0.727,-0.545,-0.006,0.088,0.54,0.604,0.094,-0.867,-0.214,-1.667,0.607,-0.568,0.836,0.577,1.229,1.186,1.635,0.639,-0.218,0.682,0.906
2016-09-08,CTD4,4180266,698264,0.00538102,0.0084329555,0.017104443,0.009806661,0.007483394,0.0023039908,0.0022890803,0.0009150217,,,-0.34,60.118,-0.075,16.611,0.06,-15.047,0.271,-43.507,0.391,-75.165,0.134,-31.658,0.59,0.45,0.284,0.124,-0.257,-0.148,-0.367,-0.326,-0.634,-0.737,-0.267,-0.541,-0.502,-0.056,0.035,0.459,0.527,0.091,-0.817,-0.27,-1.426,0.422,-0.617,0.554,0.718,1.265,0.857,1.123,0.725,-0.314,0.714,0.914
2016-09-08,CTD5,4179450,700268,0.00650296,0.011186606,0.017695226,0.003925066,0.0024593968,0.0006656264,0.00064867904,0.00026119436,0.94,0.04,-0.225,32.88,0.481,-165.38,0.64,-317.211,0.637,-198.26,0.756,-350.091,0.23,-151.831,0.129,0.081,-2.926,-0.407,-5.613,-1.245,-2.218,-0.488,-3.916,-1.374,-1.698,-2.687,-1.019,0.36,0.404,1.009,1.008,0.051,-0.964,0.006,-4.345,2.711,0.04,4.327,-0.014,0.955,4.288,6.844,0.212,0.002,0.523,0.932
2016-09-08,CTD6,4176009,695829,0.0065888213,0.0103188595,0.019942816,0.010286571,0.007690974,0.0023005109,0.002276823,0.00091038225,,,-0.318,46.767,0.002,-0.304,0.146,-33.113,0.319,-47.071,0.443,-79.879,0.144,-32.808,0.481,0.36,-0.006,-0.002,-0.66,-0.341,-0.486,-0.362,-0.824,-0.822,-0.339,-0.654,-0.535,0.001,0.087,0.536,0.595,0.086,-0.82,-0.23,-1.59,0.617,-0.597,0.826,0.595,1.185,1.193,1.596,0.611,-0.23,0.681,0.914
2016-09-08,CTD7,4176724,690397,0.0064161755,0.010458245,0.0216526,0.011541264,0.008612197,0.002611856,0.0025957297,0.001040885,,,-0.349,49.435,-0.049,8.973,0.097,-20.496,0.305,-40.462,0.431,-69.931,0.145,-29.469,0.571,0.426,0.194,0.077,-0.444,-0.237,-0.423,-0.348,-0.731,-0.807,-0.308,-0.638,-0.555,-0.036,0.056,0.53,0.593,0.091,-0.857,-0.263,-1.608,0.508,-0.662,0.681,0.73,1.324,1.053,1.411,0.706,-0.29,0.685,0.912
2016-09-08,CTD9,4171106,693183,0.009851409,0.015453519,0.03083936,0.019270614,0.015157631,0.0048468914,0.004828156,0.0019033923,,,-0.332,32.284,-0.11,12.818,0.01,-1.263,0.231,-19.466,0.341,-33.547,0.119,-14.081,0.622,0.489,0.395,0.194,-0.039,-0.024,-0.301,-0.295,-0.518,-0.646,-0.218,-0.434,-0.447,-0.083,0.006,0.378,0.452,0.089,-0.77,-0.285,-1.233,0.31,-0.581,0.395,0.724,1.209,0.619,0.788,0.756,-0.356,0.75,0.918
