Date,Buoy,Latitude,Longitude,rhow_B1,rhow_B2,rhow_B3,rhow_B4,rhow_B5,rhow_B6,rhow_B7,rhow_B8A,Chl,Turbidez
2018-02-20,CTD5,4179450,700268,0.018331086,0.028681265,0.032269724,0.0039839977,0.0025542695,0.0006796128,0.0006163747,0.0002435821,0.6375,1.009
2018-02-20,CTD6,4176009,695829,0.014104341,0.021278473,0.032813802,0.009867876,0.007756008,0.0018696197,0.001864629,0.0007259365,8.118500000000001,2.426
2018-02-20,CTD7,4176724,690397,0.004685346,0.007832281,0.0150927035,0.0032330109,0.002849699,0.000579866,0.0005760515,0.00021926925,3.0575,2.4210000000000003
2018-02-20,CTD8,4174178,693048,0.005550435,0.009196902,0.017305227,0.004563716,0.003779153,0.00082172867,0.00080887857,0.0003144459,3.5725,2.921
2018-02-20,CTD9,4171106,693183,0.019113116,0.03087537,0.051963568,0.02592796,0.019421756,0.00508385,0.004961092,0.0019791862,0.162,18.298
2018-02-20,CTD10,4170388,695646,0.020274047,0.029551383,0.04580813,0.017015658,0.014709527,0.0038815588,0.003825443,0.0015049231,7.7415,3.194
2018-02-20,CTD11,4169609,700351,0.007317538,0.0124681145,0.023054473,0.0071091317,0.005537262,0.0012931526,0.0012867842,0.0005075461,7.388999999999999,2.8885
2018-02-20,CTD12,4173438,695414,0.006294758,0.009703271,0.017758744,0.004283617,0.0040222807,0.0008526649,0.00083600153,0.00031715486,7.618,2.729
2018-03-07,CTD1,4187246,695025,0.018569347,0.028851539,0.043690603,0.016008614,0.011154612,0.0028451122,0.0028496394,0.0011340196,5.1905,6.2535
2018-03-07,CTD2,4181518,693105,0.016144464,0.02374627,0.03727682,0.010907069,0.009673952,0.002313987,0.002316536,0.0008776815,6.552,3.151
2018-03-07,CTD3,4181698,695238,0.01975226,0.02875683,0.044711556,0.016319968,0.014225192,0.003734015,0.0036826062,0.001440924,5.939,3.7725
2018-03-07,CTD4,4180266,698264,0.017772445,0.028634127,0.04550056,0.015470439,0.011224197,0.002800153,0.0027931177,0.0011023243,3.9965,3.037
2018-03-07,CTD5,4179450,700268,0.01784516,0.027496211,0.034363218,0.005742042,0.003660483,0.00092276145,0.0008755831,0.0003482742,0.8759999999999999,1.075
2018-03-07,CTD6,4176009,695829,0.0119081,0.01785683,0.028109292,0.009173556,0.007368776,0.001828936,0.0018285014,0.00072063686,6.433999999999999,3.0475
2018-03-07,CTD7,4176724,690397,0.009627944,0.01583801,0.025314366,0.0058084596,0.004205555,0.0009275231,0.0009203158,0.0003522102,3.4775,3.0455
2018-03-07,CTD8,4174178,693048,0.009873626,0.016240368,0.026634198,0.0062430077,0.004637051,0.0010142399,0.0010048395,0.00038417953,3.939,3.0975
2018-03-07,CTD9,4171106,693183,0.019506097,0.029213974,0.04367712,0.019429114,0.013857177,0.0037108061,0.0036727285,0.0014708096,0.158,0.887
2018-03-07,CTD10,4170388,695646,0.008888052,0.014128845,0.02322244,0.0056922934,0.0044796104,0.0009822306,0.0009874802,0.00037536613,4.8995,2.9365
2018-03-07,CTD11,4169609,700351,0.008932626,0.014739876,0.025214782,0.007611109,0.005704846,0.0013414518,0.0013386733,0.00052741566,4.0645,3.4875
