Date,Buoy,Latitude,Longitude,rhow_B1,rhow_B2,rhow_B3,rhow_B4,rhow_B5,rhow_B6,rhow_B7,rhow_B8A,Chl,Turbidez,dif_norm_rhow_B2_B3,dif_inv_rhow_B2_B3,dif_norm_rhow_B2_B4,dif_inv_rhow_B2_B4,dif_norm_rhow_B2_B5,dif_inv_rhow_B2_B5,dif_norm_rhow_B3_B4,dif_inv_rhow_B3_B4,dif_norm_rhow_B3_B5,dif_inv_rhow_B3_B5,dif_norm_rhow_B4_B5,dif_inv_rhow_B4_B5,dall_gitelson_rhow_B2_B3_B4,dall_gitelson_rhow_B2_B3_B5,dall_gitelson_rhow_B2_B4_B3,dall_gitelson_rhow_B2_B4_B5,dall_gitelson_rhow_B2_B5_B3,dall_gitelson_rhow_B2_B5_B4,dall_gitelson_rhow_B3_B4_B2,dall_gitelson_rhow_B3_B4_B5,dall_gitelson_rhow_B3_B5_B2,dall_gitelson_rhow_B3_B5_B4,dall_gitelson_rhow_B4_B5_B2,dall_gitelson_rhow_B4_B5_B3,dif_norm_4_bands_rhow_B2_B3_B4_B5,dif_norm_4_bands_rhow_B2_B4_B3_B5,dif_norm_4_bands_rhow_B2_B5_B3_B4,dif_norm_4_bands_rhow_B3_B4_B2_B5,dif_norm_4_bands_rhow_B3_B5_B2_B4,dif_norm_4_bands_rhow_B4_B5_B2_B3,dif_rel_4bands_rhow_B2_B3_B4_B5,dif_rel_4bands_rhow_B2_B3_B5_B4,dif_rel_4bands_rhow_B2_B4_B3_B5,dif_rel_4bands_rhow_B2_B4_B5_B3,dif_rel_4bands_rhow_B2_B5_B3_B4,dif_rel_4bands_rhow_B2_B5_B4_B3,dif_rel_4bands_rhow_B3_B2_B4_B5,dif_rel_4bands_rhow_B3_B2_B5_B4,dif_rel_4bands_rhow_B3_B4_B5_B2,dif_rel_4bands_rhow_B3_B5_B4_B2,dif_rel_4bands_rhow_B4_B2_B5_B3,dif_rel_4bands_rhow_B4_B3_B5_B2,sum_norm_3bands_rhow_B2_B4_B3,sum_norm_3bands_rhow_B3_B5_B4
2016-08-09,CTD11,4169609,700351,0.013264691,0.01850298,0.027197637,0.015967922,0.012060166,0.0035825477,0.0034235597,0.0014423,8.69,3.95,-0.19,17.277,0.074,-8.58,0.211,-28.872,0.26,-25.858,0.386,-46.15,0.139,-20.292,0.276,0.208,-0.233,-0.103,-0.785,-0.461,-0.478,-0.312,-0.854,-0.737,-0.375,-0.552,-0.31,0.065,0.149,0.367,0.439,0.086,-0.644,-0.075,-1.096,0.715,-0.169,0.947,0.146,0.715,1.051,1.392,0.42,-0.065,0.754,0.909
2016-08-09,CTD12,4173438,695414,0.012755073,0.018824998,0.029143559,0.014056456,0.010666765,0.0029951336,0.0029477947,0.0012111759,8.52,4.48,-0.215,18.808,0.145,-18.021,0.277,-40.628,0.349,-36.829,0.464,-59.436,0.137,-22.607,0.264,0.201,-0.525,-0.192,-1.184,-0.571,-0.693,-0.393,-1.119,-0.835,-0.426,-0.659,-0.417,0.12,0.189,0.512,0.562,0.071,-0.672,-0.113,-1.393,0.973,-0.308,1.283,0.23,0.789,1.507,1.985,0.381,-0.084,0.685,0.922
2016-09-08,CTD1,4187246,695025,0.009679799,0.014128845,0.024649302,0.013686976,0.013245068,0.0039513498,0.0038650408,0.0015915099,18.69,4.95,-0.271,30.208,0.016,-2.285,0.032,-4.723,0.286,-32.493,0.301,-34.931,0.016,-2.438,0.413,0.4,-0.056,-0.03,-0.116,-0.065,-0.459,-0.43,-0.494,-0.478,-0.034,-0.06,-0.391,0.012,0.023,0.4,0.41,0.011,-0.46,-0.395,-0.829,0.495,-0.734,0.511,0.711,0.777,0.863,0.892,0.431,-0.382,0.717,0.988
2016-09-08,CTD2,4181518,693105,0.0102082575,0.014971433,0.023616333,0.012307406,0.009491137,0.0027280597,0.0026811461,0.001115416,13.22,4.29,-0.224,24.45,0.098,-14.458,0.224,-38.568,0.315,-38.908,0.427,-63.018,0.129,-24.11,0.301,0.232,-0.341,-0.137,-0.911,-0.475,-0.583,-0.369,-0.943,-0.776,-0.361,-0.569,-0.397,0.08,0.153,0.462,0.518,0.073,-0.663,-0.137,-1.272,0.815,-0.341,1.056,0.281,0.806,1.285,1.666,0.42,-0.113,0.707,0.922
2016-09-08,CTD3,4181698,695238,0.005246576,0.007819605,0.01345593,0.0062605985,0.0051390636,0.0013790033,0.0013643369,0.00056830957,13.57,3.92,-0.265,53.567,0.111,-31.845,0.207,-66.704,0.365,-85.412,0.447,-120.271,0.098,-34.859,0.335,0.275,-0.429,-0.164,-0.898,-0.418,-0.668,-0.439,-0.94,-0.753,-0.273,-0.469,-0.494,0.084,0.136,0.555,0.591,0.053,-0.637,-0.24,-1.369,0.867,-0.628,1.056,0.503,0.9,1.492,1.818,0.419,-0.192,0.662,0.943
2016-09-08,CTD4,4180266,698264,0.016852992,0.022818645,0.03165196,0.018653609,0.013787858,0.004133223,0.004071092,0.0016759449,12.38,4.15,-0.162,12.23,0.1,-9.785,0.247,-28.704,0.258,-22.015,0.393,-40.934,0.15,-18.919,0.228,0.169,-0.31,-0.135,-0.909,-0.535,-0.502,-0.304,-0.934,-0.764,-0.432,-0.599,-0.272,0.092,0.18,0.355,0.431,0.089,-0.632,-0.018,-1.072,0.788,-0.042,1.066,0.034,0.648,1.093,1.478,0.382,-0.015,0.761,0.903
2016-09-08,CTD5,4179450,700268,0.010305081,0.015983649,0.021099849,0.0042410363,0.0029003848,0.00069425843,0.000709231,0.0002760678,1.27,0.1399999999999999,-0.138,15.17,0.581,-173.227,0.693,-282.218,0.665,-188.398,0.758,-297.388,0.188,-108.99,0.064,0.044,-3.655,-0.502,-5.955,-1.197,-3.011,-0.546,-4.753,-1.261,-1.742,-2.3,-0.716,0.489,0.516,0.893,0.9,0.036,-0.705,0.074,-3.506,3.631,0.536,5.31,-0.142,0.636,4.794,7.01,0.128,0.02,0.545,0.947
2016-09-08,CTD6,4176009,695829,0.0075981417,0.01122237,0.018019825,0.009018693,0.006931424,0.0019262272,0.0019307676,0.00080253446,12.32,4.35,-0.232,33.613,0.109,-21.773,0.236,-55.163,0.333,-55.386,0.444,-88.776,0.131,-33.39,0.303,0.233,-0.392,-0.151,-0.994,-0.497,-0.622,-0.384,-0.996,-0.801,-0.375,-0.602,-0.426,0.088,0.159,0.496,0.548,0.071,-0.678,-0.146,-1.355,0.86,-0.379,1.119,0.305,0.837,1.38,1.796,0.419,-0.117,0.692,0.923
2016-09-08,CTD7,4176724,690397,0.010122627,0.01496129,0.02381958,0.011436711,0.008987657,0.0025087688,0.0025173964,0.0010271017,13.91,4.69,-0.228,24.857,0.134,-20.599,0.249,-44.425,0.351,-45.455,0.452,-69.281,0.12,-23.826,0.284,0.223,-0.491,-0.185,-1.058,-0.508,-0.68,-0.409,-1.037,-0.792,-0.356,-0.568,-0.434,0.107,0.169,0.517,0.562,0.063,-0.644,-0.158,-1.342,0.931,-0.418,1.185,0.32,0.806,1.482,1.886,0.387,-0.121,0.681,0.931
2016-09-08,CTD9,4171106,693183,0.0129256155,0.020046074,0.034782708,0.02014042,0.01694713,0.0048196455,0.0048190993,0.0019565402,,,-0.269,21.135,-0.002,0.234,0.084,-9.122,0.267,-20.901,0.345,-30.257,0.086,-9.356,0.426,0.358,0.008,0.004,-0.317,-0.184,-0.419,-0.354,-0.607,-0.609,-0.188,-0.325,-0.397,-0.002,0.056,0.396,0.444,0.058,-0.612,-0.265,-1.057,0.508,-0.544,0.604,0.547,0.894,0.882,1.048,0.517,-0.266,0.733,0.942
