Date,Buoy,Latitude,Longitude,rhow_B1,rhow_B2,rhow_B3,rhow_B4,rhow_B5,rhow_B6,rhow_B7,rhow_B8A,Chl,Turbidez,dif_norm_rhow_B2_B3,dif_inv_rhow_B2_B3,dif_norm_rhow_B2_B4,dif_inv_rhow_B2_B4,dif_norm_rhow_B2_B5,dif_inv_rhow_B2_B5,dif_norm_rhow_B3_B4,dif_inv_rhow_B3_B4,dif_norm_rhow_B3_B5,dif_inv_rhow_B3_B5,dif_norm_rhow_B4_B5,dif_inv_rhow_B4_B5,dall_gitelson_rhow_B2_B3_B4,dall_gitelson_rhow_B2_B3_B5,dall_gitelson_rhow_B2_B4_B3,dall_gitelson_rhow_B2_B4_B5,dall_gitelson_rhow_B2_B5_B3,dall_gitelson_rhow_B2_B5_B4,dall_gitelson_rhow_B3_B4_B2,dall_gitelson_rhow_B3_B4_B5,dall_gitelson_rhow_B3_B5_B2,dall_gitelson_rhow_B3_B5_B4,dall_gitelson_rhow_B4_B5_B2,dall_gitelson_rhow_B4_B5_B3,dif_norm_4_bands_rhow_B2_B3_B4_B5,dif_norm_4_bands_rhow_B2_B4_B3_B5,dif_norm_4_bands_rhow_B2_B5_B3_B4,dif_norm_4_bands_rhow_B3_B4_B2_B5,dif_norm_4_bands_rhow_B3_B5_B2_B4,dif_norm_4_bands_rhow_B4_B5_B2_B3,dif_rel_4bands_rhow_B2_B3_B4_B5,dif_rel_4bands_rhow_B2_B3_B5_B4,dif_rel_4bands_rhow_B2_B4_B3_B5,dif_rel_4bands_rhow_B2_B4_B5_B3,dif_rel_4bands_rhow_B2_B5_B3_B4,dif_rel_4bands_rhow_B2_B5_B4_B3,dif_rel_4bands_rhow_B3_B2_B4_B5,dif_rel_4bands_rhow_B3_B2_B5_B4,dif_rel_4bands_rhow_B3_B4_B5_B2,dif_rel_4bands_rhow_B3_B5_B4_B2,dif_rel_4bands_rhow_B4_B2_B5_B3,dif_rel_4bands_rhow_B4_B3_B5_B2,sum_norm_3bands_rhow_B2_B4_B3,sum_norm_3bands_rhow_B3_B5_B4
2016-08-09,CTD11,4169609,700351,0.009413645,0.013391222,0.023053167,0.012143477,0.0088038,0.0026283646,0.0025830623,0.0010164073,,,-0.265,31.298,0.049,-7.673,0.207,-38.912,0.31,-38.971,0.447,-70.209,0.159,-31.239,0.38,0.276,-0.177,-0.068,-0.897,-0.473,-0.522,-0.343,-0.94,-0.853,-0.418,-0.72,-0.461,0.039,0.13,0.492,0.558,0.092,-0.798,-0.144,-1.516,0.721,-0.377,0.994,0.342,0.997,1.241,1.712,0.525,-0.131,0.701,0.905
2016-08-09,CTD12,4173438,695414,0.009195562,0.014423616,0.027452502,0.012623409,0.009124659,0.0026498586,0.002608449,0.0010289801,,,-0.311,32.904,0.067,-9.887,0.225,-40.262,0.37,-42.791,0.501,-73.167,0.161,-30.375,0.415,0.3,-0.271,-0.09,-1.105,-0.508,-0.617,-0.39,-1.055,-0.924,-0.438,-0.834,-0.599,0.049,0.132,0.63,0.678,0.084,-0.858,-0.197,-1.866,0.81,-0.594,1.121,0.52,1.18,1.542,2.133,0.543,-0.173,0.646,0.913
2016-09-08,CTD1,4187246,695025,0.0069217603,0.010954224,0.022353804,0.013979525,0.011052761,0.003456008,0.0034431594,0.0013693892,18.69,4.95,-0.342,46.554,-0.121,19.756,-0.004,0.814,0.23,-26.798,0.338,-45.74,0.117,-18.942,0.651,0.515,0.442,0.218,0.018,0.011,-0.294,-0.296,-0.501,-0.639,-0.207,-0.423,-0.455,-0.091,-0.003,0.381,0.453,0.088,-0.775,-0.301,-1.239,0.289,-0.608,0.366,0.776,1.25,0.59,0.746,0.782,-0.384,0.749,0.919
2016-09-08,CTD2,4181518,693105,0.0063595665,0.0103589585,0.021094711,0.011132154,0.008331094,0.0024894085,0.002467637,0.0009874435,,,-0.341,49.13,-0.036,6.705,0.108,-23.497,0.309,-42.425,0.434,-72.627,0.144,-30.202,0.547,0.409,0.141,0.056,-0.496,-0.262,-0.439,-0.353,-0.752,-0.808,-0.313,-0.637,-0.552,-0.026,0.063,0.533,0.594,0.089,-0.845,-0.257,-1.602,0.536,-0.652,0.716,0.7,1.288,1.091,1.457,0.68,-0.277,0.683,0.913
2016-09-08,CTD3,4181698,695238,0.0069681434,0.01070692,0.020814061,0.010613671,0.007701477,0.0022685358,0.0022343658,0.00088888017,,,-0.321,45.353,0.004,-0.821,0.163,-36.448,0.325,-46.174,0.46,-81.801,0.159,-35.627,0.481,0.349,-0.017,-0.006,-0.759,-0.387,-0.494,-0.356,-0.876,-0.868,-0.381,-0.742,-0.552,0.003,0.096,0.554,0.615,0.092,-0.864,-0.211,-1.694,0.639,-0.571,0.88,0.566,1.218,1.242,1.711,0.621,-0.209,0.676,0.907
2016-09-08,CTD4,4180266,698264,0.006154704,0.009255979,0.01788516,0.010159986,0.0077146217,0.0023302345,0.00229787,0.0009286988,,,-0.318,52.126,-0.047,9.613,0.091,-21.586,0.275,-42.513,0.397,-73.712,0.137,-31.199,0.53,0.402,0.172,0.074,-0.386,-0.219,-0.393,-0.328,-0.682,-0.749,-0.289,-0.558,-0.483,-0.035,0.055,0.455,0.524,0.09,-0.799,-0.242,-1.407,0.48,-0.561,0.632,0.615,1.173,0.927,1.221,0.666,-0.265,0.715,0.913
2016-09-08,CTD5,4179450,700268,0.0068652206,0.012021089,0.019021872,0.0040021306,0.002490908,0.0006688739,0.0006505586,0.00026141698,0.94,0.04,-0.226,30.616,0.5,-166.68,0.657,-318.273,0.652,-197.296,0.768,-348.889,0.233,-151.593,0.123,0.076,-3.171,-0.415,-6.054,-1.274,-2.372,-0.491,-4.194,-1.396,-1.822,-2.884,-1.078,0.373,0.414,1.035,1.032,0.049,-0.975,0.01,-4.633,2.873,0.073,4.616,-0.024,0.96,4.546,7.304,0.202,0.003,0.516,0.934
2016-09-08,CTD6,4176009,695829,0.006809104,0.010691031,0.020401971,0.010424327,0.0077594533,0.002361176,0.002335997,0.0009392533,,,-0.312,44.521,0.013,-2.393,0.159,-35.339,0.324,-46.915,0.449,-79.86,0.147,-32.946,0.464,0.345,-0.049,-0.019,-0.721,-0.368,-0.502,-0.364,-0.854,-0.832,-0.352,-0.672,-0.534,0.009,0.095,0.541,0.599,0.086,-0.819,-0.22,-1.604,0.645,-0.579,0.867,0.565,1.164,1.231,1.654,0.595,-0.215,0.679,0.914
2016-09-08,CTD7,4176724,690397,0.0067205997,0.01074514,0.022013903,0.011670615,0.008669902,0.002611856,0.0025869545,0.0010357121,,,-0.344,47.639,-0.041,7.38,0.107,-22.276,0.307,-40.259,0.435,-69.916,0.148,-29.656,0.556,0.413,0.162,0.064,-0.49,-0.26,-0.433,-0.349,-0.751,-0.816,-0.319,-0.653,-0.554,-0.03,0.062,0.533,0.595,0.092,-0.858,-0.255,-1.618,0.527,-0.647,0.709,0.703,1.306,1.079,1.453,0.692,-0.277,0.684,0.911
2016-09-08,CTD9,4171106,693183,0.00984855,0.015475031,0.031263128,0.019218868,0.015179505,0.0048186067,0.004809098,0.0018989167,,,-0.338,32.634,-0.108,12.588,0.01,-1.258,0.239,-20.046,0.346,-33.892,0.117,-13.846,0.627,0.495,0.394,0.191,-0.039,-0.024,-0.31,-0.304,-0.524,-0.651,-0.214,-0.433,-0.459,-0.081,0.006,0.393,0.464,0.086,-0.771,-0.295,-1.254,0.32,-0.607,0.405,0.754,1.23,0.646,0.818,0.756,-0.366,0.742,0.92
