Date,Buoy,Latitude,Longitude,rhown_B1,rhown_B2,rhown_B3,rhown_B4,rhown_B5,rhown_B6,Chl,Turbidez
2020-02-20,CTD5,4179450,700268,0.008474747,0.017339636,0.026176745,0.005621251,0.003683625,0.0009363332,3.2825,1.8475
2020-02-20,CTD6,4176009,695829,0.0020131655,0.0065374104,0.013859743,0.003969197,0.0026162243,0.0006501375,6.4435,2.0780000000000003
2020-02-20,CTD7,4176724,690397,0.013901852,0.025398772,0.044141706,0.01527516,0.011459327,0.0030701337,4.5915,3.69
2020-02-20,CTD8,4174178,693048,0.006200786,0.0129219545,0.024081795,0.008789488,0.006456082,0.0017741192,5.298500000000001,2.23
2020-02-20,CTD9,4171106,693183,0.007184451,0.016534898,0.042828713,0.024598286,0.02234051,0.0070594023,2.47,1.905
2020-02-20,CTD10,4170388,695646,0.0045412155,0.011785577,0.023271319,0.006663973,0.0046832655,0.0012418835,4.1835,2.9645
2020-02-20,CTD11,4169609,700351,0.004207072,0.0104956655,0.021859482,0.007419939,0.005349061,0.0013788831,4.157,3.34
2020-02-20,CTD12,4173438,695414,0.003531265,0.008406681,0.015218873,0.0042315,0.0028882264,0.0007349934,4.468,2.028
2020-03-11,CTD1,4187246,695025,0.011638791,0.021949204,0.036893465,0.011848478,0.008956095,0.0024181688,3.6805,4.0215
2020-03-11,CTD2,4181518,693105,0.011871212,0.021118805,0.036660828,0.014337521,0.010942441,0.0029732916,10.304,4.8975
2020-03-11,CTD3,4181698,695238,0.008086391,0.015555405,0.027252896,0.009894321,0.0073785856,0.002027759,8.8255,4.348
2020-03-11,CTD4,4180266,698264,0.0073262407,0.0155203175,0.026420847,0.0071921046,0.005205262,0.0013766896,6.624,4.0565
2020-03-11,CTD5,4179450,700268,0.014959355,0.026474461,0.040614318,0.010131027,0.007095703,0.0018294109,1.1875,2.25
2020-03-11,CTD6,4176009,695829,0.00834851,0.015324073,0.03074157,0.013103551,0.01120939,0.0034917449,12.3545,5.271
2020-03-11,CTD7,4176724,690397,0.011949449,0.022451865,0.0437315,0.01735124,0.012784,0.0034010701,11.301,7.553
2020-03-11,CTD8,4174178,693048,0.0030106383,0.009659177,0.027196256,0.011019947,0.008349829,0.0022779775,15.157,5.6305
2020-03-11,CTD9,4171106,693183,0.010888781,0.021759128,0.04534046,0.020302225,0.016035996,0.0044561825,2.736,4.819
2020-03-11,CTD10,4170388,695646,0.0069731073,0.014675289,0.029379446,0.010838032,0.00801954,0.0021399257,6.7585,4.351
2020-03-11,CTD11,4169609,700351,0.010211243,0.019090012,0.03656,0.015524082,0.01270495,0.003717109,5.671,4.63
2020-03-11,CTD12,4173438,695414,0.0026898894,0.0087154545,0.021269983,0.0076464047,0.0055986657,0.0014921748,6.939500000000001,4.5875
2020-12-21,CTD1,4187246,695025,0.013025693,0.016260812,0.021731062,0.00971821,0.008776802,0.002680846,0.692,0.4974999999999999
2020-12-21,CTD2,4181518,693105,0.013993141,0.017396834,0.020713316,0.009593997,0.008166532,0.0024317654,0.908,0.4705
2020-12-21,CTD3,4181698,695238,0.0082603535,0.0108973235,0.012217114,0.0036569594,0.0027649547,0.00084631925,1.2295,0.63
2020-12-21,CTD4,4180266,698264,0.015408025,0.020108026,0.025263917,0.011037233,0.009080304,0.002644564,1.413,0.7464999999999999
2020-12-21,CTD5,4179450,700268,0.01930562,0.025423348,0.031994738,0.008274325,0.0060506836,0.0016640867,1.055,0.56
2020-12-21,CTD6,4176009,695829,0.008405244,0.011434876,0.013399937,0.0053304806,0.0043281154,0.0013207847,1.9185,0.8214999999999999
2020-12-21,CTD7,4176724,690397,0.011473065,0.015612552,0.016719535,0.005998093,0.0048957304,0.0015040222,1.0905,0.7275
2020-12-21,CTD8,4174178,693048,0.012120273,0.015384922,0.02025147,0.008621424,0.007964644,0.002464662,1.6255,0.863
2020-12-21,CTD9,4171106,693183,0.011946181,0.017287325,0.028614795,0.014236444,0.0133269625,0.0045780344,1.037,0.571
2020-12-21,CTD10,4170388,695646,0.007286734,0.010750065,0.014536567,0.0053990376,0.00431374,0.0013034923,2.1660000000000004,0.821
2020-12-21,CTD11,4169609,700351,0.0054274625,0.012801039,0.021236893,0.0044419165,0.0029898393,0.00073350116,3.1705,1.477
2020-12-21,CTD12,4173438,695414,0.01082799,0.014215161,0.018379722,0.007949759,0.006580813,0.0021091774,1.407,0.734
2021-01-05,CTD1,4187246,695025,0.0049454905,0.009073613,0.014765638,0.0052809664,0.0038008322,0.0011200178,0.6575,0.5185
2021-01-05,CTD2,4181518,693105,0.001799265,0.004737955,0.00828778,0.0020451974,0.0013208752,0.00031894117,0.8205,0.5175000000000001
2021-01-05,CTD3,4181698,695238,0.0061667254,0.009538285,0.0120649515,0.0038072518,0.0028036973,0.0007562073,1.287,0.722
2021-01-05,CTD4,4180266,698264,0.0047866316,0.009274731,0.013448357,0.003763509,0.0028483276,0.00075990503,0.6465000000000001,0.7545
2021-01-05,CTD5,4179450,700268,0.014568358,0.022674456,0.024473242,0.0045074574,0.0029864712,0.00078470435,0.55,0.59
2021-01-05,CTD6,4176009,695829,0.005518779,0.010122255,0.014106613,0.0036238055,0.0024039568,0.0006130058,0.8955,1.0075
2021-01-05,CTD7,4176724,690397,0.005570128,0.009076418,0.0126013765,0.0032046272,0.0023895414,0.00069490896,0.4815,0.714
2021-01-05,CTD8,4174178,693048,0.008014826,0.010910495,0.014287426,0.004306054,0.00318213,0.0009064345,1.0715,0.847
