Date,Buoy,Latitude,Longitude,rtoa_B1,rtoa_B2,rtoa_B3,rtoa_B4,rtoa_B5,rtoa_B6,rtoa_B7,rtoa_B8,rtoa_B8A,rtoa_B9,rtoa_B10,rtoa_B11,rtoa_B12,Chl,Turbidez
2016-09-08,CTD3,4181698,695238,0.1178,0.0865,0.0658,0.0404,0.0343,0.0274,0.0258,0.0213,0.022,0.0072,0.0005,0.0098,0.0071,13.84,3.74
2016-09-08,CTD4,4180266,698264,0.1196,0.0897,0.0671,0.0441,0.0378,0.031,0.0305,0.0256,0.0252,0.0075,0.0005,0.0143,0.011,13.55,3.37
2016-09-08,CTD5,4179450,700268,0.1238,0.0961,0.0734,0.0404,0.0357,0.0324,0.0309,0.0267,0.0268,0.0081,0.0006,0.0161,0.012,1.105,0.09
2016-09-08,CTD6,4176009,695829,0.1166,0.0863,0.0645,0.0403,0.034,0.0272,0.025,0.0209,0.0211,0.0072,0.0005,0.0094,0.007,13.9,4.24
2016-09-08,CTD7,4176724,690397,0.1202,0.0898,0.0703,0.0448,0.0377,0.0308,0.03,0.0246,0.0252,0.0072,0.0005,0.0121,0.0083,15.895,4.49
2016-09-08,CTD9,4171106,693183,0.1213,0.0932,0.0792,0.0542,0.0465,0.0354,0.035,0.0298,0.0297,0.0083,0.0005,0.0174,0.0126,3.8,5.55
2016-09-08,CTD10,4170388,695646,0.1201,0.0913,0.0748,0.0487,0.0424,0.0324,0.0316,0.0261,0.0259,0.008,0.0005,0.0138,0.0099,14.865,4.9
2016-09-08,CTD11,4169609,700351,0.1194,0.0905,0.0722,0.0469,0.0402,0.0331,0.0317,0.0266,0.0276,0.0085,0.0006,0.0159,0.0116,13.7,4.68
2016-09-08,CTD12,4173438,695414,0.1188,0.0886,0.0686,0.0444,0.0378,0.0307,0.0291,0.0242,0.0245,0.0078,0.0006,0.0125,0.0101,13.025,3.94
2017-06-30,CTD1,4187246,695025,0.1269,0.1038,0.0837,0.0479,0.0396,0.0323,0.0305,0.0285,0.0256,0.0102,0.0011,0.0168,0.0123,0.9715,3.2245
2017-06-30,CTD2,4181518,693105,0.1399,0.1201,0.1002,0.0714,0.0635,0.0599,0.0581,0.0569,0.0528,0.0197,0.0011,0.0439,0.0357,0.9365,1.9865
2017-06-30,CTD3,4181698,695238,0.1405,0.1194,0.0957,0.0713,0.0654,0.0623,0.0632,0.0601,0.0585,0.021,0.001,0.0474,0.0392,1.5154999999999998,1.1755
2017-06-30,CTD4,4180266,698264,0.1411,0.1201,0.0994,0.0706,0.064,0.0602,0.0595,0.0574,0.0562,0.02,0.0009,0.0447,0.0366,1.512,1.803
2017-06-30,CTD5,4179450,700268,0.1329,0.1148,0.0897,0.0563,0.0519,0.0481,0.0493,0.0476,0.0427,0.0149,0.0008,0.0344,0.0261,0.496,0.587
2017-06-30,CTD6,4176009,695829,0.1479,0.126,0.1069,0.0806,0.0739,0.0704,0.0706,0.0666,0.0683,0.0239,0.0008,0.0549,0.0458,1.854,2.3865
2017-06-30,CTD7,4176724,690397,0.1512,0.1366,0.1209,0.0861,0.0778,0.0725,0.0724,0.0681,0.0675,0.0242,0.001,0.0548,0.0451,1.552,3.572
2017-06-30,CTD8,4174178,693048,0.1499,0.1306,0.1118,0.083,0.0767,0.0722,0.0732,0.0687,0.0689,0.0245,0.0011,0.0571,0.0468,0.9935,2.3335
2017-06-30,CTD9,4171106,693183,0.1552,0.1417,0.1282,0.1015,0.0887,0.0762,0.0759,0.0723,0.0711,0.0246,0.001,0.0582,0.0477,0.4625,6.8325000000000005
2017-06-30,CTD10,4170388,695646,0.149,0.1288,0.1055,0.0821,0.0774,0.0734,0.073,0.0693,0.0702,0.0245,0.0008,0.0583,0.0476,0.7235,1.833
2017-06-30,CTD11,4169609,700351,0.1653,0.1385,0.1204,0.0992,0.0951,0.0926,0.0937,0.0829,0.0933,0.0325,0.0012,0.0774,0.0661,1.1375,1.193
2017-06-30,CTD12,4173438,695414,0.1496,0.1288,0.1102,0.0843,0.0773,0.0718,0.0729,0.0679,0.0689,0.0244,0.0009,0.0568,0.0482,1.5275,2.4005
2018-02-20,CTD1,4187246,695025,0.1509,0.1155,0.0949,0.0757,0.0762,0.0775,0.0829,0.0711,0.0875,0.0411,0.0133,0.0853,0.0871,3.2845,2.7605
2018-02-20,CTD2,4181518,693105,0.1416,0.1113,0.0885,0.059,0.0558,0.0562,0.0577,0.053,0.0547,0.0259,0.0109,0.0526,0.0472,4.5120000000000005,3.075
2018-02-20,CTD3,4181698,695238,0.1309,0.0988,0.0749,0.0401,0.0349,0.031,0.0279,0.0249,0.0221,0.0088,0.0035,0.0134,0.0081,3.695,3.5145
2018-02-20,CTD4,4180266,698264,0.1226,0.0901,0.0666,0.0318,0.026,0.0209,0.0189,0.0148,0.015,0.0055,0.0007,0.0038,0.002,3.478,2.0715
2018-02-20,CTD5,4179450,700268,0.1265,0.0975,0.0711,0.0275,0.0214,0.0181,0.016,0.0123,0.0111,0.005,0.0006,0.0028,0.0019,0.546,0.933
2018-02-20,CTD6,4176009,695829,0.1225,0.09,0.0676,0.0324,0.0261,0.0206,0.0188,0.0147,0.0143,0.0054,0.0006,0.0036,0.0025,7.4525,2.633
2018-02-20,CTD7,4176724,690397,0.129,0.096,0.0754,0.0396,0.0346,0.0304,0.0293,0.0234,0.0245,0.01,0.0027,0.0151,0.0113,2.675,2.5185
2018-02-20,CTD8,4174178,693048,0.1271,0.0953,0.0747,0.0367,0.0305,0.026,0.0233,0.0201,0.0187,0.0091,0.0029,0.01,0.0074,3.108,4.0265
2018-02-20,CTD9,4171106,693183,0.1278,0.1017,0.0867,0.0491,0.0398,0.0246,0.0228,0.0176,0.0173,0.0061,0.0006,0.0057,0.0033,0.6809999999999999,11.009
2018-02-20,CTD10,4170388,695646,0.1222,0.0896,0.0705,0.0331,0.0273,0.0206,0.0196,0.0151,0.0141,0.0051,0.0005,0.0035,0.0027,6.6595,3.319
2018-02-20,CTD11,4169609,700351,0.1196,0.0893,0.0687,0.0325,0.0263,0.0199,0.0178,0.0143,0.0131,0.0059,0.0009,0.0039,0.0027,6.117,2.676
2018-02-20,CTD12,4173438,695414,0.1241,0.0903,0.0702,0.0335,0.0278,0.0225,0.0199,0.0155,0.0152,0.0057,0.0006,0.0045,0.003,6.898,2.881
2018-03-07,CTD1,4187246,695025,0.128,0.1009,0.0827,0.0403,0.032,0.0231,0.0212,0.0172,0.016,0.0077,0.0008,0.0055,0.0037,3.917,5.7005
2018-03-07,CTD2,4181518,693105,0.1211,0.0903,0.0702,0.0341,0.0284,0.0222,0.0209,0.017,0.0152,0.0077,0.0008,0.0052,0.0032,5.798,3.204
2018-03-07,CTD3,4181698,695238,0.1209,0.0905,0.0725,0.0347,0.0288,0.0213,0.0201,0.0163,0.0145,0.0069,0.0006,0.0044,0.0033,5.2155000000000005,3.9625
2018-03-07,CTD4,4180266,698264,0.1229,0.0941,0.0785,0.0367,0.0294,0.0224,0.0204,0.0164,0.0154,0.0075,0.0008,0.005,0.0037,3.4535,3.233
2018-03-07,CTD5,4179450,700268,0.1185,0.0902,0.0673,0.0263,0.021,0.0172,0.0159,0.0125,0.0116,0.0058,0.0008,0.0033,0.0023,0.823,0.986
2018-03-07,CTD6,4176009,695829,0.117,0.0856,0.0649,0.0305,0.0249,0.0193,0.0173,0.0136,0.0126,0.0061,0.0006,0.0031,0.0021,5.715,3.0555
2018-03-07,CTD7,4176724,690397,0.1198,0.0894,0.0693,0.0325,0.0262,0.021,0.0188,0.0151,0.0131,0.007,0.0008,0.0033,0.0018,3.012,3.115
2018-03-07,CTD8,4174178,693048,0.12,0.0908,0.0713,0.0328,0.0265,0.0209,0.0188,0.0151,0.0139,0.007,0.0007,0.0041,0.0029,3.4415,3.087
2018-03-07,CTD9,4171106,693183,0.1194,0.0937,0.0756,0.0396,0.0298,0.0187,0.0176,0.0135,0.012,0.0065,0.0009,0.0034,0.0018,0.509,1.3235
2018-03-07,CTD10,4170388,695646,0.1165,0.0847,0.0643,0.0297,0.0242,0.0191,0.0172,0.013,0.0116,0.006,0.0007,0.0029,0.0016,4.3055,2.7245
2018-03-07,CTD11,4169609,700351,0.1168,0.0875,0.0683,0.0307,0.0247,0.0182,0.0159,0.0129,0.0109,0.0057,0.0006,0.0029,0.002,3.2475,3.0995
2018-03-07,CTD12,4173438,695414,0.1188,0.0861,0.0648,0.0302,0.0249,0.0193,0.0172,0.0139,0.013,0.008,0.0009,0.0038,0.0028,4.633,2.527
2018-05-16,CTD1,4187246,695025,0.1288,0.1064,0.0857,0.0524,0.0458,0.0391,0.039,0.035,0.0324,0.0104,0.0008,0.0237,0.0181,1.955,0.4
2018-05-16,CTD2,4181518,693105,0.1333,0.1085,0.0881,0.0576,0.0511,0.0482,0.0476,0.0443,0.0429,0.014,0.001,0.0331,0.0264,2.604,1.325
2018-05-16,CTD3,4181698,695238,0.1319,0.1072,0.0855,0.0574,0.0521,0.0487,0.0475,0.045,0.044,0.0142,0.0009,0.0342,0.0274,2.8315,1.1585
2018-05-16,CTD4,4180266,698264,0.128,0.1025,0.081,0.0523,0.0474,0.0437,0.0428,0.0397,0.0397,0.0128,0.0009,0.0302,0.0243,2.063,1.99
2018-05-16,CTD5,4179450,700268,0.1323,0.1114,0.0915,0.0552,0.0491,0.0462,0.046,0.0427,0.0424,0.0135,0.0008,0.033,0.0265,0.5700000000000001,0.662
2018-05-16,CTD6,4176009,695829,0.1353,0.1121,0.0882,0.0604,0.0542,0.0508,0.0512,0.0476,0.0484,0.0149,0.001,0.0368,0.0302,1.002,10.653
2018-05-16,CTD7,4176724,690397,0.1388,0.1207,0.1078,0.0654,0.057,0.0494,0.0491,0.0449,0.044,0.0145,0.0009,0.0335,0.0261,3.122,3.7565
2018-05-16,CTD8,4174178,693048,0.1363,0.1153,0.0966,0.0621,0.057,0.0522,0.0527,0.0486,0.0485,0.015,0.0008,0.0378,0.03,0.963,14.287
2018-05-16,CTD9,4171106,693183,0.1405,0.1233,0.1138,0.0862,0.0727,0.0558,0.0563,0.0522,0.0508,0.0153,0.0008,0.0387,0.0311,0.4575,2.0275
2018-05-16,CTD10,4170388,695646,0.1359,0.1134,0.0937,0.064,0.0567,0.0541,0.0522,0.0496,0.0492,0.0156,0.0006,0.0393,0.0317,2.1115,2.0005
2018-05-16,CTD11,4169609,700351,0.1395,0.1129,0.0951,0.064,0.0574,0.0537,0.0557,0.0458,0.0516,0.0161,0.0008,0.0397,0.0332,1.338,4.4625
2018-05-16,CTD12,4173438,695414,0.1388,0.1161,0.0951,0.064,0.058,0.0552,0.0559,0.0522,0.0512,0.0161,0.0007,0.0405,0.0338,0.9145,14.414
2018-06-20,CTD1,4187246,695025,0.1414,0.1193,0.0988,0.0743,0.0669,0.0622,0.0617,0.0583,0.0576,0.0135,0.0008,0.0455,0.0358,0.9445,1.8945
2018-06-20,CTD2,4181518,693105,0.1438,0.1212,0.1002,0.071,0.0649,0.0631,0.0633,0.0575,0.0592,0.014,0.0008,0.0467,0.0369,0.8140000000000001,3.901
2018-06-20,CTD3,4181698,695238,0.1444,0.1223,0.0996,0.0745,0.0672,0.065,0.0659,0.0616,0.0621,0.015,0.0007,0.0495,0.0405,1.142,3.183
