Date,Buoy,Latitude,Longitude,Band_1,Band_2,Band_3,Band_4,Band_5,Band_6,Band_7,Band_8,Band_9,Band_10,Band_11,Band_12,Band_13,Band_14,Band_15,Band_16,Band_17,Band_18,Band_19,Band_20,Band_21,Band_22
2022-07-14,CTD10,4170388,695646,0.1441,0.1182,0.0967,0.0697,0.0618,0.0594,0.059,0.0536,0.054,0.0137,0.0006,0.0382,0.0294,0.017603897,0.02425957,0.026958602,0.0076988917,0.0044495007,0.0012077758,0.001252744,0.0005197775,-8e-45
2022-07-14,CTD11,4169609,700351,0.1379,0.1041,0.0789,0.0507,0.0439,0.0419,0.0414,0.0316,0.0358,0.0111,0.0008,0.019,0.0156,0.012824758,0.017041188,0.020739656,0.005247712,0.004439514,0.0010534027,0.0010620969,0.0003996353,-8e-45
2022-07-14,CTD12,4173438,695414,0.1451,0.1199,0.0958,0.0634,0.0561,0.0516,0.0507,0.0475,0.047,0.0128,0.0006,0.0329,0.0253,0.02016456,0.02848375,0.033173945,0.00886016,0.005955019,0.0015439793,0.0015540157,0.0005927309,-8e-45
2023-04-20,CTD1,4187246,695025,0.1265,0.095,0.0703,0.0471,0.0441,0.0404,0.0394,0.035,0.0352,0.0125,0.0007,0.0242,0.0183,0.0049639405,0.006681495,0.011193815,0.0033282528,0.0037749894,0.00095708383,0.0009472876,0.00036464055,-8e-45
2023-04-20,CTD2,4181518,693105,0.1261,0.096,0.0691,0.0466,0.0419,0.0392,0.039,0.0353,0.0343,0.0123,0.0008,0.0232,0.0183,0.008974448,0.011933906,0.014781681,0.0037126308,0.0028317072,0.00070902146,0.0007035723,0.00028559475,-8e-45
2023-04-20,CTD3,4181698,695238,0.1291,0.1005,0.0738,0.0492,0.0437,0.042,0.0403,0.0369,0.0361,0.0128,0.0007,0.0256,0.0201,0.010194505,0.014316668,0.015207933,0.0027162659,0.0017551172,0.00042751912,0.00042553278,0.00017130708,-8e-45
2023-04-20,CTD4,4180266,698264,0.1359,0.1135,0.0878,0.0544,0.048,0.0436,0.0442,0.041,0.0391,0.0139,0.0008,0.0292,0.0234,0.026466403,0.037279986,0.041409303,0.010248338,0.006291495,0.0016151592,0.001684098,0.00066505716,-8e-45
2023-04-20,CTD5,4179450,700268,0.1528,0.1356,0.1125,0.0632,0.0526,0.0458,0.0454,0.0417,0.0413,0.0148,0.0008,0.0306,0.0249,0.046349134,0.06466191,0.072907194,0.019471122,0.011497869,0.0029385902,0.00293861,0.0011986073,-8e-45
2023-04-20,CTD6,4176009,695829,0.1318,0.1033,0.0778,0.0537,0.0487,0.0453,0.0448,0.0419,0.0412,0.0148,0.0007,0.0304,0.0243,0.010544311,0.014409091,0.019204697,0.0061299955,0.0044745766,0.0011478066,0.0011522501,0.00046743566,-8e-45
2023-04-20,CTD7,4176724,690397,0.1369,0.123,0.1057,0.0443,0.0361,0.0305,0.0298,0.0253,0.0253,0.0094,0.0009,0.0142,0.0104,0.051704485,0.07317731,0.083880134,0.013627163,0.008135653,0.0019743845,0.0018565346,0.0007403912,-8e-45
2023-04-20,CTD8,4174178,693048,0.1436,0.1289,0.1146,0.0568,0.0463,0.0379,0.0377,0.0325,0.032,0.0124,0.0009,0.0207,0.0165,0.051888205,0.07455307,0.089933395,0.024318576,0.014105126,0.003513069,0.003513554,0.0014443668,-8e-45
2023-04-20,CTD9,4171106,693183,0.1293,0.1066,0.0856,0.0569,0.05,0.0398,0.0398,0.0347,0.036,0.0133,0.0008,0.0232,0.019,0.021955458,0.029774994,0.043167386,0.021962738,0.016406732,0.0045506824,0.004490374,0.0017973668,-8e-45
2023-04-20,CTD10,4170388,695646,0.1255,0.0963,0.0726,0.0483,0.0438,0.0418,0.042,0.0378,0.0364,0.0138,0.0007,0.0264,0.0215,0.00879963,0.012317719,0.01696996,0.003934578,0.0026766032,0.0006523976,0.00068302423,0.00026968002,-8e-45
2023-04-20,CTD11,4169609,700351,0.1332,0.1077,0.0829,0.0498,0.044,0.041,0.0406,0.0342,0.0372,0.0141,0.0007,0.026,0.0216,0.015417909,0.022132311,0.026365198,0.005271251,0.0039573316,0.0009271558,0.0009511057,0.0003700357,-8e-45
2023-04-20,CTD12,4173438,695414,0.1309,0.1033,0.078,0.054,0.0486,0.0473,0.0461,0.0428,0.0415,0.0152,0.0008,0.0313,0.0258,0.010441573,0.01479993,0.016685456,0.004060861,0.0026617455,0.00069114356,0.00070599077,0.00028275215,-8e-45
