Date,Buoy,Latitude,Longitude,Band_1,Band_2,Band_3,Band_4,Band_5,Band_6,Band_7,Band_8,Band_9,Band_10,Band_11,Band_12,Band_13,Band_14,Band_15,Band_16,Band_17,Band_18,Band_19,Band_20,Band_21,Band_22
2016-09-08,CTD1,4187246,695025,0.1222,0.0924,0.0745,0.0498,0.0428,0.0348,0.0343,0.0289,0.029,0.0086,0.0007,0.017,0.0124,0.010579986,0.015640588,0.026115848,0.013857856,0.0124642225,0.0036129788,0.0035308904,0.0014610101,-8e-45
2016-09-08,CTD2,4181518,693105,0.1193,0.0889,0.0689,0.0435,0.0371,0.0301,0.0289,0.0242,0.0244,0.0078,0.0007,0.0123,0.009,0.010294661,0.014946087,0.024087878,0.01180137,0.009841105,0.002800153,0.002756082,0.0011318771,-8e-45
2016-09-08,CTD3,4181698,695238,0.1178,0.0865,0.0661,0.0406,0.0346,0.0275,0.0261,0.0215,0.0218,0.0072,0.0005,0.0099,0.0072,0.010014136,0.014340931,0.022993682,0.01115648,0.009591442,0.0027804088,0.0027219744,0.0011206984,-8e-45
2016-09-08,CTD4,4180266,698264,0.1196,0.0895,0.0668,0.044,0.0375,0.0311,0.0301,0.0256,0.0254,0.0075,0.0005,0.0142,0.0107,0.009696065,0.013779359,0.020960597,0.011209508,0.009079088,0.0026403607,0.0026176046,0.0010955806,-8e-45
2016-09-08,CTD5,4179450,700268,0.1238,0.095,0.0721,0.0403,0.0353,0.0322,0.0307,0.0267,0.0268,0.0081,0.0006,0.016,0.012,0.009379396,0.014306974,0.019779852,0.004109456,0.0030654448,0.0007037057,0.0007160391,0.0002760678,-2.878e-42
2016-09-08,CTD6,4176009,695829,0.1166,0.0862,0.0644,0.04,0.0337,0.0272,0.0251,0.021,0.0211,0.0072,0.0005,0.0095,0.007,0.008654389,0.012531343,0.019597095,0.010281967,0.008221502,0.0023364117,0.0023412113,0.0009640417,-8e-45
2016-09-08,CTD7,4176724,690397,0.1202,0.0895,0.0703,0.0444,0.0377,0.0308,0.0298,0.0244,0.0248,0.0074,0.0006,0.0119,0.0083,0.01093273,0.016065137,0.025682671,0.012872766,0.010825602,0.003090964,0.003050795,0.0012437934,-8e-45
2016-09-08,CTD8,4174178,693048,0.1192,0.0891,0.0699,0.0454,0.0388,0.0305,0.0288,0.0243,0.0239,0.0078,0.0006,0.0122,0.0088,0.009820655,0.014590819,0.02400867,0.012915138,0.011145944,0.00321413,0.0031687939,0.0013068178,-8e-45
2016-09-08,CTD9,4171106,693183,0.121,0.0933,0.0792,0.0541,0.0467,0.0355,0.0347,0.0297,0.0297,0.0084,0.0005,0.0174,0.0126,0.011149553,0.017610572,0.032062612,0.018599821,0.016469471,0.00469474,0.0046915696,0.0019129415,-8e-45
2016-09-08,CTD10,4170388,695646,0.1201,0.0914,0.0751,0.049,0.0424,0.0322,0.0314,0.0262,0.0258,0.0083,0.0005,0.0139,0.0101,0.011831488,0.017778385,0.031084968,0.016911058,0.01481735,0.0042965775,0.0042157695,0.0017264591,-8e-45
2016-09-08,CTD11,4169609,700351,0.1194,0.0905,0.0721,0.0469,0.0402,0.033,0.0317,0.0269,0.0276,0.0085,0.0006,0.0159,0.0116,0.008599888,0.0134115,0.023368446,0.011900873,0.009543016,0.0026661218,0.0026292522,0.0010858026,-8e-45
2016-09-08,CTD12,4173438,695414,0.1191,0.0888,0.0687,0.0447,0.0377,0.0305,0.029,0.0241,0.0244,0.0078,0.0006,0.0125,0.0095,0.009031547,0.013267201,0.021773664,0.01160488,0.009435867,0.0026897688,0.0026597893,0.0011159431,-8e-45
2022-07-14,CTD1,4187246,695025,0.1456,0.1176,0.0979,0.0661,0.0598,0.0555,0.0536,0.052,0.0485,0.013,0.0008,0.0326,0.0219,0.014824679,0.021552308,0.031235939,0.010008808,0.009075554,0.002223624,0.0022830537,0.00087523443,-8e-45
2022-07-14,CTD2,4181518,693105,0.1437,0.1175,0.0927,0.0656,0.0588,0.0566,0.0564,0.051,0.0506,0.0129,0.0007,0.0334,0.0251,0.01671572,0.021998877,0.020981427,0.0049761124,0.0032497041,0.00080691604,0.000819087,0.0003254495,-8e-45
2022-07-14,CTD3,4181698,695238,0.133,0.099,0.0714,0.0404,0.0337,0.0308,0.0292,0.0234,0.0234,0.0079,0.0008,0.0068,0.0046,0.014708797,0.019432835,0.021687413,0.00466022,0.0032415325,0.0007887683,0.00079913216,0.0003066072,-8e-45
2022-07-14,CTD4,4180266,698264,0.1337,0.0999,0.073,0.0411,0.0353,0.0316,0.0303,0.0244,0.0243,0.0083,0.0006,0.0099,0.0063,0.015386382,0.02014101,0.022268714,0.004445596,0.0029594619,0.00074026384,0.00074636476,0.00029079852,-8e-45
2022-07-14,CTD5,4179450,700268,0.1406,0.1147,0.0903,0.0536,0.0457,0.042,0.0412,0.0375,0.0356,0.0102,0.0008,0.0226,0.0161,0.025636176,0.034693137,0.03836289,0.008014794,0.005061664,0.0012576889,0.0012819353,0.0005070994,-8e-45
2022-07-14,CTD6,4176009,695829,0.1408,0.1154,0.0904,0.0601,0.0517,0.0488,0.0489,0.0459,0.0423,0.012,0.0005,0.0298,0.0212,0.019698787,0.02728801,0.028036067,0.007008624,0.0045048734,0.0011412513,0.0011729592,0.00047173255,-8e-45
2022-07-14,CTD7,4176724,690397,0.15,0.1301,0.1141,0.0689,0.0588,0.0533,0.0536,0.0474,0.0464,0.0128,0.0007,0.0291,0.0209,0.032669242,0.047075305,0.057685953,0.017370896,0.010621216,0.0026567238,0.0026894996,0.0010751021,-8e-45
2022-07-14,CTD8,4174178,693048,0.1474,0.1226,0.1008,0.0698,0.0621,0.0584,0.0588,0.0547,0.0545,0.0142,0.0007,0.0387,0.0301,0.02037031,0.028465003,0.033796404,0.009676129,0.0063011916,0.0016317714,0.0016517428,0.00066899724,-8e-45
2022-07-14,CTD9,4171106,693183,0.145,0.1199,0.1023,0.0765,0.0741,0.0625,0.0633,0.0576,0.058,0.0145,0.0008,0.041,0.0308,0.018829757,0.025007116,0.038763396,0.01795918,0.018346244,0.0051842364,0.0051117316,0.0020078628,-8e-45
2022-07-14,CTD10,4170388,695646,0.1443,0.1191,0.0971,0.0696,0.0618,0.0594,0.0589,0.0536,0.0538,0.0139,0.0006,0.0382,0.0295,0.017236192,0.023921568,0.02705575,0.007934538,0.0051586134,0.0013958734,0.0014263722,0.0005655259,-8e-45
2022-07-14,CTD11,4169609,700351,0.1379,0.1051,0.0795,0.0514,0.0453,0.0422,0.042,0.0337,0.0368,0.0111,0.0008,0.0205,0.0164,0.011711564,0.015398587,0.01895162,0.004710955,0.0034681957,0.0009151297,0.00090067193,0.00036235654,-8e-45
2022-07-14,CTD12,4173438,695414,0.1451,0.1193,0.0952,0.0637,0.0562,0.0517,0.0523,0.048,0.047,0.0129,0.0006,0.033,0.0254,0.019799164,0.027269972,0.030645905,0.007894733,0.005078968,0.0012899312,0.0013336054,0.000528818,-8e-45
2023-04-20,CTD1,4187246,695025,0.1265,0.0951,0.0703,0.0476,0.0441,0.0405,0.0395,0.0351,0.0352,0.0125,0.0007,0.0242,0.0187,0.0059126285,0.008007005,0.012009289,0.0040823743,0.0040103835,0.0010117977,0.0010138568,0.00040202387,-8e-45
2023-04-20,CTD2,4181518,693105,0.1261,0.096,0.0691,0.0471,0.0419,0.0396,0.039,0.0354,0.0343,0.0123,0.0008,0.0234,0.0184,0.008608468,0.0114544295,0.012408339,0.0031876524,0.0023354278,0.0006371756,0.0006349828,0.00024777444,-8e-45
2023-04-20,CTD3,4181698,695238,0.1291,0.1009,0.075,0.0497,0.0444,0.0417,0.0405,0.0375,0.0361,0.0128,0.0007,0.0257,0.0204,0.011123146,0.015403808,0.017594583,0.0034171555,0.0022129244,0.00056589075,0.0005771035,0.0002278341,-8e-45
2023-04-20,CTD4,4180266,698264,0.1359,0.1132,0.088,0.054,0.048,0.0437,0.044,0.0409,0.039,0.0139,0.0008,0.0292,0.0234,0.022230618,0.03186614,0.037371226,0.008901931,0.005637601,0.0013617907,0.0014143188,0.00056225574,-8e-45
2023-04-20,CTD5,4179450,700268,0.153,0.1358,0.1133,0.0637,0.0537,0.0467,0.046,0.0421,0.0413,0.0146,0.0008,0.0306,0.0252,0.041927986,0.059811614,0.06748816,0.017052723,0.009887189,0.0024911652,0.0024863589,0.0010046643,-8e-45
2023-04-20,CTD6,4176009,695829,0.1318,0.1036,0.0778,0.054,0.049,0.0459,0.0449,0.0423,0.0412,0.0148,0.0007,0.0306,0.0247,0.010505216,0.014526705,0.018652296,0.005471511,0.003939823,0.0010563881,0.001054308,0.00042886237,-8e-45
2023-04-20,CTD7,4176724,690397,0.1369,0.1235,0.107,0.0449,0.0363,0.0315,0.0308,0.0263,0.0258,0.0096,0.0009,0.0145,0.0108,0.053548075,0.07649548,0.085002966,0.013903441,0.0080538485,0.0019812465,0.0018516962,0.0007448228,-8e-45
2023-04-20,CTD8,4174178,693048,0.1436,0.1291,0.1149,0.0571,0.0461,0.0383,0.0377,0.0336,0.0325,0.0123,0.0009,0.0213,0.0169,0.048132673,0.069937564,0.08363922,0.02074166,0.011823849,0.0029951336,0.0029203293,0.0011906801,-8e-45
