Date,Buoy,Latitude,Longitude,rhown_B1,rhown_B2,rhown_B3,rhown_B4,rhown_B5,rhown_B6,Chl,dif_norm_rhown_B2_B3,dif_inv_rhown_B2_B3,dif_norm_rhown_B2_B4,dif_inv_rhown_B2_B4,dif_norm_rhown_B2_B5,dif_inv_rhown_B2_B5,dif_norm_rhown_B3_B4,dif_inv_rhown_B3_B4,dif_norm_rhown_B3_B5,dif_inv_rhown_B3_B5,dif_norm_rhown_B4_B5,dif_inv_rhown_B4_B5,dall_gitelson_rhown_B2_B3_B4,dall_gitelson_rhown_B2_B3_B5,dall_gitelson_rhown_B2_B4_B3,dall_gitelson_rhown_B2_B4_B5,dall_gitelson_rhown_B2_B5_B3,dall_gitelson_rhown_B2_B5_B4,dall_gitelson_rhown_B3_B4_B2,dall_gitelson_rhown_B3_B4_B5,dall_gitelson_rhown_B3_B5_B2,dall_gitelson_rhown_B3_B5_B4,dall_gitelson_rhown_B4_B5_B2,dall_gitelson_rhown_B4_B5_B3,dif_norm_4_bands_rhown_B2_B3_B4_B5,dif_norm_4_bands_rhown_B2_B4_B3_B5,dif_norm_4_bands_rhown_B2_B5_B3_B4,dif_norm_4_bands_rhown_B3_B4_B2_B5,dif_norm_4_bands_rhown_B3_B5_B2_B4,dif_norm_4_bands_rhown_B4_B5_B2_B3,dif_rel_4bands_rhown_B2_B3_B4_B5,dif_rel_4bands_rhown_B2_B3_B5_B4,dif_rel_4bands_rhown_B2_B4_B3_B5,dif_rel_4bands_rhown_B2_B4_B5_B3,dif_rel_4bands_rhown_B2_B5_B3_B4,dif_rel_4bands_rhown_B2_B5_B4_B3,dif_rel_4bands_rhown_B3_B2_B4_B5,dif_rel_4bands_rhown_B3_B2_B5_B4,dif_rel_4bands_rhown_B3_B4_B5_B2,dif_rel_4bands_rhown_B3_B5_B4_B2,dif_rel_4bands_rhown_B4_B2_B5_B3,dif_rel_4bands_rhown_B4_B3_B5_B2,sum_norm_3bands_rhown_B2_B4_B3,sum_norm_3bands_rhown_B3_B5_B4
2016-08-09,CTD11,4169609,700351,0.01094066,0.014928797,0.021988535,0.013032595,0.0105254855,0.0031011244,3.95,-0.191,21.506,0.068,-9.746,0.173,-28.023,0.256,-31.252,0.353,-49.529,0.106,-18.277,0.28,0.226,-0.214,-0.103,-0.616,-0.365,-0.467,-0.329,-0.739,-0.645,-0.273,-0.402,-0.3,0.058,0.126,0.352,0.41,0.068,-0.559,-0.129,-0.944,0.667,-0.269,0.826,0.235,0.665,0.982,1.216,0.394,-0.112,0.757,0.928
2016-08-09,CTD12,4173438,695414,0.012918136,0.018851347,0.028665291,0.013973598,0.010406215,0.0028466766,4.48,-0.207,18.161,0.149,-18.517,0.289,-43.05,0.345,-36.678,0.467,-61.211,0.146,-24.533,0.254,0.189,-0.531,-0.193,-1.234,-0.602,-0.691,-0.382,-1.154,-0.855,-0.462,-0.703,-0.403,0.125,0.198,0.502,0.556,0.075,-0.685,-0.087,-1.406,0.986,-0.24,1.324,0.178,0.776,1.499,2.013,0.378,-0.065,0.691,0.916
2016-09-08,CTD1,4187246,695025,0.010501278,0.015181374,0.02591108,0.013944616,0.012372974,0.0039954428,4.95,-0.261,27.277,0.042,-5.842,0.102,-14.951,0.3,-33.119,0.354,-42.228,0.06,-9.109,0.38,0.337,-0.151,-0.072,-0.387,-0.208,-0.503,-0.41,-0.641,-0.589,-0.138,-0.236,-0.408,0.032,0.07,0.434,0.465,0.038,-0.541,-0.301,-1.005,0.611,-0.631,0.689,0.58,0.819,1.043,1.176,0.441,-0.277,0.709,0.961
2016-09-08,CTD2,4181518,693105,0.009650158,0.014121252,0.023299877,0.011253372,0.009141394,0.0026660874,4.29,-0.245,27.897,0.113,-18.047,0.214,-38.577,0.349,-45.944,0.436,-66.474,0.104,-20.53,0.314,0.255,-0.42,-0.165,-0.899,-0.434,-0.649,-0.42,-0.939,-0.748,-0.29,-0.478,-0.45,0.088,0.144,0.518,0.558,0.056,-0.625,-0.206,-1.294,0.863,-0.526,1.062,0.419,0.838,1.423,1.752,0.405,-0.164,0.678,0.939
2016-09-08,CTD3,4181698,695238,0.006855998,0.009932316,0.017883059,0.008077182,0.0068365135,0.0020796082,3.92,-0.286,44.763,0.103,-23.124,0.185,-45.592,0.378,-67.887,0.447,-90.355,0.083,-22.468,0.362,0.306,-0.414,-0.158,-0.815,-0.368,-0.674,-0.464,-0.897,-0.73,-0.223,-0.402,-0.533,0.075,0.119,0.585,0.613,0.045,-0.626,-0.291,-1.386,0.847,-0.761,1.001,0.619,0.954,1.526,1.803,0.431,-0.237,0.647,0.952
2016-09-08,CTD4,4180266,698264,0.012966631,0.017660758,0.0277997,0.014426392,0.011907737,0.003542112,4.15,-0.223,20.651,0.101,-12.695,0.195,-27.356,0.317,-33.346,0.4,-48.007,0.096,-14.662,0.298,0.246,-0.353,-0.151,-0.76,-0.395,-0.589,-0.397,-0.848,-0.693,-0.259,-0.408,-0.385,0.081,0.136,0.452,0.495,0.055,-0.576,-0.19,-1.11,0.796,-0.444,0.964,0.363,0.749,1.253,1.518,0.389,-0.155,0.706,0.94
2016-09-08,CTD5,4179450,700268,0.010412716,0.015923016,0.021197243,0.0041625625,0.002808974,0.0007008634,0.1399999999999999,-0.142,15.626,0.586,-177.434,0.7,-293.2,0.672,-193.061,0.766,-308.826,0.194,-115.765,0.065,0.044,-3.761,-0.498,-6.215,-1.22,-3.074,-0.542,-4.917,-1.286,-1.843,-2.454,-0.757,0.49,0.517,0.909,0.915,0.036,-0.731,0.076,-3.721,3.693,0.576,5.472,-0.151,0.656,4.916,7.285,0.129,0.02,0.541,0.947
2016-09-08,CTD6,4176009,695829,0.008064865,0.011951813,0.018257344,0.009986541,0.007877458,0.0020339831,4.35,-0.209,28.897,0.09,-16.465,0.205,-43.275,0.293,-45.362,0.397,-72.172,0.118,-26.81,0.289,0.228,-0.301,-0.13,-0.79,-0.432,-0.542,-0.357,-0.863,-0.721,-0.32,-0.489,-0.353,0.075,0.144,0.417,0.473,0.07,-0.613,-0.134,-1.121,0.765,-0.311,0.97,0.26,0.739,1.169,1.482,0.404,-0.112,0.726,0.925
2016-09-08,CTD7,4176724,690397,0.010530928,0.015498417,0.024140554,0.011907109,0.009113863,0.0024665005,4.69,-0.218,23.099,0.131,-19.461,0.259,-45.2,0.339,-42.559,0.452,-68.299,0.133,-25.74,0.275,0.211,-0.47,-0.177,-1.091,-0.538,-0.66,-0.388,-1.059,-0.813,-0.399,-0.621,-0.411,0.108,0.177,0.497,0.548,0.07,-0.664,-0.123,-1.347,0.924,-0.327,1.207,0.251,0.792,1.439,1.88,0.391,-0.095,0.691,0.923
2016-09-08,CTD9,4171106,693183,0.012001819,0.018957723,0.034208126,0.019903803,0.016575772,0.004829008,,-0.287,23.516,-0.024,2.507,0.067,-7.58,0.264,-21.009,0.347,-31.096,0.091,-10.087,0.468,0.39,0.086,0.042,-0.259,-0.151,-0.398,-0.348,-0.59,-0.619,-0.191,-0.345,-0.418,-0.019,0.044,0.403,0.454,0.063,-0.647,-0.279,-1.111,0.468,-0.575,0.562,0.604,0.972,0.844,1.014,0.565,-0.293,0.731,0.938
