Date,Buoy,Latitude,Longitude,rhown_B1,rhown_B2,rhown_B3,rhown_B4,rhown_B5,rhown_B6,Chl
2016-08-09,CTD1,4187246,695025,0.011168694,0.017767137,0.034073807,0.016632598,0.013229241,0.0036168438,6.835
2016-08-09,CTD2,4181518,693105,0.0078779925,0.011445166,0.021303117,0.01163782,0.009286255,0.002616414,4.805
2016-08-09,CTD3,4181698,695238,0.0066109016,0.010425748,0.020055331,0.011225296,0.009156718,0.0026387193,3.9
2016-08-09,CTD4,4180266,698264,0.008127184,0.010880876,0.016012732,0.009840584,0.0079318555,0.0025081758,3.595
2016-08-09,CTD5,4179450,700268,0.011315398,0.018881697,0.026587224,0.005076611,0.0033498525,0.00081958395,0.1275
2016-08-09,CTD6,4176009,695829,0.008457326,0.013017064,0.022727186,0.0108244,0.008250715,0.0021784934,4.58
2016-08-09,CTD7,4176724,690397,0.009666791,0.014721514,0.02735021,0.014842082,0.01192278,0.0033772076,5.89
2016-08-09,CTD8,4174178,693048,0.011305991,0.017912947,0.031134222,0.01366129,0.010284633,0.0027115627,6.195
2016-08-09,CTD9,4171106,693183,0.012790599,0.019897293,0.038655303,0.02092268,0.017137077,0.004932758,6.2
2016-08-09,CTD10,4170388,695646,0.008175398,0.013197403,0.026587224,0.013262273,0.010715043,0.0030089053,4.22
2016-08-09,CTD11,4169609,700351,0.009433291,0.013465799,0.022874536,0.011954913,0.009205894,0.0025156466,3.73
2016-08-09,CTD12,4173438,695414,0.009164445,0.014503995,0.027513,0.012391843,0.009568761,0.0025570716,4.235
2016-09-08,CTD1,4187246,695025,0.0069185174,0.010993131,0.022455614,0.013685756,0.011547242,0.0033534777,4.93
2016-09-08,CTD2,4181518,693105,0.0063542374,0.010387781,0.021269983,0.01097166,0.008756075,0.0024190734,4.12
2016-09-08,CTD3,4181698,695238,0.0069710007,0.010737058,0.020921426,0.010488034,0.008102473,0.0021959192,3.74
2016-09-08,CTD4,4180266,698264,0.0061667254,0.009274731,0.017980294,0.009996121,0.008105249,0.0022531727,3.37
2016-09-08,CTD5,4179450,700268,0.0068352697,0.012073278,0.018966293,0.003951181,0.0026809792,0.00065997534,0.09
2016-09-08,CTD6,4176009,695829,0.006810469,0.010720818,0.020455644,0.010293552,0.008166532,0.0022883099,4.24
