Date,Buoy,Latitude,Longitude,rhown_B1,rhown_B2,rhown_B3,rhown_B4,rhown_B5,rhown_B6,Chl,dif_norm_rhown_B2_B3,dif_inv_rhown_B2_B3,dif_norm_rhown_B2_B4,dif_inv_rhown_B2_B4,dif_norm_rhown_B2_B5,dif_inv_rhown_B2_B5,dif_norm_rhown_B3_B4,dif_inv_rhown_B3_B4,dif_norm_rhown_B3_B5,dif_inv_rhown_B3_B5,dif_norm_rhown_B4_B5,dif_inv_rhown_B4_B5,dall_gitelson_rhown_B2_B3_B4,dall_gitelson_rhown_B2_B3_B5,dall_gitelson_rhown_B2_B4_B3,dall_gitelson_rhown_B2_B4_B5,dall_gitelson_rhown_B2_B5_B3,dall_gitelson_rhown_B2_B5_B4,dall_gitelson_rhown_B3_B4_B2,dall_gitelson_rhown_B3_B4_B5,dall_gitelson_rhown_B3_B5_B2,dall_gitelson_rhown_B3_B5_B4,dall_gitelson_rhown_B4_B5_B2,dall_gitelson_rhown_B4_B5_B3,dif_norm_4_bands_rhown_B2_B3_B4_B5,dif_norm_4_bands_rhown_B2_B4_B3_B5,dif_norm_4_bands_rhown_B2_B5_B3_B4,dif_norm_4_bands_rhown_B3_B4_B2_B5,dif_norm_4_bands_rhown_B3_B5_B2_B4,dif_norm_4_bands_rhown_B4_B5_B2_B3,dif_rel_4bands_rhown_B2_B3_B4_B5,dif_rel_4bands_rhown_B2_B3_B5_B4,dif_rel_4bands_rhown_B2_B4_B3_B5,dif_rel_4bands_rhown_B2_B4_B5_B3,dif_rel_4bands_rhown_B2_B5_B3_B4,dif_rel_4bands_rhown_B2_B5_B4_B3,dif_rel_4bands_rhown_B3_B2_B4_B5,dif_rel_4bands_rhown_B3_B2_B5_B4,dif_rel_4bands_rhown_B3_B4_B5_B2,dif_rel_4bands_rhown_B3_B5_B4_B2,dif_rel_4bands_rhown_B4_B2_B5_B3,dif_rel_4bands_rhown_B4_B3_B5_B2,sum_norm_3bands_rhown_B2_B4_B3,sum_norm_3bands_rhown_B3_B5_B4
2016-08-09,CTD11,4169609,700351,0.011143869,0.015450322,0.023022674,0.01239563,0.010110972,0.0029157563,,-0.197,21.288,0.11,-15.95,0.209,-34.179,0.3,-37.238,0.39,-55.467,0.102,-18.229,0.264,0.215,-0.367,-0.161,-0.787,-0.424,-0.575,-0.377,-0.857,-0.688,-0.282,-0.42,-0.336,0.092,0.151,0.416,0.464,0.059,-0.555,-0.145,-1.031,0.807,-0.329,0.99,0.264,0.674,1.203,1.475,0.363,-0.116,0.724,0.935
2016-08-09,CTD12,4173438,695414,0.010955954,0.01602155,0.024214165,0.011965965,0.0090772575,0.0024354022,,-0.204,21.118,0.145,-21.154,0.277,-47.749,0.339,-42.272,0.455,-68.867,0.137,-26.595,0.253,0.192,-0.512,-0.192,-1.156,-0.571,-0.677,-0.384,-1.103,-0.824,-0.426,-0.644,-0.389,0.122,0.192,0.488,0.541,0.072,-0.657,-0.097,-1.329,0.964,-0.259,1.271,0.193,0.753,1.457,1.921,0.372,-0.072,0.696,0.92
2016-09-08,CTD1,4187246,695025,0.01007864,0.014954334,0.025903298,0.013604328,0.011613511,0.0035384072,4.95,-0.268,28.265,0.047,-6.636,0.126,-19.236,0.311,-34.901,0.381,-47.501,0.079,-12.601,0.385,0.328,-0.172,-0.077,-0.498,-0.262,-0.522,-0.405,-0.71,-0.646,-0.188,-0.326,-0.434,0.036,0.085,0.463,0.5,0.049,-0.594,-0.276,-1.131,0.651,-0.616,0.762,0.561,0.878,1.127,1.321,0.461,-0.251,0.699,0.95
2016-09-08,CTD2,4181518,693105,0.010480561,0.01524611,0.024540223,0.01204726,0.009680451,0.0028023985,,-0.234,24.841,0.117,-17.416,0.223,-37.71,0.341,-42.257,0.434,-62.552,0.109,-20.295,0.299,0.24,-0.427,-0.169,-0.925,-0.454,-0.644,-0.409,-0.954,-0.754,-0.309,-0.498,-0.428,0.093,0.152,0.501,0.544,0.059,-0.623,-0.182,-1.27,0.871,-0.462,1.084,0.365,0.806,1.402,1.745,0.396,-0.144,0.686,0.935
2016-09-08,CTD3,4181698,695238,0.009116722,0.013197403,0.020921426,0.0108244,0.008378326,0.0023965486,,-0.226,27.975,0.099,-16.611,0.223,-43.583,0.318,-44.586,0.428,-71.558,0.127,-26.972,0.303,0.234,-0.348,-0.139,-0.912,-0.472,-0.588,-0.374,-0.944,-0.775,-0.356,-0.564,-0.402,0.081,0.152,0.468,0.522,0.072,-0.661,-0.143,-1.278,0.819,-0.358,1.058,0.293,0.811,1.298,1.677,0.42,-0.117,0.704,0.923
2016-09-08,CTD4,4180266,698264,0.009694564,0.013810423,0.021019582,0.011299112,0.0090195425,0.0025438291,,-0.207,24.834,0.1,-16.093,0.21,-38.461,0.301,-40.928,0.399,-63.296,0.112,-22.368,0.281,0.224,-0.338,-0.145,-0.808,-0.435,-0.565,-0.369,-0.874,-0.715,-0.309,-0.47,-0.355,0.084,0.148,0.426,0.478,0.065,-0.596,-0.141,-1.108,0.793,-0.329,0.994,0.269,0.724,1.207,1.512,0.389,-0.116,0.721,0.929
2016-09-08,CTD5,4179450,700268,0.009531625,0.01437139,0.019550478,0.0043513956,0.002990963,0.00075959624,0.04,-0.153,18.433,0.535,-160.229,0.655,-264.758,0.636,-178.662,0.735,-283.191,0.185,-104.529,0.08,0.055,-3.133,-0.479,-5.176,-1.152,-2.568,-0.534,-4.07,-1.232,-1.502,-2.044,-0.705,0.445,0.476,0.875,0.884,0.04,-0.72,0.048,-3.234,3.15,0.312,4.582,-0.094,0.673,4.285,6.234,0.15,0.014,0.552,0.943
2016-09-08,CTD6,4176009,695829,0.009032382,0.012834953,0.020315086,0.010408568,0.0082619935,0.0024010392,,-0.226,28.688,0.104,-18.162,0.217,-43.124,0.322,-46.85,0.422,-71.812,0.115,-24.961,0.299,0.237,-0.369,-0.15,-0.876,-0.449,-0.601,-0.387,-0.922,-0.747,-0.32,-0.507,-0.401,0.085,0.149,0.47,0.519,0.065,-0.628,-0.162,-1.226,0.826,-0.398,1.041,0.323,0.789,1.308,1.648,0.404,-0.131,0.701,0.93
2016-09-08,CTD7,4176724,690397,0.010483518,0.015155538,0.025263917,0.012062087,0.0102711925,0.0029926745,,-0.25,26.4,0.114,-16.922,0.192,-31.377,0.354,-43.322,0.422,-57.778,0.08,-14.455,0.318,0.271,-0.428,-0.174,-0.793,-0.378,-0.657,-0.445,-0.876,-0.697,-0.219,-0.365,-0.453,0.087,0.131,0.519,0.551,0.044,-0.574,-0.252,-1.203,0.85,-0.619,0.998,0.493,0.815,1.417,1.664,0.389,-0.2,0.673,0.952
2016-09-08,CTD9,4171106,693183,0.011017296,0.017201973,0.031894203,0.018334838,0.015860243,0.004780823,,-0.299,26.779,-0.032,3.592,0.041,-4.918,0.27,-23.187,0.336,-31.697,0.072,-8.51,0.491,0.425,0.115,0.057,-0.157,-0.09,-0.399,-0.368,-0.545,-0.581,-0.146,-0.271,-0.43,-0.024,0.027,0.41,0.451,0.05,-0.617,-0.326,-1.073,0.441,-0.655,0.51,0.698,0.989,0.818,0.945,0.569,-0.347,0.724,0.951
