Date,Buoy,Latitude,Longitude,rhow_B1,rhow_B2,rhow_B3,rhow_B4,rhow_B5,rhow_B6,rhow_B7,rhow_B8A,Chl,dif_norm_rhow_B2_B3,dif_inv_rhow_B2_B3,dif_norm_rhow_B2_B4,dif_inv_rhow_B2_B4,dif_norm_rhow_B2_B5,dif_inv_rhow_B2_B5,dif_norm_rhow_B3_B4,dif_inv_rhow_B3_B4,dif_norm_rhow_B3_B5,dif_inv_rhow_B3_B5,dif_norm_rhow_B4_B5,dif_inv_rhow_B4_B5,dall_gitelson_rhow_B2_B3_B4,dall_gitelson_rhow_B2_B3_B5,dall_gitelson_rhow_B2_B4_B3,dall_gitelson_rhow_B2_B4_B5,dall_gitelson_rhow_B2_B5_B3,dall_gitelson_rhow_B2_B5_B4,dall_gitelson_rhow_B3_B4_B2,dall_gitelson_rhow_B3_B4_B5,dall_gitelson_rhow_B3_B5_B2,dall_gitelson_rhow_B3_B5_B4,dall_gitelson_rhow_B4_B5_B2,dall_gitelson_rhow_B4_B5_B3,dif_norm_4_bands_rhow_B2_B3_B4_B5,dif_norm_4_bands_rhow_B2_B4_B3_B5,dif_norm_4_bands_rhow_B2_B5_B3_B4,dif_norm_4_bands_rhow_B3_B4_B2_B5,dif_norm_4_bands_rhow_B3_B5_B2_B4,dif_norm_4_bands_rhow_B4_B5_B2_B3,dif_rel_4bands_rhow_B2_B3_B4_B5,dif_rel_4bands_rhow_B2_B3_B5_B4,dif_rel_4bands_rhow_B2_B4_B3_B5,dif_rel_4bands_rhow_B2_B4_B5_B3,dif_rel_4bands_rhow_B2_B5_B3_B4,dif_rel_4bands_rhow_B2_B5_B4_B3,dif_rel_4bands_rhow_B3_B2_B4_B5,dif_rel_4bands_rhow_B3_B2_B5_B4,dif_rel_4bands_rhow_B3_B4_B5_B2,dif_rel_4bands_rhow_B3_B5_B4_B2,dif_rel_4bands_rhow_B4_B2_B5_B3,dif_rel_4bands_rhow_B4_B3_B5_B2,sum_norm_3bands_rhow_B2_B4_B3,sum_norm_3bands_rhow_B3_B5_B4
2016-08-09,CTD11,4169609,700351,0.0052926918,0.0115788,0.026698494,0.011811625,0.012469621,0.003403414,0.003358591,0.0012718013,,-0.395,48.909,-0.01,1.702,-0.037,6.17,0.387,-47.207,0.363,-42.74,-0.027,4.467,0.578,0.61,0.045,0.021,0.165,0.073,-0.547,-0.589,-0.495,-0.505,0.052,0.119,-0.623,-0.006,-0.023,0.619,0.608,-0.017,-0.514,-0.622,-1.161,0.513,-1.332,0.486,1.359,1.25,1.183,1.121,0.553,-0.635,0.611,1.017
2016-08-09,CTD12,4173438,695414,0.0068511153,0.014775981,0.031890497,0.01144203,0.008975954,0.0023730772,0.0022889783,0.00089293934,,-0.367,36.32,0.127,-19.72,0.244,-43.731,0.472,-56.04,0.561,-80.051,0.121,-24.012,0.416,0.326,-0.629,-0.177,-1.395,-0.5,-0.828,-0.503,-1.183,-0.916,-0.355,-0.766,-0.838,0.082,0.134,0.861,0.874,0.053,-0.811,-0.321,-2.262,1.01,-1.141,1.287,0.884,1.374,2.18,2.779,0.493,-0.249,0.562,0.943
2016-09-08,CTD1,4187246,695025,0.0050355326,0.0128741,0.031086095,0.01604207,0.014785274,0.0043738885,0.00423362,0.0016246979,4.95,-0.414,45.507,-0.11,15.339,-0.069,10.04,0.319,-30.167,0.355,-35.466,0.041,-5.299,0.73,0.673,0.477,0.227,0.312,0.161,-0.388,-0.446,-0.457,-0.569,-0.068,-0.165,-0.591,-0.069,-0.041,0.544,0.564,0.029,-0.671,-0.508,-1.3,0.327,-1.067,0.355,1.33,1.493,0.789,0.856,0.77,-0.632,0.658,0.973
2016-09-08,CTD2,4181518,693105,0.0058073145,0.012207659,0.025986578,0.01188399,0.011017861,0.0030320422,0.0029908626,0.0011593539,,-0.361,43.434,0.013,-2.231,0.051,-8.846,0.372,-45.665,0.405,-52.28,0.038,-6.615,0.516,0.479,-0.058,-0.025,-0.23,-0.105,-0.557,-0.503,-0.638,-0.621,-0.081,-0.172,-0.602,0.009,0.031,0.607,0.621,0.023,-0.609,-0.457,-1.331,0.603,-1.079,0.651,1.05,1.202,1.284,1.385,0.55,-0.445,0.631,0.977
2016-09-08,CTD3,4181698,695238,0.0049233413,0.011185287,0.02534631,0.011521632,0.0107089775,0.003051358,0.0030056874,0.0011630221,,-0.388,49.95,-0.015,2.61,0.022,-3.976,0.375,-47.34,0.406,-53.926,0.037,-6.586,0.576,0.535,0.066,0.028,-0.101,-0.046,-0.53,-0.507,-0.603,-0.621,-0.074,-0.167,-0.637,-0.009,0.013,0.631,0.645,0.022,-0.635,-0.488,-1.396,0.548,-1.155,0.59,1.19,1.337,1.242,1.337,0.608,-0.503,0.622,0.978
2016-09-08,CTD4,4180266,698264,0.005745947,0.01128094,0.022527907,0.010921638,0.010291825,0.0031744144,0.0031315025,0.0012200689,,-0.333,44.256,0.016,-2.916,0.046,-8.519,0.347,-47.172,0.373,-52.775,0.03,-5.603,0.483,0.455,-0.066,-0.03,-0.192,-0.093,-0.532,-0.485,-0.595,-0.576,-0.063,-0.126,-0.53,0.011,0.03,0.538,0.551,0.019,-0.56,-0.442,-1.156,0.576,-0.967,0.611,0.936,1.055,1.15,1.221,0.511,-0.428,0.657,0.981
2016-09-08,CTD5,4179450,700268,0.0046399115,0.0111614745,0.017939303,0.0037373975,0.0022713344,0.0005861099,0.00056685484,0.0002244327,0.04,-0.233,33.85,0.498,-177.972,0.662,-350.676,0.655,-211.822,0.775,-384.526,0.244,-172.704,0.127,0.077,-3.193,-0.404,-6.291,-1.311,-2.364,-0.481,-4.292,-1.437,-1.928,-3.098,-1.128,0.367,0.41,1.057,1.052,0.05,-1.023,0.014,-4.912,2.86,0.114,4.706,-0.038,1.0,4.596,7.563,0.208,0.005,0.512,0.932
2016-09-08,CTD6,4176009,695829,0.0040695155,0.0091834925,0.02205806,0.010154258,0.008778466,0.002450059,0.0023973281,0.00091344403,,-0.412,63.556,-0.05,10.41,0.023,-5.024,0.37,-53.146,0.431,-68.58,0.073,-15.434,0.645,0.558,0.23,0.091,-0.111,-0.051,-0.488,-0.467,-0.63,-0.696,-0.142,-0.34,-0.68,-0.031,0.013,0.663,0.687,0.044,-0.74,-0.448,-1.608,0.506,-1.126,0.586,1.245,1.537,1.216,1.407,0.708,-0.496,0.619,0.957
2016-09-08,CTD7,4176724,690397,0.006726927,0.013579797,0.029104272,0.01266702,0.012284919,0.0035676686,0.0035037051,0.0013623224,,-0.364,39.28,0.035,-5.306,0.05,-7.762,0.394,-44.586,0.406,-47.041,0.015,-2.455,0.498,0.483,-0.154,-0.065,-0.226,-0.098,-0.605,-0.548,-0.639,-0.596,-0.033,-0.071,-0.622,0.022,0.031,0.636,0.641,0.009,-0.565,-0.503,-1.297,0.65,-1.192,0.67,1.112,1.173,1.393,1.436,0.511,-0.469,0.615,0.991
2016-09-08,CTD9,4171106,693183,0.0054937634,0.014342873,0.040785234,0.023354677,0.019837743,0.0057104547,0.005568493,0.002118394,,-0.48,45.202,-0.239,26.903,-0.161,19.312,0.272,-18.299,0.346,-25.89,0.081,-7.591,1.056,0.897,1.097,0.534,0.788,0.451,-0.262,-0.363,-0.371,-0.605,-0.109,-0.31,-0.612,-0.149,-0.086,0.51,0.556,0.064,-0.826,-0.498,-1.442,0.128,-1.023,0.15,1.666,1.994,0.363,0.428,1.142,-0.81,0.684,0.945
