Date,Buoy,Latitude,Longitude,rhow_B1,rhow_B2,rhow_B3,rhow_B4,rhow_B5,rhow_B6,rhow_B7,rhow_B8A,Chl,dif_norm_rhow_B2_B3,dif_inv_rhow_B2_B3,dif_norm_rhow_B2_B4,dif_inv_rhow_B2_B4,dif_norm_rhow_B2_B5,dif_inv_rhow_B2_B5,dif_norm_rhow_B3_B4,dif_inv_rhow_B3_B4,dif_norm_rhow_B3_B5,dif_inv_rhow_B3_B5,dif_norm_rhow_B4_B5,dif_inv_rhow_B4_B5,dall_gitelson_rhow_B2_B3_B4,dall_gitelson_rhow_B2_B3_B5,dall_gitelson_rhow_B2_B4_B3,dall_gitelson_rhow_B2_B4_B5,dall_gitelson_rhow_B2_B5_B3,dall_gitelson_rhow_B2_B5_B4,dall_gitelson_rhow_B3_B4_B2,dall_gitelson_rhow_B3_B4_B5,dall_gitelson_rhow_B3_B5_B2,dall_gitelson_rhow_B3_B5_B4,dall_gitelson_rhow_B4_B5_B2,dall_gitelson_rhow_B4_B5_B3,dif_norm_4_bands_rhow_B2_B3_B4_B5,dif_norm_4_bands_rhow_B2_B4_B3_B5,dif_norm_4_bands_rhow_B2_B5_B3_B4,dif_norm_4_bands_rhow_B3_B4_B2_B5,dif_norm_4_bands_rhow_B3_B5_B2_B4,dif_norm_4_bands_rhow_B4_B5_B2_B3,dif_rel_4bands_rhow_B2_B3_B4_B5,dif_rel_4bands_rhow_B2_B3_B5_B4,dif_rel_4bands_rhow_B2_B4_B3_B5,dif_rel_4bands_rhow_B2_B4_B5_B3,dif_rel_4bands_rhow_B2_B5_B3_B4,dif_rel_4bands_rhow_B2_B5_B4_B3,dif_rel_4bands_rhow_B3_B2_B4_B5,dif_rel_4bands_rhow_B3_B2_B5_B4,dif_rel_4bands_rhow_B3_B4_B5_B2,dif_rel_4bands_rhow_B3_B5_B4_B2,dif_rel_4bands_rhow_B4_B2_B5_B3,dif_rel_4bands_rhow_B4_B3_B5_B2,sum_norm_3bands_rhow_B2_B4_B3,sum_norm_3bands_rhow_B3_B5_B4
2016-08-09,CTD11,4169609,700351,0.005275526,0.011103814,0.026169416,0.01157814,0.011735666,0.003227481,0.0031829225,0.0012034965,3.705,-0.404,51.847,-0.021,3.689,-0.028,4.849,0.387,-48.157,0.381,-46.998,-0.007,1.159,0.6,0.608,0.097,0.043,0.127,0.056,-0.535,-0.565,-0.522,-0.544,0.013,0.03,-0.646,-0.013,-0.017,0.639,0.636,-0.004,-0.562,-0.589,-1.271,0.511,-1.314,0.504,1.37,1.343,1.203,1.187,0.594,-0.614,0.609,1.004
2016-08-09,CTD12,4173438,695414,0.00671207,0.014301724,0.030877892,0.0112522,0.009161676,0.002465748,0.0024104735,0.0009285171,4.285,-0.367,37.536,0.119,-18.95,0.219,-39.229,0.466,-56.486,0.542,-76.765,0.102,-20.279,0.422,0.344,-0.585,-0.174,-1.211,-0.441,-0.808,-0.518,-1.098,-0.864,-0.29,-0.626,-0.812,0.076,0.122,0.836,0.85,0.046,-0.765,-0.351,-2.099,0.974,-1.183,1.197,0.931,1.345,2.104,2.584,0.49,-0.276,0.566,0.95
2016-09-08,CTD1,4187246,695025,0.0042988583,0.011502018,0.031086095,0.015788093,0.014785274,0.004305127,0.0042274473,0.0016204726,4.905,-0.46,54.773,-0.157,23.602,-0.125,19.306,0.326,-31.17,0.355,-35.466,0.033,-4.296,0.865,0.81,0.734,0.349,0.6,0.305,-0.359,-0.461,-0.408,-0.56,-0.049,-0.134,-0.641,-0.093,-0.07,0.582,0.597,0.024,-0.698,-0.566,-1.374,0.253,-1.191,0.27,1.635,1.766,0.684,0.73,0.897,-0.778,0.641,0.979
2016-09-08,CTD2,4181518,693105,0.005939419,0.012277108,0.026757786,0.012083939,0.011113079,0.0031744144,0.0031206985,0.0012104809,4.115,-0.371,44.08,0.008,-1.302,0.05,-8.532,0.378,-45.382,0.413,-52.612,0.042,-7.23,0.533,0.49,-0.035,-0.014,-0.228,-0.103,-0.557,-0.504,-0.646,-0.636,-0.089,-0.193,-0.624,0.005,0.03,0.627,0.642,0.025,-0.629,-0.461,-1.392,0.601,-1.11,0.653,1.092,1.26,1.309,1.424,0.569,-0.454,0.624,0.975
2016-09-08,CTD3,4181698,695238,0.0034328452,0.009282416,0.023300936,0.010670022,0.0088980105,0.0024130421,0.0023512885,0.00089388277,3.8,-0.43,64.814,-0.07,14.01,0.021,-4.654,0.372,-50.804,0.447,-69.468,0.091,-18.664,0.692,0.577,0.326,0.125,-0.108,-0.05,-0.472,-0.452,-0.645,-0.741,-0.173,-0.435,-0.716,-0.043,0.011,0.695,0.722,0.054,-0.801,-0.436,-1.749,0.488,-1.141,0.585,1.311,1.676,1.225,1.469,0.768,-0.501,0.612,0.948
2016-09-08,CTD4,4180266,698264,0.005639487,0.011009362,0.022535311,0.01083271,0.00986846,0.0029777116,0.0029177926,0.0011508388,3.87,-0.344,46.457,0.008,-1.481,0.055,-10.501,0.351,-47.938,0.391,-56.958,0.047,-9.02,0.503,0.458,-0.033,-0.015,-0.237,-0.114,-0.528,-0.473,-0.627,-0.617,-0.099,-0.203,-0.557,0.005,0.034,0.561,0.58,0.029,-0.609,-0.422,-1.267,0.578,-0.965,0.635,0.949,1.136,1.184,1.3,0.546,-0.416,0.651,0.971
2016-09-08,CTD5,4179450,700268,0.0047585866,0.011263812,0.017810918,0.0036389858,0.0022426222,0.0005812794,0.0005663265,0.0002244327,0.1225,-0.225,32.635,0.512,-186.022,0.668,-357.127,0.661,-218.657,0.776,-389.761,0.237,-171.105,0.119,0.073,-3.313,-0.417,-6.361,-1.3,-2.463,-0.49,-4.39,-1.418,-1.927,-3.048,-1.113,0.38,0.421,1.049,1.045,0.048,-0.99,0.016,-4.847,2.969,0.128,4.818,-0.041,0.965,4.695,7.619,0.197,0.005,0.513,0.935
2016-09-08,CTD6,4176009,695829,0.0043059527,0.009913352,0.023118943,0.010462468,0.009157687,0.002614031,0.0025636475,0.0009960432,4.315,-0.4,57.619,-0.027,5.294,0.04,-8.324,0.377,-52.325,0.433,-65.943,0.067,-13.618,0.603,0.528,0.122,0.048,-0.192,-0.087,-0.519,-0.479,-0.654,-0.69,-0.135,-0.315,-0.673,-0.017,0.023,0.664,0.685,0.04,-0.714,-0.446,-1.577,0.551,-1.127,0.63,1.19,1.457,1.286,1.469,0.659,-0.471,0.617,0.961
2016-09-08,CTD7,4176724,690397,0.005461843,0.011940081,0.028299576,0.012905499,0.011892431,0.0035642069,0.0034865288,0.0013403529,4.495,-0.407,48.415,-0.039,6.265,0.002,-0.336,0.374,-42.15,0.408,-48.751,0.041,-6.601,0.625,0.576,0.177,0.075,-0.009,-0.004,-0.503,-0.501,-0.582,-0.629,-0.079,-0.187,-0.66,-0.024,0.001,0.646,0.66,0.025,-0.663,-0.5,-1.454,0.505,-1.189,0.548,1.285,1.449,1.197,1.299,0.661,-0.54,0.617,0.975
2016-09-08,CTD9,4171106,693183,0.0048197634,0.013894995,0.0402035,0.02330121,0.02029068,0.0058269883,0.0056539965,0.0021413416,,-0.486,47.095,-0.253,29.052,-0.187,22.685,0.266,-18.043,0.329,-24.41,0.069,-6.367,1.097,0.956,1.168,0.589,0.912,0.529,-0.251,-0.366,-0.339,-0.569,-0.088,-0.256,-0.604,-0.155,-0.101,0.494,0.535,0.056,-0.803,-0.525,-1.385,0.092,-1.041,0.105,1.745,2.023,0.265,0.304,1.172,-0.881,0.688,0.953
2016-09-08,CTD10,4170388,695646,0.0064576366,0.014524965,0.035539556,0.019015376,0.017919945,0.0053430917,0.0052306503,0.0020008755,5.045,-0.42,40.709,-0.134,16.258,-0.105,13.043,0.303,-24.451,0.33,-27.666,0.03,-3.215,0.774,0.73,0.578,0.291,0.464,0.248,-0.355,-0.438,-0.402,-0.526,-0.047,-0.114,-0.569,-0.084,-0.062,0.509,0.525,0.022,-0.652,-0.534,-1.219,0.26,-1.058,0.275,1.386,1.504,0.635,0.674,0.805,-0.699,0.67,0.98
2016-09-08,CTD11,4169609,700351,0.0037448579,0.011178479,0.029595247,0.013958265,0.011486813,0.0030648,0.0029746369,0.0011333949,5.805,-0.452,55.668,-0.111,17.815,-0.014,2.401,0.359,-37.853,0.441,-53.267,0.097,-15.414,0.777,0.639,0.527,0.205,0.071,0.034,-0.423,-0.435,-0.595,-0.744,-0.172,-0.456,-0.724,-0.068,-0.007,0.69,0.72,0.061,-0.837,-0.445,-1.776,0.413,-1.147,0.502,1.432,1.825,1.093,1.328,0.861,-0.556,0.616,0.943
2016-09-08,CTD12,4173438,695414,0.004250907,0.010395002,0.027081415,0.013026314,0.011089204,0.0033296938,0.0032463386,0.0012433836,4.13,-0.445,59.274,-0.112,19.432,-0.032,6.022,0.35,-39.842,0.419,-53.252,0.08,-13.41,0.772,0.657,0.526,0.215,0.163,0.078,-0.414,-0.442,-0.554,-0.694,-0.139,-0.363,-0.692,-0.069,-0.017,0.654,0.683,0.052,-0.791,-0.467,-1.644,0.389,-1.142,0.456,1.431,1.754,1.012,1.189,0.844,-0.586,0.625,0.952
2017-06-30,CTD1,4187246,695025,0.018613877,0.029938785,0.04841963,0.01673319,0.012961752,0.0034567853,0.0033044487,0.0012684647,3.9975,-0.236,12.749,0.283,-26.36,0.396,-43.749,0.486,-39.109,0.578,-56.497,0.127,-17.389,0.213,0.165,-1.276,-0.342,-2.118,-0.732,-1.171,-0.507,-1.691,-0.945,-0.521,-0.842,-0.622,0.215,0.261,0.739,0.76,0.048,-0.673,-0.156,-1.946,1.521,-0.584,1.964,0.326,0.843,2.461,3.177,0.291,-0.087,0.596,0.942
2017-06-30,CTD2,4181518,693105,0.016225267,0.02793159,0.041592643,0.010670022,0.007286754,0.0019199749,0.0018516227,0.0007203307,1.6685,-0.196,11.759,0.447,-57.919,0.586,-101.434,0.592,-69.678,0.702,-113.193,0.188,-43.515,0.125,0.086,-2.409,-0.422,-4.219,-1.082,-1.946,-0.508,-3.162,-1.208,-1.215,-1.81,-0.761,0.353,0.395,0.878,0.889,0.049,-0.793,-0.011,-3.09,2.443,-0.065,3.577,0.025,0.806,3.637,5.326,0.207,-0.004,0.555,0.935
2017-06-30,CTD3,4181698,695238,0.013120146,0.022414245,0.031639915,0.008194202,0.005313625,0.001420583,0.0013805403,0.0005474391,1.2595,-0.171,13.009,0.465,-77.423,0.617,-143.581,0.589,-90.432,0.712,-156.59,0.213,-66.158,0.107,0.069,-2.45,-0.411,-4.543,-1.177,-2.027,-0.481,-3.51,-1.283,-1.483,-2.093,-0.683,0.385,0.429,0.846,0.86,0.053,-0.834,0.06,-3.219,2.567,0.357,3.959,-0.131,0.763,3.624,5.589,0.198,0.022,0.566,0.928
2017-06-30,CTD4,4180266,698264,0.010572527,0.020273888,0.033135183,0.008227992,0.0053987782,0.0014600392,0.0014250145,0.0005631526,1.7815,-0.241,19.145,0.423,-72.212,0.579,-135.903,0.602,-91.357,0.72,-155.048,0.208,-63.691,0.158,0.103,-2.393,-0.39,-4.503,-1.118,-1.852,-0.493,-3.143,-1.276,-1.291,-2.11,-0.944,0.313,0.36,0.97,0.973,0.053,-0.912,-0.044,-3.674,2.301,-0.272,3.507,0.11,0.978,3.761,5.732,0.243,-0.018,0.534,0.932
2017-06-30,CTD5,4179450,700268,0.014781005,0.025865214,0.031880833,0.0062230923,0.0037767116,0.0010179763,0.0009875096,0.00038720536,0.3025,-0.104,7.295,0.612,-122.03,0.745,-226.119,0.673,-129.325,0.788,-233.414,0.245,-104.089,0.045,0.028,-3.89,-0.461,-7.209,-1.407,-3.345,-0.488,-6.037,-1.453,-2.692,-3.318,-0.602,0.551,0.58,0.866,0.876,0.042,-0.836,0.204,-4.285,4.038,1.726,6.653,-0.415,0.626,4.977,8.201,0.122,0.049,0.556,0.936
2017-06-30,CTD6,4176009,695829,0.0149130225,0.025192449,0.039335642,0.01083271,0.0073317452,0.001913379,0.001840596,0.0007169206,2.332,-0.219,14.272,0.399,-52.619,0.549,-96.699,0.568,-66.891,0.686,-110.971,0.193,-44.08,0.155,0.105,-2.07,-0.386,-3.804,-1.048,-1.685,-0.49,-2.796,-1.202,-1.11,-1.734,-0.779,0.308,0.356,0.876,0.888,0.054,-0.837,-0.036,-3.04,2.139,-0.195,3.161,0.084,0.885,3.34,4.935,0.244,-0.016,0.558,0.93
2017-06-30,CTD7,4176724,690397,0.018998811,0.031973995,0.052138567,0.014525783,0.010439683,0.002700005,0.0025687444,0.0009876685,3.7515,-0.24,12.096,0.375,-37.568,0.508,-64.513,0.564,-49.663,0.666,-76.609,0.164,-26.945,0.176,0.126,-1.959,-0.392,-3.364,-0.937,-1.588,-0.518,-2.449,-1.113,-0.862,-1.405,-0.808,0.279,0.323,0.887,0.897,0.049,-0.778,-0.105,-2.793,2.001,-0.527,2.784,0.239,0.912,3.263,4.54,0.254,-0.048,0.553,0.939
2017-06-30,CTD8,4174178,693048,0.020356283,0.031855077,0.04660244,0.012564631,0.008705953,0.0023109436,0.00221063,0.00085872307,2.0175,-0.188,9.934,0.434,-48.196,0.571,-83.472,0.575,-58.13,0.685,-93.406,0.181,-35.275,0.125,0.086,-2.246,-0.42,-3.89,-1.049,-1.852,-0.506,-2.975,-1.174,-1.124,-1.644,-0.693,0.349,0.391,0.839,0.853,0.049,-0.76,-0.009,-2.818,2.348,-0.05,3.389,0.02,0.77,3.436,4.959,0.208,-0.004,0.566,0.935
2017-06-30,CTD9,4171106,693183,0.017233294,0.03107342,0.0639745,0.029689416,0.02518327,0.0065300446,0.0062630735,0.0023227565,,-0.346,16.551,0.023,-1.5,0.105,-7.527,0.366,-18.051,0.435,-24.078,0.082,-6.027,0.491,0.417,-0.096,-0.038,-0.482,-0.223,-0.561,-0.455,-0.748,-0.715,-0.187,-0.386,-0.6,0.016,0.063,0.609,0.638,0.047,-0.693,-0.363,-1.494,0.653,-0.921,0.77,0.88,1.211,1.344,1.585,0.562,-0.346,0.639,0.952
2017-06-30,CTD10,4170388,695646,0.014572891,0.024488319,0.034978904,0.009431426,0.006147106,0.001660117,0.0015854704,0.0006314635,1.686,-0.176,12.247,0.444,-65.193,0.599,-121.842,0.575,-77.44,0.701,-134.09,0.211,-56.65,0.116,0.075,-2.28,-0.401,-4.262,-1.149,-1.896,-0.476,-3.284,-1.265,-1.387,-1.982,-0.673,0.366,0.413,0.834,0.85,0.055,-0.834,0.048,-3.094,2.421,0.275,3.714,-0.106,0.777,3.458,5.305,0.209,0.019,0.57,0.926
2017-06-30,CTD11,4169609,700351,0.010997998,0.019618483,0.032298323,0.010894887,0.008138927,0.0022681877,0.0021952824,0.0008619028,1.5045000000000002,-0.244,20.011,0.286,-40.814,0.414,-71.894,0.496,-60.825,0.597,-91.905,0.145,-31.08,0.218,0.163,-1.318,-0.332,-2.322,-0.783,-1.193,-0.495,-1.803,-1.001,-0.61,-1.004,-0.666,0.216,0.266,0.771,0.792,0.053,-0.731,-0.14,-2.168,1.549,-0.554,2.073,0.308,0.899,2.55,3.413,0.303,-0.078,0.588,0.936
2017-06-30,CTD12,4173438,695414,0.02002616,0.030500596,0.045108236,0.0133518865,0.0095316395,0.0025183505,0.0024032947,0.000929498,2.427,-0.193,10.617,0.391,-42.11,0.524,-72.128,0.543,-52.727,0.651,-82.745,0.167,-30.018,0.142,0.101,-1.899,-0.401,-3.254,-0.963,-1.608,-0.503,-2.524,-1.105,-0.916,-1.354,-0.638,0.314,0.359,0.793,0.811,0.051,-0.725,-0.038,-2.448,2.073,-0.178,2.904,0.078,0.765,3.066,4.295,0.226,-0.017,0.58,0.935
2018-02-20,CTD1,4187246,695025,0.0008068877,0.0018027402,0.0049180174,0.0031368765,0.0028688302,0.0010896819,0.0010927924,0.0005414513,1.794,-0.464,351.377,-0.27,235.923,-0.228,206.137,0.221,-115.454,0.263,-145.24,0.045,-29.786,1.102,1.008,1.16,0.677,1.014,0.647,-0.208,-0.331,-0.262,-0.456,-0.054,-0.146,-0.519,-0.171,-0.132,0.381,0.415,0.04,-0.727,-0.548,-1.14,-0.009,-0.939,-0.009,1.635,1.814,-0.024,-0.026,1.157,-0.954,0.735,0.967
2018-02-20,CTD2,4181518,693105,0.0017956408,0.005514485,0.01298311,0.0035773185,0.0022021593,0.00056913454,0.0005514958,0.00021800998,2.401,-0.404,104.317,0.213,-98.198,0.429,-272.759,0.568,-202.516,0.71,-377.077,0.238,-174.561,0.373,0.23,-1.275,-0.216,-3.541,-0.976,-1.117,-0.446,-2.079,-1.349,-0.963,-2.266,-1.292,0.128,0.2,1.219,1.186,0.074,-1.2,-0.191,-4.354,1.372,-1.125,2.229,0.73,1.739,3.23,5.247,0.479,-0.124,0.492,0.917
