Date,Buoy,Latitude,Longitude,Band_1,Band_2,Band_3,Band_4,Band_5,Band_6,Band_7,Band_8,Band_9,Band_10,Band_11,Band_12,Band_13,Band_14,Band_15,Band_16,Band_17,Band_18,Band_19,Band_20,Band_21,Band_22,Band_23,Band_24,Band_25,Band_26,Band_27,Band_28,Band_29,Band_30,Band_31,Band_32,Band_33
2016-09-08,CTD1,4187246,695025,0.1222,0.0914,0.074,0.0501,0.0442,0.0353,0.0343,0.0281,0.0293,0.0086,0.0007,0.017,0.0124,0.003181232,0.010131392,0.034762554,0.020108024,0.017737297,0.004910323,0.0047717467,0.0017849209,0.0031559775,0.010559577,0.035929263,0.019909084,0.017219648,0.0053871735,0.196403,0.39800176,8.693042,7.2556577,2.1904867,-0.0
2016-09-08,CTD2,4181518,693105,0.1193,0.0897,0.069,0.0441,0.0371,0.0301,0.0287,0.0241,0.0246,0.0079,0.0007,0.0125,0.0086,0.004886458,0.0110733835,0.024496019,0.010899341,0.009379546,0.002710612,0.002655605,0.0010318822,0.0048465636,0.011086315,0.024854759,0.011006134,0.0091352705,0.002779965,0.30567616,0.34367058,2.3668509,4.8798957,1.8614719,-0.0
2016-09-08,CTD3,4181698,695238,0.1182,0.0868,0.0658,0.0404,0.0343,0.0284,0.0249,0.0226,0.0221,0.0072,0.0005,0.0097,0.007,0.0006692186,0.0019136698,0.00643525,0.003139336,0.0019657393,0.0005101925,0.0004884427,0.00019770909,0.00072511076,0.0019630268,0.006344336,0.0030301842,0.0020047592,0.0004935273,5.814471e-05,0.17015705,4.2207427,0.7678283,0.3353455,-0.0
2016-09-08,CTD4,4180266,698264,0.1196,0.0907,0.0686,0.0456,0.0378,0.0302,0.0305,0.0254,0.0252,0.0075,0.0005,0.0146,0.011,0.014109802,0.021108048,0.033775456,0.017183837,0.016654443,0.005272768,0.00515845,0.0020267975,0.01383275,0.020852132,0.034064226,0.017235637,0.015786631,0.005253517,0.6027563,0.61111224,0.85782474,8.475692,4.313075,-0.0
2016-09-08,CTD5,4179450,700268,0.1238,0.0954,0.0724,0.0413,0.0353,0.0324,0.0309,0.0269,0.0265,0.0081,0.0006,0.0165,0.012,0.0043287305,0.010235538,0.016724935,0.0033379095,0.0020369973,0.0005302483,0.00051472755,0.00020366881,0.004297314,0.010447951,0.016735673,0.0032829794,0.0021349732,0.00052086415,0.0035721518,0.052511916,0.61958915,0.85386467,0.459278,-0.0
2016-09-08,CTD6,4176009,695829,0.1162,0.086,0.0642,0.04,0.0333,0.0272,0.025,0.0216,0.0208,0.0073,0.0007,0.0094,0.0072,0.0027033964,0.00832467,0.024599077,0.0090183765,0.006421532,0.001651989,0.0015925759,0.0006170214,0.0026824595,0.0086830435,0.024960322,0.008931153,0.006451502,0.0016969646,0.0027906308,0.1966394,3.578704,2.954937,0.83412796,-0.0
2016-09-08,CTD7,4176724,690397,0.1202,0.0904,0.0701,0.0448,0.0376,0.0313,0.0301,0.0248,0.0249,0.0072,0.0005,0.0122,0.0083,0.005979565,0.011571803,0.022691267,0.01111521,0.009825755,0.0029214656,0.0028719385,0.0011262529,0.00594945,0.0114864,0.022937927,0.01121128,0.009540207,0.002970071,0.38662773,0.42037448,1.7533531,5.099292,2.2451134,-0.0
2016-09-08,CTD8,4174178,693048,0.1193,0.0887,0.07,0.045,0.0392,0.0309,0.0296,0.024,0.0244,0.0078,0.0006,0.0123,0.0088,0.0045032175,0.011857853,0.031524744,0.015643725,0.01392853,0.0040148417,0.00391978,0.0014938029,0.0044473396,0.012026715,0.032205697,0.015757779,0.0135363415,0.004221105,0.32475334,0.41316316,4.45518,7.3026824,2.317466,-0.0
2016-09-08,CTD9,4171106,693183,0.1213,0.0943,0.0793,0.0544,0.0464,0.0354,0.035,0.03,0.0299,0.0083,0.0005,0.0177,0.0121,0.0074830623,0.015789302,0.03523769,0.021346202,0.020323368,0.006347452,0.0062277378,0.0024009498,0.007388066,0.015718475,0.03596908,0.021565663,0.019884063,0.006600138,0.5097211,0.6404434,3.3828208,10.975675,4.543308,-0.0
2016-09-08,CTD10,4170388,695646,0.1201,0.0906,0.0748,0.0475,0.0424,0.0324,0.0312,0.0265,0.0261,0.008,0.0005,0.0132,0.0096,0.0050486913,0.012893108,0.03633919,0.018829856,0.018750735,0.005240408,0.0051337667,0.0019209952,0.004990247,0.012956128,0.0371475,0.01925595,0.017468903,0.005661503,0.5538571,0.31063604,4.6439004,9.147843,3.0696251,-0.0
2016-09-08,CTD11,4169609,700351,0.1194,0.09,0.0715,0.0457,0.0402,0.0326,0.0312,0.0259,0.0276,0.0085,0.0006,0.0156,0.0116,0.0032024544,0.009385182,0.027798692,0.012952649,0.0109941745,0.0029937648,0.0029105814,0.001102183,0.0031736705,0.009650285,0.028480474,0.0130444,0.0106596295,0.003171777,0.1734304,0.28667012,5.341327,5.14611,1.1090934,-0.0
2016-09-08,CTD12,4173438,695414,0.1188,0.0895,0.069,0.0434,0.0373,0.0304,0.0291,0.0241,0.0245,0.0078,0.0006,0.0125,0.0101,0.006433067,0.012368953,0.02384603,0.011015766,0.010314101,0.0030994127,0.0030536058,0.0011940356,0.0063931323,0.01222111,0.024089132,0.01116582,0.009815838,0.0031672528,0.4520019,0.39596224,1.6746511,5.3340607,2.3249722,-0.0
2017-06-30,CTD1,4187246,695025,0.1269,0.105,0.0837,0.0479,0.0389,0.0319,0.0305,0.0285,0.0252,0.0102,0.0011,0.0168,0.0123,0.017563008,0.029990256,0.04841963,0.01454331,0.010372231,0.0027547977,0.0026398397,0.0010253708,0.017399043,0.029981714,0.048473865,0.014502885,0.0104265865,0.0026533515,0.22882253,0.12106037,0.5341916,4.8175397,1.6962646,-0.0
2017-06-30,CTD2,4181518,693105,0.1399,0.1215,0.1009,0.0726,0.063,0.0601,0.0574,0.0557,0.0536,0.0197,0.0011,0.0438,0.0357,0.004140075,0.010238707,0.01584468,0.0032318502,0.0019043643,0.0004974455,0.00048420997,0.00019092372,0.004114847,0.010527579,0.015873604,0.003174487,0.0020107694,0.0004841058,3.1042066e-05,0.07312743,0.6894685,0.7276314,0.3946301,-0.0
2017-06-30,CTD3,4181698,695238,0.1405,0.1189,0.0961,0.0712,0.0671,0.0623,0.0638,0.0637,0.0604,0.021,0.001,0.0492,0.0401,0.027345017,0.03508341,0.04538994,0.0148561755,0.011022604,0.0029545105,0.0027850778,0.0010752128,0.02684399,0.035119537,0.045748446,0.014751363,0.010721985,0.0028013755,0.2997426,0.2006389,0.18986855,5.7355776,1.3401887,-0.0
2017-06-30,CTD4,4180266,698264,0.1411,0.1198,0.1006,0.0718,0.0664,0.0602,0.0595,0.0645,0.0547,0.02,0.001,0.0457,0.0368,0.016332252,0.026202045,0.04214056,0.014357367,0.010685908,0.002870462,0.0027480547,0.0010689951,0.0161457,0.026217168,0.042270653,0.014329078,0.010611325,0.0027830154,0.29237705,0.16859187,0.5287037,5.0806727,1.7029501,-0.0
2017-06-30,CTD5,4179450,700268,0.1329,0.117,0.0921,0.0578,0.0519,0.0481,0.0497,0.0457,0.0427,0.0149,0.0008,0.0344,0.0272,0.031389125,0.04268462,0.054118816,0.012262126,0.0079520885,0.0020416777,0.0019087102,0.0007260509,0.03140835,0.04245689,0.05453198,0.0122523615,0.008060918,0.0019319113,0.21125653,0.055762503,0.16380438,4.1676273,0.77220905,-0.0
2017-06-30,CTD6,4176009,695829,0.148,0.126,0.1066,0.0823,0.0736,0.0675,0.0707,0.0705,0.0685,0.0239,0.0008,0.0536,0.0455,0.026543194,0.036841877,0.052834313,0.016879972,0.012581656,0.0033038529,0.0031176182,0.0011952929,0.026217215,0.03682155,0.053231347,0.016835136,0.012265029,0.0031525856,0.34179753,0.14919008,0.284795,6.1640687,1.5220308,-0.0
2017-06-30,CTD7,4176724,690397,0.1512,0.1377,0.1213,0.0867,0.0766,0.0707,0.0724,0.0715,0.0666,0.0242,0.001,0.0548,0.0451,0.030073417,0.043065924,0.06486806,0.018118074,0.013408884,0.00334106,0.0031516626,0.0011846476,0.029940637,0.04279965,0.065008044,0.018214902,0.012963171,0.0032081567,0.3805063,0.06417577,0.28835824,6.427053,1.3173693,-0.0
2017-06-30,CTD8,4174178,693048,0.1499,0.1304,0.1118,0.0846,0.0778,0.072,0.0717,0.0681,0.0693,0.0245,0.0011,0.057,0.0468,0.0145575525,0.026535034,0.04251626,0.011381512,0.007945119,0.0021183747,0.00204649,0.0008000727,0.014410926,0.026531136,0.042515613,0.011362686,0.008055392,0.0020598338,0.17725752,0.09285846,0.52845556,3.5990837,1.4766294,-0.0
2017-06-30,CTD9,4171106,693183,0.1552,0.1379,0.1287,0.0985,0.0891,0.0758,0.0769,0.0705,0.0711,0.0246,0.001,0.0582,0.0478,0.016806394,0.030760411,0.064853124,0.030674035,0.026645416,0.0071195075,0.006869544,0.0025659828,0.016678605,0.03082318,0.06509313,0.030640695,0.02591289,0.0073611178,0.5068917,0.21482006,1.4995795,11.22249,3.9014502,-0.0
2017-06-30,CTD10,4170388,695646,0.149,0.1264,0.1053,0.0794,0.0774,0.0734,0.073,0.0672,0.0692,0.0245,0.0008,0.0576,0.0473,0.016212951,0.024927143,0.033846017,0.009887233,0.0069915405,0.0019370411,0.0018664284,0.0007384081,0.016053272,0.024885984,0.033939864,0.009821676,0.0070758536,0.0018731481,0.1713117,0.15988046,0.33250308,3.3141744,1.3980134,-0.0
2017-06-30,CTD11,4169609,700351,0.1653,0.1393,0.1207,0.097,0.094,0.0912,0.0933,0.0825,0.0918,0.0325,0.0012,0.0768,0.0657,0.012924529,0.023011493,0.036201537,0.010846005,0.0079346765,0.0021775092,0.0021190604,0.0008381182,0.012759714,0.022973435,0.03623866,0.010800577,0.007956437,0.0021301738,0.18921699,0.13340263,0.5535927,3.520818,1.5554318,-1.1e-44
2017-06-30,CTD12,4173438,695414,0.1496,0.1278,0.1068,0.0835,0.0783,0.071,0.0729,0.0678,0.0689,0.0244,0.0009,0.0576,0.0482,0.023078604,0.03215271,0.048700947,0.01852909,0.015865937,0.004342507,0.004143927,0.0015812648,0.022612026,0.032037597,0.04921606,0.018520748,0.014899169,0.004256546,0.50438833,0.24057038,0.39301166,7.8562636,2.1329668,-0.0
2018-02-20,CTD1,4187246,695025,0.1509,0.1153,0.0972,0.0771,0.0775,0.0775,0.0829,0.0722,0.0836,0.0411,0.0133,0.0853,0.0841,0.00267664,0.008298066,0.023255331,0.015157003,0.014965927,0.006934989,0.007077588,0.0032472205,0.0026652094,0.008427653,0.024184698,0.015807532,0.016771078,0.0067968387,0.3356663,0.835882,9.363259,0.025051078,9.882022,-1.1e-44
2018-02-20,CTD2,4181518,693105,0.1416,0.1109,0.0865,0.0594,0.056,0.0547,0.0551,0.0522,0.0527,0.0259,0.0107,0.0499,0.0438,0.0017482903,0.005551344,0.01495783,0.005941221,0.003733898,0.001020432,0.0009918573,0.0004016522,0.0017567662,0.005791424,0.0152435955,0.005807864,0.003925946,0.0010079751,2.718151e-05,0.26881045,3.354598,1.351657,0.8814464,-1.1e-44
2018-02-20,CTD3,4181698,695238,0.1296,0.1007,0.0768,0.0412,0.0349,0.031,0.029,0.0268,0.0217,0.0088,0.0035,0.0131,0.0086,0.010168454,0.020921485,0.034547146,0.008385218,0.0053019053,0.0013910328,0.0013447928,0.0005258131,0.01007004,0.021124272,0.034487575,0.008417249,0.005618913,0.001356553,0.08283165,0.09559556,0.590082,2.373647,1.1533216,-0.0
2018-02-20,CTD4,4180266,698264,0.1226,0.0902,0.0663,0.0328,0.026,0.0209,0.0189,0.016,0.0153,0.0049,0.0007,0.004,0.002,0.006465845,0.015227099,0.02798244,0.0065509207,0.0042506442,0.0011136723,0.0010853123,0.00042826615,0.0063872845,0.0154852895,0.027906777,0.0065274755,0.004438175,0.0011047735,0.06148745,0.08312986,0.77099425,1.7910625,0.9861899,-0.0
2018-02-20,CTD5,4179450,700268,0.1265,0.0968,0.0721,0.0278,0.0216,0.0181,0.016,0.0124,0.0112,0.005,0.0006,0.0027,0.0016,0.011426293,0.021354776,0.029023038,0.005686445,0.0036195354,0.000972959,0.000955771,0.00037658671,0.011365673,0.021431865,0.02906322,0.0056717675,0.0038150188,0.00096172217,0.085935965,0.054618694,0.32307732,1.3886589,1.0283123,-0.0
2018-02-20,CTD6,4176009,695829,0.1225,0.0904,0.0688,0.032,0.026,0.0201,0.0186,0.0144,0.0136,0.0049,0.0007,0.0035,0.0025,0.010150639,0.018901788,0.031929176,0.009358118,0.007242031,0.0020078288,0.001964627,0.0007850138,0.01002998,0.018851347,0.03194901,0.009337408,0.007143034,0.0020037985,0.22427133,0.13628526,0.62337875,2.6766047,2.0274901,-0.0
2018-02-20,CTD7,4176724,690397,0.129,0.0952,0.0745,0.0395,0.0348,0.0316,0.0286,0.0226,0.0244,0.01,0.0027,0.0166,0.0117,0.0014197999,0.004962,0.014672068,0.004102786,0.0025009622,0.00063018093,0.0006038109,0.00023957198,0.0014489219,0.005259828,0.014813775,0.003942893,0.0025434508,0.0006195004,2.666089e-05,0.23634274,3.1687133,1.0328753,0.32265228,-1.446e-42
2018-02-20,CTD8,4174178,693048,0.1271,0.0937,0.0727,0.0365,0.031,0.0259,0.0224,0.0208,0.0191,0.0091,0.0029,0.0095,0.0069,0.0016450518,0.0057334113,0.015495372,0.0039319773,0.0023418956,0.00058476365,0.0005615959,0.00022092361,0.0016637297,0.006091272,0.015659343,0.0037846551,0.002393137,0.00057385495,2.6614343e-05,0.21952245,2.777105,1.0165812,0.28562605,-1.435e-42
2018-02-20,CTD9,4171106,693183,0.1278,0.1017,0.0878,0.0489,0.0387,0.0245,0.0228,0.0178,0.0174,0.0061,0.0006,0.0055,0.0032,0.01571294,0.028100021,0.056292985,0.02585239,0.020735757,0.0054091616,0.0052081444,0.0019590366,0.015576571,0.02831568,0.05657485,0.025711806,0.020398796,0.0054463833,0.41357228,0.23452505,1.1526644,8.064409,3.8577514,-0.0
2018-02-20,CTD10,4170388,695646,0.1222,0.0894,0.0698,0.0329,0.0274,0.0198,0.0196,0.0151,0.0146,0.0051,0.0005,0.0033,0.0031,0.01738699,0.026541108,0.040991865,0.014874069,0.013522826,0.003924776,0.0038176435,0.0014836871,0.016988618,0.026273523,0.041442506,0.014842082,0.0125596505,0.00389607,0.44356972,0.28183076,0.5282076,6.175139,3.154697,-0.0
2018-02-20,CTD11,4169609,700351,0.1196,0.0884,0.0695,0.0332,0.0267,0.0205,0.0177,0.0155,0.0129,0.0059,0.0009,0.0039,0.0026,0.003567714,0.009959747,0.025419554,0.009304458,0.0066579264,0.0017967115,0.0017538571,0.0006997452,0.003531265,0.010255836,0.025709372,0.009226203,0.0067813555,0.0018180902,0.01923714,0.2067597,2.3698606,2.7547646,1.5843275,-0.0
2018-02-20,CTD12,4173438,695414,0.1241,0.0903,0.0673,0.0315,0.0278,0.0222,0.019,0.0143,0.0151,0.0057,0.0006,0.0045,0.0033,0.0026187343,0.007426789,0.016302237,0.0042030006,0.0027228731,0.00071846193,0.00069612137,0.00027929933,0.0026109728,0.0076442864,0.016389113,0.0041277832,0.002795275,0.0007117695,4.576373e-05,0.12942801,1.4025148,1.085472,0.63385564,-0.0
2018-03-07,CTD1,4187246,695025,0.128,0.0993,0.0828,0.0409,0.0314,0.0229,0.0208,0.0158,0.0154,0.0077,0.0008,0.0055,0.0028,0.01240823,0.023333337,0.041476667,0.0142824575,0.010412653,0.0028286208,0.002737177,0.0010729476,0.012232937,0.023432424,0.04153033,0.014223846,0.010522063,0.0027597,0.20015796,0.19858368,0.8081921,4.301441,2.3982136,-0.0
2018-03-07,CTD2,4181518,693105,0.1211,0.09,0.0703,0.0339,0.0289,0.0225,0.0212,0.0177,0.0146,0.0082,0.0008,0.0053,0.0033,0.014815877,0.025121555,0.041581035,0.013690576,0.010904596,0.0030216903,0.0029438965,0.0011508388,0.014579647,0.025044033,0.0417835,0.013649069,0.010600995,0.0029711442,0.29837325,0.18376441,0.5898051,4.3684635,2.6910477,-0.0
2018-03-07,CTD3,4181698,695238,0.1214,0.0904,0.0729,0.0347,0.0294,0.021,0.0201,0.017,0.0144,0.0069,0.0006,0.0044,0.0033,0.017636294,0.027838226,0.04390819,0.014891982,0.01266763,0.0035885072,0.0034831031,0.001353777,0.017285366,0.027659805,0.04430189,0.014824771,0.012001996,0.0035359391,0.3692327,0.21942335,0.51814,5.4881983,2.92449,-0.0
2018-03-07,CTD4,4180266,698264,0.1229,0.0947,0.0794,0.0377,0.0297,0.0224,0.021,0.016,0.0154,0.0075,0.0008,0.0049,0.0037,0.012776515,0.023686288,0.04189517,0.014438445,0.010575815,0.002866251,0.002772683,0.0010854641,0.012599302,0.023773046,0.04197128,0.014388255,0.0106596295,0.0027962655,0.21268323,0.19541301,0.7833276,4.3711643,2.4090755,-0.0
2018-03-07,CTD5,4179450,700268,0.1185,0.0903,0.0669,0.0264,0.0209,0.0171,0.0159,0.0125,0.0118,0.0058,0.0008,0.0034,0.0024,0.016614085,0.02793782,0.03865706,0.007938595,0.0053916303,0.0013937547,0.0013568252,0.0005247141,0.016580155,0.027827833,0.03887558,0.007984098,0.0054468955,0.0013827295,0.17272146,0.041322254,0.28889012,2.3843784,1.1663836,-0.0
2018-03-07,CTD6,4176009,695829,0.117,0.0847,0.064,0.0307,0.0249,0.019,0.0174,0.0144,0.0127,0.0059,0.0006,0.0031,0.0018,0.008791228,0.016657496,0.02914043,0.009209384,0.0072165946,0.002013761,0.0019744325,0.0007887515,0.008701404,0.016617794,0.029191105,0.009205288,0.0071230726,0.002016134,0.23486635,0.16163829,0.7351133,2.747731,1.9817973,-0.0
2018-03-07,CTD7,4176724,690397,0.1198,0.0887,0.0698,0.0327,0.0253,0.021,0.0186,0.015,0.0125,0.007,0.0008,0.0034,0.0009,0.0070124003,0.016579721,0.029348992,0.0062384377,0.003968782,0.0010228938,0.0009957388,0.00038940707,0.006924797,0.016877662,0.029250931,0.0062279063,0.0041523552,0.0010153427,0.055832464,0.06253321,0.693678,1.7528688,0.8286004,-0.0
2018-03-07,CTD8,4174178,693048,0.12,0.0906,0.0716,0.0329,0.0265,0.0215,0.0191,0.0153,0.0136,0.007,0.0007,0.0041,0.0026,0.008547335,0.01854495,0.031381212,0.0072067315,0.0046361396,0.0012159084,0.0011833801,0.0004644086,0.008457326,0.018760504,0.03130493,0.0072138817,0.0048671397,0.0011992893,0.08086077,0.078451015,0.62075275,1.9995098,1.0482944,-0.0
2018-03-07,CTD9,4171106,693183,0.1194,0.0936,0.0757,0.039,0.0299,0.0194,0.0176,0.0132,0.0122,0.0065,0.0009,0.0027,0.0025,0.016086018,0.02852635,0.05220524,0.02022579,0.015422965,0.004093026,0.003935129,0.001504771,0.015897324,0.028656648,0.052378267,0.020168869,0.015340781,0.0040130974,0.31070197,0.21318099,0.8634276,6.430881,2.9507332,-0.0
2018-03-07,CTD10,4170388,695646,0.1165,0.0845,0.064,0.03,0.0239,0.0191,0.0168,0.0127,0.0114,0.006,0.0007,0.0025,0.0015,0.0056431284,0.012737876,0.023730034,0.007013668,0.0048839045,0.0013416561,0.0013158416,0.0005288475,0.0055976957,0.012872721,0.023760693,0.0069916304,0.00503363,0.0013356245,0.08091809,0.15690686,0.9456338,1.9117413,1.3517426,-0.0
2018-03-07,CTD11,4169609,700351,0.1168,0.0873,0.0681,0.0308,0.0247,0.0184,0.0158,0.0134,0.0117,0.0057,0.0006,0.0029,0.0018,0.0055563105,0.013402661,0.027485829,0.008471911,0.0059917434,0.0016326467,0.001598125,0.0006388139,0.005491574,0.01361547,0.027553815,0.008431101,0.006133442,0.001628586,0.0803467,0.15534182,1.2332206,2.4355907,1.4688687,-0.0
2018-03-07,CTD12,4173438,695414,0.1188,0.0847,0.0643,0.0294,0.0249,0.0183,0.0172,0.0135,0.0119,0.008,0.0009,0.0036,0.0028,0.01417374,0.021354776,0.031582292,0.011460712,0.010181114,0.0029733481,0.0029077018,0.0011472083,0.013920077,0.021124272,0.031766593,0.011380396,0.00953387,0.0029593564,0.38465935,0.29784894,0.47217447,4.7559094,2.5300412,-0.0
2018-05-16,CTD1,4187246,695025,0.1288,0.106,0.0853,0.0512,0.0459,0.0391,0.039,0.035,0.0322,0.0104,0.0008,0.0235,0.0181,0.023607032,0.03389321,0.05270011,0.018985584,0.015480957,0.0042069172,0.004016646,0.0015389442,0.023220092,0.033858463,0.0531802,0.018932022,0.014828627,0.004091207,0.4383018,0.2003695,0.40305427,7.1161876,2.3982136,-0.0
2018-05-16,CTD2,4181518,693105,0.1333,0.1078,0.0878,0.0574,0.0504,0.0474,0.0483,0.0449,0.0431,0.014,0.001,0.0331,0.0268,0.019129591,0.029835962,0.042339884,0.011229257,0.0080785435,0.0021372056,0.0020587526,0.0007996505,0.018966503,0.02969942,0.04258258,0.011221791,0.007989309,0.00207802,0.2312845,0.0962557,0.32548267,3.8220913,1.4147093,-0.0
2018-05-16,CTD3,4181698,695238,0.1313,0.1057,0.086,0.0576,0.0514,0.0488,0.0483,0.0447,0.0437,0.014,0.001,0.034,0.0271,0.006496705,0.0152744735,0.0262278,0.005274503,0.003194676,0.0008235239,0.00080014125,0.00031358885,0.0064244024,0.01559935,0.026184592,0.0052481955,0.0034029623,0.00081096933,0.01941642,0.04220007,0.62572217,1.4135622,0.6321734,-0.0
2018-05-16,CTD4,4180266,698264,0.128,0.105,0.0837,0.0551,0.0482,0.044,0.044,0.0414,0.04,0.0128,0.0009,0.0304,0.0243,0.017190741,0.028394368,0.04193017,0.01094398,0.0077966936,0.0020578036,0.0019872526,0.0007726831,0.017051049,0.028289543,0.042081997,0.010951017,0.007769591,0.0020053368,0.21570837,0.086826205,0.3844807,3.6262863,1.3952494,-0.0
2018-05-16,CTD5,4179450,700268,0.1323,0.111,0.092,0.0549,0.0486,0.0469,0.0449,0.0419,0.0424,0.0135,0.0008,0.033,0.0265,0.0055706967,0.013099754,0.017263586,0.0028074684,0.0015983316,0.00041003447,0.0003963677,0.00015539069,0.0055085625,0.013469721,0.017309282,0.002756653,0.0016952218,0.00039738408,7.4594216e-05,0.01942239,0.42097226,0.6196839,0.30010873,-0.0
2018-05-16,CTD6,4176009,695829,0.1353,0.1152,0.0913,0.064,0.0542,0.0507,0.0517,0.0517,0.0486,0.0149,0.001,0.0368,0.0302,0.02090633,0.031263173,0.039593555,0.009396632,0.006163404,0.001660932,0.0015886244,0.00061962183,0.020849636,0.031200191,0.03988272,0.009364625,0.0063491915,0.0015950263,0.14309354,0.08945958,0.23037003,2.9984784,1.1224071,-0.0
