Date,Buoy,Latitude,Longitude,Band_1,Band_2,Band_3,Band_4,Band_5,Band_6,Band_7,Band_8
2019-09-19,CTD1,4187246,695025,9611.0,8645.0,7144.0,4697.0,,,,
2019-09-19,CTD2,4181518,693105,4887.0,3837.0,2200.0,1047.0,,,,
2019-09-19,CTD3,4181698,695238,4804.0,3690.0,2105.0,988.0,,,,
2019-09-19,CTD4,4180266,698264,5083.0,3839.0,2279.0,1035.0,,,,
2019-09-19,CTD5,4179450,700268,9166.0,7599.0,6158.0,4072.0,,,,
2019-09-19,CTD6,4176009,695829,4763.0,3552.0,2025.0,907.0,,,,
2019-09-19,CTD7,4176724,690397,4744.0,3687.0,2152.0,1131.0,,,,
2019-09-19,CTD8,4174178,693048,4673.0,3495.0,2035.0,978.0,,,,
2019-09-19,CTD9,4171106,693183,4781.0,3751.0,2207.0,1061.0,,,,
2019-09-19,CTD10,4170388,695646,4730.0,3597.0,2050.0,965.0,,,,
2019-09-19,CTD11,4169609,700351,4773.0,3400.0,1960.0,915.0,,,,
2019-09-19,CTD12,4173438,695414,4716.0,3546.0,2041.0,1001.0,,,,
2019-10-30,CTD1,4187246,695025,3450.0,3129.0,2164.0,810.0,,,,
2019-10-30,CTD2,4181518,693105,3280.0,2897.0,2034.0,784.0,,,,
2019-10-30,CTD3,4181698,695238,3217.0,2840.0,1912.0,713.0,,,,
2019-10-30,CTD4,4180266,698264,3268.0,2857.0,1902.0,695.0,,,,
2019-10-30,CTD5,4179450,700268,3291.0,2837.0,1713.0,658.0,,,,
2019-10-30,CTD6,4176009,695829,3181.0,2772.0,1889.0,678.0,,,,
2019-10-30,CTD7,4176724,690397,3572.0,3225.0,2399.0,1022.0,,,,
2019-10-30,CTD8,4174178,693048,3212.0,2841.0,1962.0,739.0,,,,
2019-10-30,CTD9,4171106,693183,3249.0,2944.0,2120.0,756.0,,,,
2019-10-30,CTD10,4170388,695646,3122.0,2710.0,1828.0,676.0,,,,
2019-10-30,CTD11,4169609,700351,3237.0,2839.0,1892.0,639.0,,,,
2019-10-30,CTD12,4173438,695414,3150.0,2749.0,1880.0,667.0,,,,
2021-09-30,CTD1,4187246,695025,6558.0,5414.0,4350.0,3767.0,2814.0,2152.0,1703.0,875.0
2021-09-30,CTD2,4181518,693105,6311.0,5157.0,4063.0,3483.0,2559.0,1945.0,1530.0,783.0
2021-09-30,CTD3,4181698,695238,6235.0,4990.0,3886.0,3318.0,2434.0,1849.0,1418.0,670.0
2021-09-30,CTD4,4180266,698264,6077.0,4808.0,3701.0,3149.0,2397.0,1766.0,1404.0,663.0
2021-09-30,CTD5,4179450,700268,6230.0,4968.0,3814.0,3126.0,2207.0,1618.0,1298.0,645.0
2021-09-30,CTD6,4176009,695829,6080.0,4791.0,3704.0,3135.0,2368.0,1777.0,1370.0,640.0
2021-09-30,CTD7,4176724,690397,6598.0,5670.0,4798.0,4445.0,3343.0,2458.0,1858.0,813.0
2021-09-30,CTD8,4174178,693048,6234.0,5090.0,4068.0,3618.0,2720.0,1998.0,1551.0,711.0
2021-09-30,CTD9,4171106,693183,6534.0,5656.0,4883.0,4699.0,3934.0,3035.0,2331.0,855.0
2021-09-30,CTD10,4170388,695646,6115.0,4843.0,3757.0,3191.0,2478.0,1845.0,1518.0,741.0
2021-09-30,CTD11,4169609,700351,6084.0,4781.0,3721.0,3115.0,2356.0,1812.0,1444.0,706.0
2021-09-30,CTD12,4173438,695414,6149.0,4860.0,3774.0,3207.0,2436.0,1825.0,1432.0,678.0
