Date,Buoy,Chl,Turbidez
2017-06-21,CTD8,1.211,1.692
2017-06-21,CTD9,0.097,0.447
2017-06-30,CTD1,0.967,2.856
2017-06-30,CTD10,0.831,1.707
2017-06-30,CTD11,1.153,1.488
2017-06-30,CTD12,1.451,2.309
2017-06-30,CTD2,1.25,2.242
2017-06-30,CTD3,1.591,1.324
2017-06-30,CTD4,1.634,1.868
2017-06-30,CTD5,0.18,0.31
2017-06-30,CTD6,1.83,2.5
2017-06-30,CTD7,2.744,5.57
2017-06-30,CTD8,1.293,2.673
2017-06-30,CTD9,0.115,5.455
2017-07-05,CTD1,1.684,33.322
2017-07-05,CTD10,1.201,1.144
2017-07-05,CTD11,1.12,1.42
2017-07-05,CTD12,1.674,1.39
2017-07-05,CTD2,2.876,2.134
2017-07-05,CTD3,1.859,1.277
2017-07-05,CTD4,1.209,1.051
2017-07-05,CTD5,0.39,2.12
2017-07-05,CTD6,1.541,1.248
2017-07-05,CTD7,2.55,5.445
2017-07-05,CTD8,1.287,1.7
2017-07-05,CTD9,0.115,7.44
2017-07-12,CTD1,0.813,1.479
2017-07-12,CTD10,2.479,1.185
2017-07-12,CTD11,6.255,2.222
2017-07-12,CTD12,2.189,1.262
2017-07-12,CTD2,1.921,1.818
2017-07-12,CTD3,2.043,1.189
2017-07-12,CTD4,2.132,1.267
2017-07-12,CTD5,0.52,0.55
2017-07-12,CTD6,2.429,1.36
2017-07-12,CTD7,2.719,1.934
2017-07-12,CTD8,2.316,1.623
2017-07-12,CTD9,0.313,9.661
2017-07-19,CTD1,1.509,65.388
2017-07-19,CTD10,1.518,0.841
2017-07-19,CTD11,2.765,1.568
2017-07-19,CTD12,1.32,0.891
2017-07-19,CTD2,2.495,1.565
2017-07-19,CTD3,1.969,1.27
2017-07-19,CTD4,1.19,1.025
2017-07-19,CTD5,0.2,0.81
2017-07-19,CTD6,1.92,0.811
2017-07-19,CTD7,2.561,3.672
2017-07-19,CTD8,1.62,1.526
2017-07-19,CTD9,0.209,6.088
2017-07-26,CTD1,0.614,21.299
2017-07-26,CTD10,1.13,0.66
2017-07-26,CTD11,2.712,1.869
2017-07-26,CTD12,2.168,1.113
2017-07-26,CTD2,2.13,1.589
2017-07-26,CTD3,1.416,0.886
2017-07-26,CTD4,1.569,0.982
2017-07-26,CTD5,0.34,0.15
2017-07-26,CTD6,2.65,1.202
2017-07-26,CTD7,4.969,4.492
2017-07-26,CTD8,1.676,0.974
2017-07-26,CTD9,0.136,1.298
2017-08-08,CTD5,0.69,0.33
2017-08-16,CTD5,0.16,1.41
2017-08-23,CTD5,0.45,0.51
2017-08-30,CTD1,4.64,167.105
2017-08-30,CTD10,6.181,6.298
2017-08-30,CTD11,5.967,6.713
2017-08-30,CTD12,5.94,6.46
2017-08-30,CTD2,5.26,6.991
2017-08-30,CTD3,5.358,9.449
2017-08-30,CTD4,5.113,5.555
2017-08-30,CTD5,1.16,1.31
2017-08-30,CTD6,5.556,6.494
2017-08-30,CTD7,5.337,7.285
2017-08-30,CTD8,5.515,6.101
2017-08-30,CTD9,0.19,9.762
2017-09-06,CTD1,4.542,5.94
2017-09-06,CTD10,7.171,6.058
2017-09-06,CTD11,6.828,5.641
2017-09-06,CTD12,7.039,7.165
2017-09-06,CTD2,6.971,8.635
2017-09-06,CTD3,6.567,5.815
2017-09-06,CTD4,6.445,4.418
2017-09-06,CTD5,0.44,0.36
2017-09-06,CTD6,6.85,5.373
2017-09-06,CTD7,6.685,8.23
2017-09-06,CTD8,6.55,10.658
2017-09-06,CTD9,0.199,9.857
2017-09-11,CTD1,2.279,4.512
2017-09-11,CTD10,5.904,6.51
2017-09-11,CTD11,5.676,5.276
2017-09-11,CTD12,6.27,5.663
2017-09-11,CTD2,5.171,3.38
2017-09-11,CTD3,4.84,2.657
2017-09-11,CTD4,3.932,2.404
2017-09-11,CTD5,0.47,1.1
2017-09-11,CTD6,6.166,4.303
2017-09-11,CTD7,4.89,3.432
2017-09-11,CTD8,5.947,4.943
2017-09-11,CTD9,0.203,0.364
2017-09-20,CTD5,0.28,0.0
2017-09-27,CTD1,5.7,3.962
2017-09-27,CTD10,6.472,5.837
2017-09-27,CTD11,6.433,6.023
2017-09-27,CTD12,5.902,4.614
2017-09-27,CTD2,6.212,5.482
2017-09-27,CTD3,5.852,3.806
2017-09-27,CTD4,3.091,2.777
2017-09-27,CTD5,0.63,1.87
2017-09-27,CTD6,5.125,4.055
2017-09-27,CTD7,4.555,22.919
2017-09-27,CTD8,5.512,7.356
