Date,Buoy,Chl,Turbidez
2016-11-03,CTD11,26.523,5.077
2016-11-03,CTD12,28.107,4.463
2016-11-03,CTD2,19.69,6.197
2016-11-03,CTD3,22.163,6.22
2016-11-03,CTD4,21.94,4.17
2016-11-03,CTD5,5.03,0.6
2016-11-03,CTD6,27.48,4.72
2016-11-03,CTD7,17.9,10.033
2016-11-03,CTD8,25.753,6.73
2016-11-03,CTD9,8.0,5.97
2016-11-11,CTD1,8.517,3.807
2016-11-11,CTD10,19.577,6.417
2016-11-11,CTD11,22.67,6.92
2016-11-11,CTD12,19.747,7.467
2016-11-11,CTD2,10.04,4.233
2016-11-11,CTD3,16.687,5.313
2016-11-11,CTD4,17.78,4.03
2016-11-11,CTD5,2.015,0.4615
2016-11-11,CTD6,22.84,5.7
2016-11-11,CTD7,15.2,6.32
2016-11-11,CTD8,16.76,7.343
2016-11-11,CTD9,2.53,6.13
2016-11-18,CTD1,10.183,5.013
2016-11-18,CTD10,18.307,6.02
2016-11-18,CTD11,12.177,4.703
2016-11-18,CTD12,21.1,6.82
2016-11-18,CTD2,20.583,5.983
2016-11-18,CTD3,20.033,5.65
2016-11-18,CTD4,23.573,5.35
2016-11-18,CTD5,2.5415,3.46
2016-11-18,CTD6,23.683,5.07
2016-11-18,CTD7,14.48,6.23
2016-11-18,CTD8,21.853,8.697
2016-11-18,CTD9,3.19,7.04
2016-11-22,CTD1,23.263,7.933
2016-11-22,CTD10,24.993,5.883
2016-11-22,CTD11,16.047,5.357
2016-11-22,CTD12,27.433,4.767
2016-11-22,CTD2,21.83,5.307
2016-11-22,CTD3,18.2,5.977
2016-11-22,CTD4,19.063,4.993
2016-11-22,CTD5,1.4235,0.5235000000000001
2016-11-22,CTD6,22.797,4.713
2016-11-22,CTD7,24.283,5.067
2016-11-22,CTD8,28.107,5.963
2016-11-22,CTD9,8.1,5.17
2016-12-02,CTD1,21.803,3.357
2016-12-02,CTD10,19.417,4.277
2016-12-02,CTD11,16.133,4.223
2016-12-02,CTD12,23.68,4.747
2016-12-02,CTD2,15.9,4.363
2016-12-02,CTD3,27.367,3.57
2016-12-02,CTD4,20.42,3.233
2016-12-02,CTD5,2.5065,2.7714999999999996
2016-12-02,CTD6,24.523,3.947
2016-12-02,CTD7,19.53,4.467
2016-12-02,CTD8,22.86,5.98
2016-12-02,CTD9,12.5,22.18
2016-12-13,CTD1,11.663,2.49
2016-12-13,CTD10,16.203,3.597
2016-12-13,CTD11,6.45,2.76
2016-12-13,CTD12,16.163,3.74
2016-12-13,CTD2,26.207,3.54
2016-12-13,CTD3,23.53,3.76
2016-12-13,CTD4,13.187,2.683
2016-12-13,CTD5,2.6334999999999997,0.7235
2016-12-13,CTD6,15.217,3.53
2016-12-13,CTD7,16.63,4.61
2016-12-13,CTD8,14.62,4.397
2016-12-13,CTD9,10.74,2.48
2016-12-21,CTD1,28.887,7.187
2016-12-21,CTD2,25.58,8.463
2016-12-21,CTD3,27.225,7.67
2016-12-21,CTD4,4.51,8.31
2016-12-21,CTD5,0.7115,5.824999999999999
2016-12-21,CTD6,4.62,8.35
2016-12-21,CTD7,20.03,8.29
2016-12-29,CTD1,17.66,3.73
2016-12-29,CTD2,28.65,4.88
2017-01-12,CTD1,34.81,4.047
2017-01-12,CTD10,28.177,5.733
2017-01-12,CTD11,19.21,5.747
2017-01-12,CTD12,40.903,5.34
2017-01-12,CTD2,54.79,4.613
2017-01-12,CTD3,52.72,4.54
2017-01-12,CTD4,30.167,4.223
2017-01-12,CTD5,6.391500000000001,9.765
2017-01-12,CTD6,38.627,5.983
2017-01-12,CTD7,41.44,5.84
2017-01-12,CTD8,43.443,6.453
2017-01-12,CTD9,8.87,10.54
2017-01-26,CTD1,26.38,3.463
2017-01-26,CTD10,16.7,7.773
2017-01-26,CTD11,13.593,8.383
2017-01-26,CTD12,25.313,7.037
2017-01-26,CTD2,46.593,6.393
2017-01-26,CTD3,39.967,4.633
2017-01-26,CTD4,34.623,3.993
2017-01-26,CTD5,8.336500000000001,2.8485
2017-01-26,CTD6,26.367,6.937
2017-01-26,CTD7,35.667,7.47
2017-01-26,CTD8,35.993,7.48
2017-01-26,CTD9,8.68,7.85
2017-02-03,CTD1,15.31,2.21
2017-02-03,CTD10,25.22,4.203
2017-02-03,CTD11,7.787,3.437
2017-02-03,CTD12,12.523,3.497
2017-02-03,CTD2,25.523,3.483
2017-02-03,CTD3,25.983,3.57
2017-02-03,CTD4,21.1,2.9
2017-02-03,CTD5,3.3115,1.1800000000000002
2017-02-03,CTD6,32.737,4.67
2017-02-03,CTD7,30.853,4.987
2017-02-03,CTD8,26.463,4.383
2017-02-03,CTD9,17.343,3.667
2017-02-10,CTD1,33.95,3.483
2017-02-10,CTD10,26.087,6.233
2017-02-10,CTD11,15.503,6.463
2017-02-10,CTD12,27.993,6.223
2017-02-10,CTD2,24.927,4.1
2017-02-10,CTD3,16.323,3.687
2017-02-10,CTD4,6.607,4.493
2017-02-10,CTD5,1.7015,2.1685
2017-02-10,CTD6,15.563,5.487
2017-02-10,CTD7,24.927,4.1
2017-02-10,CTD8,33.873,5.427
2017-02-10,CTD9,3.26,4.99
2017-02-16,CTD1,26.633,2.66
2017-02-16,CTD10,22.85,5.53
2017-02-16,CTD11,10.663,3.767
2017-02-16,CTD12,24.107,4.617
2017-02-16,CTD2,21.867,5.063
2017-02-16,CTD3,23.87,5.727
2017-02-16,CTD4,7.107,2.807
2017-02-16,CTD5,2.8485,5.266500000000001
2017-02-16,CTD6,14.577,4.073
2017-02-16,CTD7,24.473,8.617
2017-02-16,CTD8,22.903,4.707
2017-02-16,CTD9,11.52,45.85
2017-02-24,CTD1,12.7,2.127
2017-02-24,CTD10,24.013,10.82
2017-02-24,CTD11,6.81,1.723
2017-02-24,CTD12,10.833,2.48
2017-02-24,CTD2,21.707,3.557
2017-02-24,CTD3,14.03,2.793
2017-02-24,CTD4,11.373,2.717
2017-02-24,CTD5,1.7385,0.965
2017-02-24,CTD6,18.653,4.763
2017-02-24,CTD7,22.687,4.193
2017-02-24,CTD8,19.323,7.39
2017-02-24,CTD9,9.01,31.11
2017-03-02,CTD1,3.073,3.207
2017-03-02,CTD10,8.127,2.627
2017-03-02,CTD11,5.127,1.98
2017-03-02,CTD12,9.13,2.57
2017-03-02,CTD2,17.413,4.15
2017-03-02,CTD3,14.287,2.227
2017-03-02,CTD4,5.55,1.717
2017-03-02,CTD5,1.0535,0.6214999999999999
2017-03-02,CTD6,8.293,2.123
2017-03-02,CTD7,9.143,4.683
2017-03-02,CTD8,6.357,2.61
2017-03-02,CTD9,2.14,5.67
2017-03-08,CTD9,1.77,3.37
2017-03-22,CTD1,2.61,3.1945
2017-03-22,CTD10,5.503,3.0905
