Date,Buoy,Latitude,Longitude,Band_2,Band_3,Band_4,Band_5
2018-02-20,CTD1,4187246,695025,242.0,425.0,427.0,390.0
2018-02-20,CTD2,4181518,693105,254.0,423.0,409.0,429.0
2018-02-20,CTD3,4181698,695238,135.0,367.0,353.0,343.0
2018-02-20,CTD4,4180266,698264,95.0,286.0,274.0,311.0
2018-02-20,CTD5,4179450,700268,116.0,358.0,210.0,273.0
2018-02-20,CTD6,4176009,695829,65.0,276.0,293.0,329.0
2018-02-20,CTD7,4176724,690397,285.0,496.0,460.0,501.0
2018-02-20,CTD8,4174178,693048,229.0,441.0,387.0,361.0
2018-02-20,CTD9,4171106,693183,343.0,613.0,605.0,368.0
2018-02-20,CTD10,4170388,695646,197.0,422.0,388.0,329.0
2018-02-20,CTD11,4169609,700351,210.0,409.0,376.0,319.0
2018-02-20,CTD12,4173438,695414,101.0,350.0,320.0,293.0
