Date,Buoy,Chl,Turbidez
2017-06-13,CTD2,1.433,1.039
2017-06-13,CTD3,1.661,1.335
2017-06-13,CTD4,1.001,0.761
2017-06-13,CTD5,0.21,0.13
2017-06-13,CTD6,0.788,0.884
2017-06-13,CTD7,2.053,4.191
2017-06-13,CTD8,1.059,3.162
2017-06-13,CTD9,,
2017-06-21,CTD1,1.484,19.978
2017-06-21,CTD10,0.722,0.893
2017-06-21,CTD11,1.186,1.114
2017-06-21,CTD12,0.936,1.045
2017-06-21,CTD2,1.368,1.14
2017-06-21,CTD3,1.276,0.806
2017-06-21,CTD4,1.83,2.934
2017-06-21,CTD5,0.56,0.48
2017-06-21,CTD6,0.762,0.612
2017-06-21,CTD7,1.023,3.36
2017-06-21,CTD8,1.148,1.696
2017-06-21,CTD9,,
2017-06-30,CTD1,0.967,2.856
2017-06-30,CTD10,0.878,1.79
2017-06-30,CTD11,1.07,1.53
2017-06-30,CTD12,1.211,2.286
2017-06-30,CTD2,1.117,2.258
2017-06-30,CTD3,1.343,1.308
2017-06-30,CTD4,1.285,1.8
2017-06-30,CTD5,0.18,0.31
2017-06-30,CTD6,1.467,2.643
2017-06-30,CTD7,2.495,5.49
2017-06-30,CTD8,0.945,2.425
2017-06-30,CTD9,,
2017-07-05,CTD1,1.684,33.322
2017-07-05,CTD10,1.08,1.029
2017-07-05,CTD11,1.163,1.422
2017-07-05,CTD12,1.592,1.409
2017-07-05,CTD2,2.806,2.275
2017-07-05,CTD3,1.792,1.407
2017-07-05,CTD4,1.142,1.14
2017-07-05,CTD5,0.39,2.12
2017-07-05,CTD6,1.508,1.275
2017-07-05,CTD7,2.555,5.481
2017-07-05,CTD8,1.262,1.668
2017-07-05,CTD9,,
2017-07-12,CTD1,0.813,1.479
2017-07-12,CTD10,2.774,1.333
2017-07-12,CTD11,5.601,2.083
2017-07-12,CTD12,2.138,1.323
2017-07-12,CTD2,1.731,1.614
2017-07-12,CTD3,1.862,1.188
2017-07-12,CTD4,1.567,1.293
2017-07-12,CTD5,0.52,0.55
2017-07-12,CTD6,2.248,1.429
2017-07-12,CTD7,2.402,1.857
2017-07-12,CTD8,2.192,1.345
2017-07-12,CTD9,,
2017-07-19,CTD1,1.509,65.388
2017-07-19,CTD10,1.512,0.87
2017-07-19,CTD11,2.878,1.519
2017-07-19,CTD12,1.09,0.843
2017-07-19,CTD2,2.491,1.763
2017-07-19,CTD3,1.834,1.519
2017-07-19,CTD4,1.076,1.043
2017-07-19,CTD5,0.2,0.81
2017-07-19,CTD6,1.839,0.553
2017-07-19,CTD7,2.528,3.86
2017-07-19,CTD8,1.478,1.305
2017-07-19,CTD9,,
2017-07-26,CTD1,0.614,21.299
2017-07-26,CTD10,1.032,0.633
2017-07-26,CTD11,2.313,1.776
2017-07-26,CTD12,2.227,1.096
2017-07-26,CTD2,2.06,1.54
2017-07-26,CTD3,1.278,0.964
2017-07-26,CTD4,1.303,0.911
2017-07-26,CTD5,0.34,0.15
2017-07-26,CTD6,2.533,1.034
2017-07-26,CTD7,4.737,3.79
2017-07-26,CTD8,1.776,0.851
2017-07-26,CTD9,,
2017-08-08,CTD5,0.69,0.33
2017-08-16,CTD5,0.16,1.41
2017-08-23,CTD5,0.45,0.51
2017-08-30,CTD1,4.64,167.105
2017-08-30,CTD10,6.207,6.257
2017-08-30,CTD11,5.975,6.745
2017-08-30,CTD12,5.973,6.453
2017-08-30,CTD2,5.282,7.843
2017-08-30,CTD3,5.557,14.349
2017-08-30,CTD4,5.405,6.232
2017-08-30,CTD5,1.16,1.31
2017-08-30,CTD6,5.572,6.634
2017-08-30,CTD7,5.561,6.79
2017-08-30,CTD8,5.527,6.136
2017-08-30,CTD9,,
2017-09-06,CTD1,4.542,5.94
2017-09-06,CTD10,6.596,6.097
2017-09-06,CTD11,7.035,5.599
2017-09-06,CTD12,6.845,6.443
2017-09-06,CTD2,6.932,5.401
2017-09-06,CTD3,5.932,5.016
2017-09-06,CTD4,5.993,4.209
