Date,Buoy,Latitude,Longitude,Band_1,Band_2,Band_3,Band_4,Band_5,Band_6,Band_7,Band_8,Band_9,Band_10,Band_11,Band_12,Band_13,Band_14,Band_15,Band_16,Chl
2017-06-30,CTD1,4187246.4763657423,695024.7116773892,0.017563008,0.029990256,0.04841963,0.01454331,0.010372231,0.0027547977,0.0026398397,0.0010253708,0.017399043,0.029981714,0.048473865,0.014502885,0.0104265865,0.0026533515,0.22882253,-0.0,0.9915965333333334
2017-06-30,CTD2,4181518.346026066,693105.1561410306,0.004140075,0.010238707,0.01584468,0.0032318502,0.0019043643,0.0004974455,0.00048420997,0.00019092372,0.004114847,0.010527579,0.015873604,0.003174487,0.0020107694,0.0004841058,3.1042066e-05,-0.0,1.1955854125
2017-06-30,CTD3,4181698.0921413857,695238.4758410116,0.027345017,0.03508341,0.04538994,0.0148561755,0.011022604,0.0029545105,0.0027850778,0.0010752128,0.02684399,0.035119537,0.045748446,0.014751363,0.010721985,0.0028013755,0.2997426,-0.0,1.5234733125
2017-06-30,CTD4,4180265.85759629,698264.0657476727,0.016332252,0.026202045,0.04214056,0.014357367,0.010685908,0.002870462,0.0027480547,0.0010689951,0.0161457,0.026217168,0.042270653,0.014329078,0.010611325,0.0027830154,0.29237705,-0.0,1.5401894875
2017-06-30,CTD6,4176008.900458722,695829.0091863506,0.026543194,0.036841877,0.052834313,0.016879972,0.012581656,0.0033038529,0.0031176182,0.0011952929,0.026217215,0.03682155,0.053231347,0.016835136,0.012265029,0.0031525856,0.34179753,-0.0,1.7752051875000001
2017-06-30,CTD7,4176723.693900513,690396.7024300082,0.030073417,0.043065924,0.06486806,0.018118074,0.013408884,0.00334106,0.0031516626,0.0011846476,0.029940637,0.04279965,0.065008044,0.018214902,0.012963171,0.0032081567,0.3805063,-0.0,2.620511
2017-06-30,CTD8,4174178.030118922,693047.7091175154,0.0145575525,0.026535034,0.04251626,0.011381512,0.007945119,0.0021183747,0.00204649,0.0008000727,0.014410926,0.026531136,0.042515613,0.011362686,0.008055392,0.0020598338,0.17725752,-0.0,1.27311476125
2017-06-30,CTD10,4170388.237872792,695645.9552495586,0.016212951,0.024927143,0.033846017,0.009887233,0.0069915405,0.0019370411,0.0018664284,0.0007384081,0.016053272,0.024885984,0.033939864,0.009821676,0.0070758536,0.0018731481,0.1713117,-0.0,0.8001469842857142
2017-06-30,CTD11,4169608.9781368254,700350.5509754587,0.012924529,0.023011493,0.036201537,0.010846005,0.0079346765,0.0021775092,0.0021190604,0.0008381182,0.012759714,0.022973435,0.03623866,0.010800577,0.007956437,0.0021301738,0.18921699,-1.1e-44,1.1225326566666667
2017-06-30,CTD12,4173437.93021035,695413.5305598581,0.023078604,0.03215271,0.048700947,0.01852909,0.015865937,0.004342507,0.004143927,0.0015812648,0.022612026,0.032037597,0.04921606,0.018520748,0.014899169,0.004256546,0.50438833,-0.0,1.4179599875
2018-01-31,CTD1,4187246.4763657423,695024.7116773892,0.004710473,0.011446429,0.025386982,0.009556162,0.0065300385,0.001763478,0.0017124728,0.00067334267,0.0046572825,0.011666528,0.025593571,0.009489447,0.0067885285,0.0017569353,0.057699602,-1.1e-44,3.472369366666667
2018-01-31,CTD2,4181518.346026066,693105.1561410306,0.0010437138,0.0036905839,0.011231043,0.0029515116,0.0016704798,0.00040770083,0.00038868154,0.0001519913,0.0010932521,0.003917997,0.011312189,0.0027904923,0.001701523,0.00039362736,2.6554573e-05,-1.446e-42,4.8366668624999996
2018-01-31,CTD3,4181698.0921413857,695238.4758410116,0.0023801192,0.0071191373,0.018454436,0.0053964793,0.0033007623,0.0008640632,0.000831995,0.00033351715,0.002368773,0.0074148183,0.018597076,0.005250011,0.0034750388,0.0008490742,2.9687686e-05,-1.1e-44,2.8638288624999997
2018-01-31,CTD4,4180265.85759629,698264.0657476727,0.0016865848,0.0055568926,0.014900289,0.0053177318,0.0033647197,0.00089898205,0.0008723627,0.0003513716,0.00170111,0.005819081,0.015159687,0.005195798,0.003481545,0.0008900293,2.6945205e-05,-1.446e-42,2.75181135
2018-01-31,CTD6,4176008.900458722,695829.0091863506,0.009906644,0.019455481,0.035206564,0.012342115,0.008901892,0.0024249225,0.0023630098,0.00093097135,0.009769871,0.019563293,0.03529642,0.01231253,0.00905292,0.0023795492,0.16600676,-1.1e-44,6.416264062500001
2018-01-31,CTD7,4176723.693900513,690396.7024300082,0.0152621865,0.025799317,0.044124864,0.016377801,0.01248557,0.0033086834,0.0031907838,0.0012323203,0.015066849,0.025855688,0.044347726,0.01640849,0.012307353,0.0032333613,0.30467987,-1.1e-44,3.527518642857143
