Date,Buoy,Latitude,Longitude,Band_1,Band_2,Band_3,Band_4,Band_5,Band_6,Band_7,Band_8
2019-09-19,CTD1,4187246,695025,9255.0,8212.0,6704.0,4487.0,,,,
2019-09-19,CTD2,4181518,693105,4896.0,3847.0,2207.0,1042.0,,,,
2019-09-19,CTD3,4181698,695238,4804.0,3690.0,2107.0,1017.0,,,,
2019-09-19,CTD4,4180266,698264,5098.0,3841.0,2278.0,1032.0,,,,
2019-09-19,CTD5,4179450,700268,9877.0,8484.0,6973.0,4787.0,,,,
2019-09-19,CTD6,4176009,695829,4781.0,3556.0,2033.0,900.0,,,,
2019-09-19,CTD7,4176724,690397,4754.0,3702.0,2146.0,1131.0,,,,
2019-09-19,CTD8,4174178,693048,4673.0,3492.0,2034.0,978.0,,,,
2019-09-19,CTD9,4171106,693183,4792.0,3752.0,2202.0,1047.0,,,,
2019-09-19,CTD10,4170388,695646,4715.0,3597.0,2050.0,965.0,,,,
2019-09-19,CTD11,4169609,700351,4791.0,3396.0,1960.0,930.0,,,,
2019-09-19,CTD12,4173438,695414,4712.0,3540.0,2062.0,995.0,,,,
2019-10-30,CTD1,4187246,695025,3440.0,3125.0,2165.0,812.0,,,,
2019-10-30,CTD2,4181518,693105,3270.0,2897.0,2027.0,782.0,,,,
2019-10-30,CTD3,4181698,695238,3218.0,2840.0,1909.0,720.0,,,,
2019-10-30,CTD4,4180266,698264,3264.0,2854.0,1902.0,693.0,,,,
2019-10-30,CTD5,4179450,700268,3281.0,2837.0,1721.0,642.0,,,,
2019-10-30,CTD6,4176009,695829,3156.0,2771.0,1885.0,680.0,,,,
2019-10-30,CTD7,4176724,690397,3561.0,3215.0,2398.0,1031.0,,,,
2019-10-30,CTD8,4174178,693048,3214.0,2851.0,1968.0,742.0,,,,
2019-10-30,CTD9,4171106,693183,3246.0,2930.0,2104.0,762.0,,,,
2019-10-30,CTD10,4170388,695646,3120.0,2718.0,1838.0,675.0,,,,
2019-10-30,CTD11,4169609,700351,3234.0,2841.0,1892.0,651.0,,,,
2019-10-30,CTD12,4173438,695414,3146.0,2748.0,1880.0,673.0,,,,
2021-09-30,CTD1,4187246,695025,6548.0,5416.0,4354.0,3760.0,2814.0,2158.0,1700.0,874.0
2021-09-30,CTD2,4181518,693105,6337.0,5157.0,4063.0,3486.0,2559.0,1946.0,1538.0,783.0
2021-09-30,CTD3,4181698,695238,6220.0,4989.0,3892.0,3314.0,2432.0,1847.0,1415.0,671.0
2021-09-30,CTD4,4180266,698264,6081.0,4802.0,3696.0,3154.0,2404.0,1759.0,1420.0,671.0
2021-09-30,CTD5,4179450,700268,6227.0,4976.0,3809.0,3136.0,2194.0,1622.0,1302.0,642.0
2021-09-30,CTD6,4176009,695829,6112.0,4790.0,3702.0,3134.0,2360.0,1777.0,1376.0,644.0
2021-09-30,CTD7,4176724,690397,6612.0,5642.0,4802.0,4450.0,3346.0,2466.0,1865.0,827.0
2021-09-30,CTD8,4174178,693048,6227.0,5097.0,4069.0,3609.0,2715.0,2001.0,1560.0,730.0
2021-09-30,CTD9,4171106,693183,6540.0,5685.0,4934.0,4712.0,3944.0,3056.0,2381.0,859.0
2021-09-30,CTD10,4170388,695646,6115.0,4842.0,3761.0,3198.0,2473.0,1845.0,1523.0,726.0
2021-09-30,CTD11,4169609,700351,6074.0,4784.0,3721.0,3130.0,2355.0,1802.0,1448.0,688.0
2021-09-30,CTD12,4173438,695414,6149.0,4857.0,3771.0,3211.0,2440.0,1822.0,1456.0,666.0
