Date,Buoy,Chl,Turbidez
2017-06-21,CTD8,0.592,1.276
2017-06-21,CTD9,0.097,0.447
2017-06-30,CTD1,0.823,2.233
2017-06-30,CTD10,0.616,2.337
2017-06-30,CTD11,0.759,1.359
2017-06-30,CTD12,0.802,2.513
2017-06-30,CTD2,0.614,1.375
2017-06-30,CTD3,0.849,0.974
2017-06-30,CTD4,0.827,1.157
2017-06-30,CTD5,0.18,0.31
2017-06-30,CTD6,0.81,2.015
2017-06-30,CTD7,1.49,5.012
2017-06-30,CTD8,0.706,2.093
2017-06-30,CTD9,0.115,5.455
2017-07-05,CTD1,0.463,7.995
2017-07-05,CTD10,0.744,2.512
2017-07-05,CTD11,0.835,1.363
2017-07-05,CTD12,1.079,0.746
2017-07-05,CTD2,1.843,8.895
2017-07-05,CTD3,1.159,3.932
2017-07-05,CTD4,0.83,1.059
2017-07-05,CTD5,0.39,2.12
2017-07-05,CTD6,1.039,1.096
2017-07-05,CTD7,1.778,14.272
2017-07-05,CTD8,0.827,1.962
2017-07-05,CTD9,0.115,7.44
2017-07-12,CTD1,0.54,1.34
2017-07-12,CTD10,1.963,3.213
2017-07-12,CTD11,2.988,3.292
2017-07-12,CTD12,1.498,1.429
2017-07-12,CTD2,1.24,1.903
2017-07-12,CTD3,1.26,0.807
2017-07-12,CTD4,0.748,1.04
2017-07-12,CTD5,0.52,0.55
2017-07-12,CTD6,1.543,1.317
2017-07-12,CTD7,1.419,4.673
2017-07-12,CTD8,1.381,2.712
2017-07-12,CTD9,0.313,9.661
2017-07-19,CTD1,1.019,4.235
2017-07-19,CTD10,1.355,2.629
2017-07-19,CTD11,1.898,1.391
2017-07-19,CTD12,0.706,1.194
2017-07-19,CTD2,2.036,6.064
2017-07-19,CTD3,1.333,3.976
2017-07-19,CTD4,0.67,2.13
2017-07-19,CTD5,0.2,0.81
2017-07-19,CTD6,1.344,1.334
2017-07-19,CTD7,1.29,5.375
2017-07-19,CTD8,0.812,1.561
2017-07-19,CTD9,0.209,6.088
2017-07-26,CTD1,0.492,1.159
2017-07-26,CTD10,0.68,1.022
2017-07-26,CTD11,1.101,1.061
2017-07-26,CTD12,1.456,1.801
2017-07-26,CTD2,1.032,1.441
2017-07-26,CTD3,0.93,0.803
2017-07-26,CTD4,0.924,0.964
2017-07-26,CTD5,0.34,0.15
2017-07-26,CTD6,1.61,1.666
2017-07-26,CTD7,2.896,3.73
2017-07-26,CTD8,1.283,2.309
2017-07-26,CTD9,0.136,1.298
2017-08-08,CTD5,0.69,0.33
2017-08-16,CTD5,0.16,1.41
2017-08-23,CTD5,0.45,0.51
2017-08-30,CTD1,3.65,17.368
2017-08-30,CTD10,5.136,6.877
2017-08-30,CTD11,5.126,7.408
2017-08-30,CTD12,5.075,6.519
2017-08-30,CTD2,4.504,8.329
2017-08-30,CTD3,4.348,7.923
2017-08-30,CTD4,4.283,5.428
2017-08-30,CTD5,1.16,1.31
2017-08-30,CTD6,4.259,6.361
2017-08-30,CTD7,3.044,8.388
2017-08-30,CTD8,4.036,6.567
2017-08-30,CTD9,0.19,9.762
2017-09-06,CTD1,2.458,5.657
2017-09-06,CTD10,3.225,6.58
2017-09-06,CTD11,3.576,5.671
2017-09-06,CTD12,3.707,9.143
2017-09-06,CTD2,2.992,6.969
2017-09-06,CTD3,1.99,7.3
2017-09-06,CTD4,2.34,6.959
2017-09-06,CTD5,0.44,0.36
2017-09-06,CTD6,4.853,9.936
2017-09-06,CTD7,2.37,8.497
2017-09-06,CTD8,1.813,9.429
2017-09-06,CTD9,0.199,9.857
2017-09-11,CTD1,1.598,5.383
2017-09-11,CTD10,3.309,4.669
2017-09-11,CTD11,3.989,5.013
2017-09-11,CTD12,4.78,5.839
2017-09-11,CTD2,2.234,3.182
2017-09-11,CTD3,2.029,2.655
2017-09-11,CTD4,1.498,1.636
2017-09-11,CTD5,0.47,1.1
2017-09-11,CTD6,4.269,5.58
2017-09-11,CTD7,2.034,2.911
2017-09-11,CTD8,3.383,4.356
2017-09-11,CTD9,0.203,0.364
2017-09-20,CTD5,0.28,0.0
2017-09-27,CTD1,4.415,3.91
2017-09-27,CTD10,4.85,5.731
2017-09-27,CTD11,3.978,3.592
2017-09-27,CTD12,4.346,5.374
2017-09-27,CTD2,4.517,7.526
2017-09-27,CTD3,3.16,7.132
2017-09-27,CTD4,1.984,5.824
2017-09-27,CTD5,0.63,1.87
2017-09-27,CTD6,2.995,5.341
2017-09-27,CTD7,2.511,20.315
2017-09-27,CTD8,2.836,7.745
2017-09-27,CTD9,0.224,9.739
2017-10-04,CTD1,3.216,4.6
2017-10-04,CTD10,1.217,2.574
2017-10-04,CTD11,2.421,7.403
2017-10-04,CTD12,2.828,4.288
2017-10-04,CTD2,3.772,8.529
2017-10-04,CTD3,3.878,4.282
2017-10-04,CTD4,2.116,5.161
2017-10-04,CTD5,0.16,0.35
2017-10-04,CTD6,2.569,6.962
2017-10-04,CTD7,2.556,41.439
2017-10-04,CTD8,2.415,15.304
2017-10-04,CTD9,0.156,9.812
2017-10-11,CTD1,3.785,3.398
2017-10-11,CTD10,4.14,11.414
2017-10-11,CTD11,3.739,4.323
2017-10-11,CTD12,3.73,9.747
2017-10-11,CTD2,3.814,2.832
2017-10-11,CTD3,3.331,3.518
2017-10-11,CTD4,1.963,3.152
2017-10-11,CTD5,0.39,0.39
2017-10-11,CTD6,2.742,6.147
2017-10-11,CTD7,2.188,3.979
2017-10-11,CTD8,3.021,9.286
2017-10-11,CTD9,3.861,58.242
2017-10-17,CTD1,4.48,2.861
2017-10-17,CTD10,1.669,4.0
2017-10-17,CTD11,3.291,6.16
2017-10-17,CTD12,2.883,4.867
2017-10-17,CTD2,5.378,3.736
2017-10-17,CTD3,4.882,3.702
2017-10-17,CTD4,3.232,4.723
2017-10-17,CTD5,0.3,0.39
2017-10-17,CTD6,3.507,5.691
2017-10-17,CTD7,3.212,3.309
2017-10-17,CTD8,2.469,3.116
2017-10-17,CTD9,0.289,0.123
2017-10-25,CTD1,0.949,2.131
2017-10-25,CTD10,2.13,5.096
2017-10-25,CTD11,2.701,5.917
2017-10-25,CTD12,3.427,5.252
2017-10-25,CTD2,3.572,3.111
2017-10-25,CTD3,3.393,1.751
2017-10-25,CTD4,1.318,1.05
2017-10-25,CTD5,0.41,0.03
2017-10-25,CTD6,2.837,3.367
2017-10-25,CTD7,2.786,7.48
2017-10-25,CTD8,3.146,7.314
2017-10-25,CTD9,0.253,15.796
2017-11-03,CTD1,2.86,4.32
2017-11-03,CTD10,3.474,3.057
2017-11-03,CTD11,3.946,5.891
2017-11-03,CTD12,3.578,4.271
2017-11-03,CTD2,5.011,2.757
2017-11-03,CTD3,4.964,5.326
2017-11-03,CTD4,4.516,10.734
2017-11-03,CTD5,0.54,0.87
2017-11-03,CTD6,4.255,4.871
2017-11-03,CTD7,2.628,2.754
2017-11-03,CTD8,4.421,3.735
2017-11-03,CTD9,0.318,1.509
2017-11-08,CTD1,2.944,3.248
2017-11-08,CTD10,2.711,4.078
2017-11-08,CTD11,3.143,5.717
2017-11-08,CTD12,3.926,4.606
2017-11-08,CTD2,4.755,6.369
2017-11-08,CTD3,2.81,9.262
2017-11-08,CTD4,2.217,4.544
2017-11-08,CTD5,0.29,0.38
2017-11-08,CTD6,4.2,4.378
2017-11-08,CTD7,2.811,4.17
2017-11-08,CTD8,3.243,4.53
2017-11-08,CTD9,0.162,0.098
2017-11-15,CTD1,3.656,3.105
2017-11-15,CTD10,3.388,8.288
2017-11-15,CTD11,2.794,5.593
2017-11-15,CTD12,3.441,8.413
2017-11-15,CTD2,4.139,3.132
2017-11-15,CTD3,3.809,3.458
2017-11-15,CTD4,1.887,4.206
2017-11-15,CTD5,0.46,1.64
