Date,Pluvio,Caudal,Nitratos,Fosfatos,Clorofila,Temperatura,Oxigeno
2021-01-01,0.0,,,,,,
2021-01-02,0.0,,,,,,
2021-01-03,0.0,,,,,,
2021-01-04,0.0,,,,,,
2021-01-05,0.0,,,,0.35242686,9.575597,6.9023457
2021-01-06,0.53,,,,,,
2021-01-07,60.690000000000005,,,,,,
2021-01-08,89.58999999999999,,,,,,
2021-01-09,41.92,,,,,,
2021-01-10,17.92,,,,,,
2021-01-11,0.73,,,,,,
2021-01-12,0.0,184.3125,3598.9596,,,,
2021-01-13,0.0,184.15277777777777,,,0.482285,9.341127,8.53965
2021-01-14,0.0,177.22222222222223,,,,,
2021-01-15,0.0,174.46875,,,,,
2021-01-16,0.0,171.7534722222222,,,,,
2021-01-17,0.0,153.52083333333331,,,,,
2021-01-18,0.0,155.19444444444443,,,,,
2021-01-19,0.0,201.20138888888889,3824.436,,,,
2021-01-20,0.0,214.41666666666669,,,0.11760658,10.677881,7.9132457
2021-01-21,0.0,204.72916666666669,,,,,
2021-01-22,0.2,136.00694444444446,,,,,
2021-01-23,0.0,150.72916666666666,,,,,
2021-01-24,0.0,163.07986111111111,,,,,
2021-01-25,0.0,111.96527777777779,,,,,
2021-01-26,0.0,0.0,0.0,,,,
2021-01-27,0.0,0.0,,,0.58317757,13.167978,7.788101
2021-01-28,0.0,0.0,,,,,
2021-01-29,0.0,0.0,,,,,
2021-01-30,0.0,2.0104166666666665,,,,,
2021-01-31,0.0,8.82986111111111,,,,,
2021-02-01,0.0,19.48263888888889,,,,,
2021-02-02,0.0,45.5625,803.0664,,,,
2021-02-03,0.0,66.56250000000001,,,0.4430962,13.416355,7.2861753
2021-02-04,0.0,66.85416666666667,,,,,
2021-02-05,0.0,44.88194444444445,,,,,
2021-02-06,0.0,35.21875,,,,,
2021-02-07,0.0,19.87847222222222,,,,,
2021-02-08,0.0,3.15625,,,,,
2021-02-09,0.0,0.0,0.0,,,,
2021-02-10,0.0,0.0,,,,,
2021-02-11,0.0,0.0,,,,,
2021-02-12,0.0,0.0,,,0.04719046,14.348997,7.3676095
2021-02-13,0.0,0.0,,,,,
2021-02-14,0.0,0.0,,,,,
2021-02-15,0.0,0.0,,,,,
2021-02-16,0.0,0.0,0.0,,,,
2021-02-17,0.0,0.0,,,0.17733155,13.926901,7.95054
2021-02-18,0.0,0.0,,,,,
2021-02-19,0.0,0.0,,,,,
2021-02-20,0.0,0.0,,,,,
2021-02-21,0.0,0.0,,,,,
2021-02-22,0.0,0.0,,,,,
2021-02-23,0.0,0.0,0.0,,,,
2021-02-24,0.0,0.0,,,0.26114407,14.903613,7.3103633
2021-02-25,0.0,0.0,,,,,
2021-02-26,0.0,0.0,,,,,
2021-02-27,0.0,0.0,,,,,
2021-02-28,0.0,0.0,,,,,
2021-03-01,0.4,0.0,,,,,
2021-03-02,0.0,0.0,0.0,,,,
2021-03-03,0.0,0.0,,,,,
2021-03-04,0.0,0.0,,,,,
2021-03-05,1.3900000000000001,0.0,,,0.5017009,15.27199,7.9213653
2021-03-06,21.060000000000002,0.0,,,,,
2021-03-07,201.35999999999999,0.0,,,,,
2021-03-08,99.98,306.8680555555556,,,,,
2021-03-09,6.0,1582.4618055555557,7656.583200000001,,,,
2021-03-10,0.0,349.49305555555554,,,0.61919785,16.204426,6.042241
2021-03-11,0.0,250.7847222222222,,,,,
2021-03-12,0.0,230.99305555555554,,,,,
2021-03-13,0.0,211.6527777777778,,,,,
2021-03-14,0.0,188.92013888888889,,,,,
2021-03-15,0.0,168.35763888888889,,,0.5950323,18.049696,8.619869
2021-03-16,0.0,165.61805555555557,2818.9518000000003,,,,
2021-03-17,0.0,142.40277777777777,,,,,
2021-03-18,50.849999999999994,168.45833333333331,,,,,
2021-03-19,5.84,219.9340277777778,,,,,
2021-03-20,15.090000000000002,246.02777777777777,,,,,
2021-03-21,0.0,172.19791666666666,,,,,
2021-03-22,0.0,186.7777777777778,,,,,
2021-03-23,0.0,193.31944444444446,3340.56,,,,
2021-03-24,0.0,192.10763888888889,,,0.68154645,15.905866,8.099596
2021-03-25,0.0,192.5902777777778,,,,,
2021-03-26,0.0,186.19097222222226,,,,,
2021-03-27,0.0,155.44791666666666,,,,,
