Date,Buoy,Latitude,Longitude,Band_1,Band_2,Band_3,Band_4,Band_5,Band_6,Band_7,Band_8,Band_9,Band_10,Band_11,Band_12,Band_13,Band_14,Band_15,Band_16
2017-06-30,CTD3,4181698,695238,0.0075835697,0.013584243,0.023005998,0.0054059313,0.0034694881,0.000953778,0.0009364642,0.0003777826,0.007560422,0.013670946,0.02294498,0.005358176,0.0037264745,0.0009370929,0.15267272,0.0
2017-06-30,CTD4,4180266,698264,0.00907478,0.016721314,0.028703239,0.006716879,0.004379786,0.0012045004,0.001184028,0.00047483333,0.009035008,0.016854338,0.028741164,0.0066504343,0.0046867076,0.0011839723,0.2098174,0.0
2017-06-30,CTD5,4179450,700268,0.014707059,0.025732707,0.03152797,0.0048873625,0.0029368028,0.00078173087,0.00076350884,0.0003072094,0.014742116,0.025861897,0.031675674,0.0048341476,0.0031429657,0.0007742483,0.082521856,0.0
2017-06-30,CTD6,4176009,695829,0.007608714,0.014366672,0.027990112,0.0073707406,0.0049179825,0.001336192,0.0013147063,0.0005259095,0.00756947,0.014491523,0.027906777,0.007306468,0.005250895,0.0013118499,0.22216825,0.0
2017-06-30,CTD7,4176724,690397,0.011686963,0.022875605,0.046262253,0.011007561,0.007160964,0.0019035863,0.0018718408,0.00073682674,0.011616378,0.023158662,0.04541024,0.010937272,0.007578536,0.0018601465,0.25925133,0.0
2017-06-30,CTD8,4174178,693048,0.009521529,0.018191645,0.033471674,0.007299737,0.0046655284,0.0012513162,0.0012308423,0.0004928281,0.009455072,0.018410167,0.033228815,0.0072478717,0.00499153,0.0012309798,0.17926987,0.0
2017-06-30,CTD9,4171106,693183,0.016230635,0.028125005,0.060782634,0.026990114,0.021012975,0.0063581625,0.006308979,0.0024163665,0.016121557,0.028571198,0.060478445,0.026241194,0.022006158,0.006277348,0.8124269,0.0
2017-06-30,CTD10,4170388,695646,0.0074096294,0.013665981,0.02487514,0.006367644,0.00416348,0.0011491238,0.0011314623,0.00045515836,0.0073703555,0.013750509,0.024869818,0.006298391,0.0044595087,0.0011304438,0.18685254,0.0
2017-06-30,CTD11,4169609,700351,0.005832959,0.0102973245,0.02105085,0.008687492,0.0063787256,0.001915407,0.0019044826,0.00076362217,0.005817458,0.010321626,0.021203846,0.008556647,0.0067265793,0.0018760483,0.3083811,-1.1e-44
2017-06-30,CTD12,4173438,695414,0.008385684,0.01591452,0.030570345,0.007729807,0.0050533433,0.0013784241,0.0013608142,0.0005468231,0.008331306,0.016088994,0.030405464,0.0076336674,0.005393868,0.0013527742,0.22641052,0.0
