Date,Buoy,Latitude,Longitude,Band_1,Band_2,Band_3,Band_4,Band_5,Band_6,Band_7,Band_8,Band_9,Band_10,Band_11,Band_12,Band_13,Band_14,Band_15,Band_16
2016-08-09,CTD11,4169609,700351,0.004384728,0.009671945,0.026395164,0.01201042,0.012619204,0.0035572927,0.0035105983,0.0013382451,0.0043744245,0.01016558,0.026914435,0.012406995,0.011404638,0.0037312394,0.7498015,0.0
2016-08-09,CTD12,4173438,695414,0.007887092,0.016167672,0.034999557,0.012148,0.009181647,0.0025294991,0.002476041,0.0009695918,0.007789426,0.016274435,0.035061162,0.012207384,0.0090772575,0.0025627646,0.28386784,0.0
2016-09-08,CTD1,4187246,695025,0.0068922215,0.013971607,0.031086095,0.01699419,0.01585275,0.004893984,0.0047948183,0.0018642719,0.0068207933,0.013854492,0.03201304,0.017168444,0.015192594,0.005020425,0.48656186,0.0
2016-09-08,CTD2,4181518,693105,0.004886458,0.0110733835,0.025119493,0.011535734,0.009535782,0.0028106745,0.002760342,0.001074646,0.0048465636,0.011109715,0.025539674,0.011666701,0.009326644,0.0028946796,0.32097894,0.0
2016-09-08,CTD3,4181698,695238,0.0062294723,0.012354222,0.024599077,0.011210934,0.011146585,0.0029791675,0.002932267,0.0011496274,0.006181842,0.012192148,0.024772068,0.011419432,0.010204195,0.0032310635,0.46172985,0.0
2016-09-08,CTD4,4180266,698264,0.0097503355,0.015326275,0.025821222,0.012957898,0.012253507,0.0038682884,0.0038045894,0.0015079188,0.009658472,0.015134035,0.025981193,0.013060154,0.011724593,0.003906721,0.5192529,0.0
2016-09-08,CTD5,4179450,700268,0.0050306064,0.012029962,0.019740427,0.0044024936,0.0026649025,0.0007144267,0.0006991091,0.00027733904,0.0049809553,0.01222111,0.019698916,0.0043483586,0.0028461865,0.0006991569,0.0003876721,0.0
2016-09-08,CTD6,4176009,695829,0.002911092,0.00832467,0.021818912,0.009702394,0.0081603415,0.0021445737,0.0020845348,0.00079208903,0.0028865905,0.008626586,0.022331182,0.009752599,0.007847671,0.0022805568,0.139867,0.0
2016-09-08,CTD7,4176724,690397,0.0070920237,0.013927215,0.027755078,0.012620849,0.011892431,0.0035572927,0.003495107,0.001353777,0.0070344433,0.013770457,0.02797283,0.012736192,0.011393724,0.0036407637,0.4427342,0.0
2016-09-08,CTD8,4174178,693048,0.0040213414,0.010356547,0.02806147,0.014473322,0.013614608,0.003667688,0.0035890418,0.0013926441,0.0039821286,0.010688402,0.028472094,0.014661044,0.012827629,0.0040130974,0.29837325,0.0
