Time Interval,Date,Buoy,Latitude,Longitude,Row,Col,Pixel_Value
"('2021-01-01', '2021-01-05')",2021-01-05,CTD-1,37.8118,-0.784483,123,698,16.51887
"('2021-01-01', '2021-01-05')",2021-01-05,CTD-2,37.760617,-0.8078,700,501,8.643762
"('2021-01-01', '2021-01-05')",2021-01-05,CTD-3,37.761783,-0.78355,687,706,40.162952
"('2021-01-01', '2021-01-05')",2021-01-05,CTD-4,37.748233,-0.749617,839,994,0.0
"('2021-01-01', '2021-01-05')",2021-01-05,CTD-5,37.74045,-0.727117,927,1184,
"('2021-01-01', '2021-01-05')",2021-01-05,CTD-6,37.710417,-0.778383,1265,750,6.487425
"('2021-01-01', '2021-01-05')",2021-01-05,CTD-7,37.718,-0.839783,1179,230,22.502808
"('2021-01-01', '2021-01-05')",2021-01-05,CTD-8,37.694517,-0.8104,1444,479,0.0
"('2021-01-01', '2021-01-05')",2021-01-05,CTD-9,37.666817,-0.809683,1756,485,11.578739
"('2021-01-01', '2021-01-05')",2021-01-05,CTD-10,37.659833,-0.781967,1834,720,5.4686913
"('2021-01-01', '2021-01-05')",2021-01-05,CTD-11,37.6518,-0.728883,1925,1169,
"('2021-01-01', '2021-01-05')",2021-01-05,CTD-12,37.68735,-0.783783,1525,704,0.0
"('2021-01-06', '2021-01-10')",2021-01-10,CTD-1,37.8118,-0.784483,123,698,11.207586
"('2021-01-06', '2021-01-10')",2021-01-10,CTD-2,37.760617,-0.8078,700,501,25.175749
"('2021-01-06', '2021-01-10')",2021-01-10,CTD-3,37.761783,-0.78355,687,706,19.756618
"('2021-01-06', '2021-01-10')",2021-01-10,CTD-4,37.748233,-0.749617,839,994,17.752806
"('2021-01-06', '2021-01-10')",2021-01-10,CTD-5,37.74045,-0.727117,927,1184,13.849172
"('2021-01-06', '2021-01-10')",2021-01-10,CTD-6,37.710417,-0.778383,1265,750,15.4973755
"('2021-01-06', '2021-01-10')",2021-01-10,CTD-7,37.718,-0.839783,1179,230,18.845917
"('2021-01-06', '2021-01-10')",2021-01-10,CTD-8,37.694517,-0.8104,1444,479,13.575679
"('2021-01-06', '2021-01-10')",2021-01-10,CTD-9,37.666817,-0.809683,1756,485,
"('2021-01-06', '2021-01-10')",2021-01-10,CTD-10,37.659833,-0.781967,1834,720,6.7015066
"('2021-01-06', '2021-01-10')",2021-01-10,CTD-11,37.6518,-0.728883,1925,1169,
"('2021-01-06', '2021-01-10')",2021-01-10,CTD-12,37.68735,-0.783783,1525,704,10.31773
"('2021-01-11', '2021-01-15')",2021-01-15,CTD-1,37.8118,-0.784483,123,698,
"('2021-01-11', '2021-01-15')",2021-01-15,CTD-2,37.760617,-0.8078,700,501,0.0
"('2021-01-11', '2021-01-15')",2021-01-15,CTD-3,37.761783,-0.78355,687,706,0.0
